Country	SurveyYear	Workforce	ID	id_row
St. Vincent and the Grenadines	2010	45.7	Q757	123
Sudan	2014	9.5	Q1049	124
Suriname	2018	34.8	Q730	125
Eswatini	2016	36.1	Q1050	126
Sweden	2014	70.3	Q34	127
Syrian Arab Republic	2009	38.3	Q858	128
Tajikistan	2019	24.3	Q863	129
Tanzania	2013	30.7	Q924	130
Thailand	2016	18.0	Q869	131
Timor-Leste	2015	1.9	Q574	132
Togo	2016	33.7	Q945	133
Tonga	2009	11.1	Q678	134
Trinidad and Tobago	2010	28.0	Q754	135
Tunisia	2013	28.9	Q948	136
Turkey	2019	30.7	Q43	137
Uganda	2013	34.7	Q1036	138
Ukraine	2019	24.3	Q212	139
Uruguay	2017	53.3	Q77	140
Uzbekistan	2019	16.9	Q265	141
Vanuatu	2009	47.5	Q686	142
Venezuela, RB	2010	56.0	Q717	143
Vietnam	2015	22.2	Q881	144
West Bank and Gaza	2019	9.6	Q407199	145
Yemen, Rep.	2013	14.3	Q805	146
Zambia	2019	36.6	Q953	147
Zimbabwe	2016	26.4	Q954	148
