Country	Numberofprocedures	Timerequired	ID	id_row
Hungary	4.0	17.5	Q28	72
Iceland	3.0	3.5	Q189	73
India	9.0	57.9	Q668	74
Indonesia	6.0	30.6	Q252	75
Iran, Islamic Rep.	6.0	31.0	Q794	76
Iraq	5.0	51.0	Q796	77
Ireland	5.0	31.5	Q27	78
Israel	6.0	37.0	Q801	79
Italy	4.0	16.0	Q38	80
Jamaica	8.0	19.0	Q766	81
Japan	6.0	13.0	Q17	82
Jordan	6.0	17.0	Q810	83
Kazakhstan	4.0	4.5	Q232	84
Kenya	10.0	43.5	Q114	85
Kiribati	5.0	513.0	Q710	86
Korea, Rep.	7.0	5.5	Q884	87
Kosovo	6.0	32.0	Q1246	88
Kuwait	7.0	17.0	Q817	89
Kyrgyz Republic	3.0	3.5	Q813	90
Lao PDR	6.0	28.0	Q819	91
Latvia	4.0	16.5	Q211	92
Lebanon	8.0	37.0	Q822	93
Lesotho	4.0	43.0	Q1013	94
Liberia	10.0	44.0	Q1014	95
Liechtenstein	8.0	17.0	Q347	96
Lithuania	3.0	3.5	Q37	97
Luxembourg	7.0	26.5	Q32	98
North Macedonia	7.0	30.0	Q221	99
Madagascar	6.0	100.0	Q1019	100
Malawi	6.0	47.0	Q1020	101
Malaysia	6.0	11.5	Q833	102
Maldives	6.0	57.0	Q826	103
Mali	5.0	29.0	Q912	104
Malta	7.0	17.0	Q233	105
Mauritania	4.0	49.0	Q1025	106
Mauritius	5.0	17.0	Q1027	107
Mexico	8.0	38.8	Q96	108
Moldova	5.0	5.5	Q217	109
Mongolia	5.0	10.5	Q711	110
Montenegro	6.0	69.0	Q236	111
Morocco	6.0	20.0	Q1028	112
Mozambique	8.0	43.0	Q1029	113
Myanmar	6.0	65.0	Q836	114
Namibia	8.0	44.0	Q1030	115
Nepal	4.0	6.0	Q837	116
Netherlands	5.0	2.5	Q55	117
New Zealand	2.0	3.5	Q664	118
Nicaragua	9.0	56.0	Q811	119
Niger	4.0	13.0	Q1032	120
Nigeria	12.0	91.7	Q1033	121
Norway	1.0	3.0	Q20	122
Oman	3.0	18.0	Q842	123
Pakistan	8.0	104.7	Q843	124
Palau	5.0	14.0	Q695	125
Panama	7.0	22.5	Q804	126
Papua New Guinea	4.0	72.0	Q691	127
Paraguay	6.0	46.0	Q733	128
Peru	6.0	9.5	Q419	129
Philippines	9.0	35.0	Q928	130
Poland	6.0	135.0	Q36	131
Portugal	1.0	10.0	Q45	132
Puerto Rico	8.0	190.0	Q1183	133
Qatar	1.0	1.0	Q846	134
Romania	6.0	14.5	Q218	135
Russian Federation	4.0	14.0	Q159	136
Rwanda	3.0	7.0	Q1037	137
Samoa	5.0	15.0	Q683	138
San Marino	9.0	42.5	Q238	139
Sao Tome and Principe	8.0	52.0	Q1039	140
Saudi Arabia	2.0	1.5	Q851	141
Senegal	5.0	41.0	Q1041	142
Serbia	6.0	33.0	Q403	143
Seychelles	4.0	33.0	Q1042	144
Sierra Leone	7.0	56.0	Q1044	145
Singapore	6.0	4.5	Q334	146
Slovak Republic	3.0	16.5	Q214	147
Slovenia	7.0	50.5	Q215	148
Solomon Islands	10.0	86.5	Q685	149
Somalia	5.0	188.0	Q1045	150
South Africa	7.0	23.0	Q258	151
South Sudan	7.0	48.0	Q958	152
Spain	6.0	13.0	Q29	153
Sri Lanka	8.0	39.0	Q854	154
St. Kitts and Nevis	6.0	224.0	Q763	155
St. Lucia	9.0	17.0	Q760	156
St. Vincent and the Grenadines	7.0	47.0	Q757	157
Sudan	6.0	11.0	Q1049	158
Suriname	6.0	46.0	Q730	159
Eswatini	9.0	21.0	Q1050	160
Sweden	1.0	7.0	Q34	161
Switzerland	4.0	16.0	Q39	162
Syrian Arab Republic	4.0	48.0	Q858	163
Tajikistan	4.0	33.0	Q863	164
Tanzania	8.0	67.0	Q924	165
Thailand	5.0	9.0	Q869	166
Togo	3.0	35.0	Q945	167
Tonga	4.0	112.0	Q678	168
Trinidad and Tobago	9.0	77.0	Q754	169
Tunisia	5.0	35.0	Q948	170
Turkey	6.0	4.5	Q43	171
Uganda	10.0	42.0	Q1036	172
Ukraine	7.0	15.0	Q212	173
United Arab Emirates	2.0	1.5	Q878	174
United Kingdom	6.0	21.5	Q145	175
United States	4.0	15.2	Q30	176
Uruguay	9.0	66.0	Q77	177
Uzbekistan	9.0	43.0	Q265	178
Vanuatu	4.0	58.0	Q686	179
Venezuela, RB	10.0	53.0	Q717	180
Vietnam	5.0	53.5	Q881	181
West Bank and Gaza	7.0	35.0	Q407199	182
Yemen, Rep.	6.0	19.0	Q805	183
Zambia	6.0	45.0	Q953	184
Zimbabwe	5.0	29.0	Q954	185
