Country	Year	Motorvehiclesper1000people	Total	ID	id_row
Suriname	2015	349.0	193.0	Q730	48
Serbia	2019	336.0	2340020.0	Q403	49
Taiwan	2016	333.0	7842423.0	Q865	50
Montenegro	2016	326.0	202322.0	Q236	51
Argentina	2015	316.0	13726226.0	Q414	52
Mexico	2015	297.0	37353597.0	Q96	53
Trinidad and Tobago	2015	292.0	397.0	Q754	54
Georgia	2015	281.0	1043900.0	Q230	55
Uruguay	2015	280.0	960.0	Q77	56
Bosnia and Herzegovina	2015	258.0	910969.0	Q225	57
Kazakhstan	2015	251.0	4397354.0	Q232	58
United Arab Emirates	2015	234.0	2140000.0	Q878	59
Oman	2015	233.0	980.0	Q842	60
Chile	2015	230.0	4444941.0	Q298	61
Thailand	2015	226.0	15490503.0	Q869	62
Costa Rica	2015	224.0	1076041.0	Q800	63
Kyrgyzstan	2015	223.0	1330000.0	Q813	64
Ukraine	2018	219.0	9290000.0	Q212	65
Saudi Arabia	2015	209.0	6600000.0	Q851	66
Moldova	2015	201.0	71548.0	Q217	67
North Macedonia	2017	194.0	403316.0	Q221	68
Mauritius	2015	192.0	236853.0	Q1027	69
China	2020	188.0	270000000.0	Q148	70
Iran	2015	178.0	14130000.0	Q794	71
Botswana	2015	177.0	391686.0	Q963	72
South Africa	2015	174.0	9600412.0	Q258	73
Macau	2020	172.0	11693.0	Q14773	74
Panama	2015	171.0	677356.0	Q804	75
Singapore	2018	170.0	957006.0	Q334	76
Armenia	2018	167.0	489346.0	Q399	77
Albania	2015	167.0	481114.0	Q222	78
Dominican Republic	2015	153.0	1610551.0	Q786	79
Turkey	2017	149.0	12035978.0	Q43	80
Venezuela	2015	145.0	4510000.0	Q717	81
Ecuador	2015>	141.0	2267344.0	Q736	82
Algeria	2015	140.0	5570000.0	Q262	83
Belize	2015	139.0	50.0	Q242	84
Azerbaijan	2018	124.0	1135936.0	Q227	85
Tunisia	2015	129.0	1450000.0	Q948	86
Jordan	2015	123.0	1130000.0	Q810	87
Lebanon	2018	117.0	683.0	Q822	88
Colombia	2018	116.0	5800000.0	Q739	89
Guatemala	2015	115.0	1862535.0	Q774	90
Egypt	2018	109.0	10695694.0	Q79	91
Hong Kong	2015	92.0	674253.0	Q8646	92
Indonesia	2015	87.0	22512918.0	Q252	93
Nicaragua	2015	79.0	480.0	Q811	94
Peru	2015	78.0	2444478.0	Q419	95
Bolivia	2015	72.0	770.0	Q750	96
Kenya	2018	70.0	3280934.0	Q114	97
Jamaica	2015	66.0	190.0	Q766	98
Nigeria	2017	64.0	11458370.0	Q1033	99
Zimbabwe	2015	60.0	940.0	Q954	100
Afghanistan	2015	47.0	1572663.0	Q889	101
Senegal	2015	44.0	660.0	Q1041	102
Cuba	2015	42.0	480.0	Q241	103
Cote d'Ivoire	2015	41.0	940.0	Q1008	104
El Salvador	2015	41.0	260.0	Q792	105
Yemen	2015	37.0	1000000.0	Q805	106
Angola	2015	32.0	880.0	Q916	107
Ghana	2015	32.0	890.0	Q117	108
Madagascar	2015	27.0	660.0	Q1019	109
Togo	2015	27.0	198.0	Q945	110
Congo, Democratic Republic of the	2015	25.0	1900000.0	Q974	111
Benin	2015	24.0	252.0	Q962	112
Vietnam	2015	23.0	2170000.0	Q881	113
Zambia	2015>	23.0	370.0	Q953	114
Myanmar	2017	20.0	1065897.0	Q836	115
Honduras	2017	18.0	160.0	Q783	116
Pakistan	2018	17.0	3557470.0	Q843	117
Burkina Faso	2015	16.0	297.0	Q965	118
Cameroon	2015	15.0	347.0	Q1009	119
Mozambique	2015	14.0	400.0	Q1029	120
Liberia	2015	14.0	63.0	Q1014	121
Uganda	2015	12.0	490.0	Q1036	122
Mali	2015	12.0	203.0	Q912	123
Mauritania	2015	10.0	41.0	Q1025	124
Ethiopia	2017	9.0	831.0	Q115	125
Malawi	2015	8.0	139.0	Q1020	126
Haiti	2015	7.0	80.0	Q790	127
Tanzania	2015	7.0	380.0	Q924	128
Burundi	2015	6.0	63.0	Q967	129
Bangladesh	2015	4.0	620.0	Q902	130
