Country	SqKm1990	SqKm2016	ID	id_row
Montenegro	6.0	8.0	Q236	126
Morocco	50.0	56.0	Q1028	127
Mozambique	434.0	377.0	Q1029	128
Myanmar	392.0	285.0	Q836	129
Namibia	88.0	68.0	Q1030	130
Nepal	48.0	36.0	Q837	131
Netherlands	3.0	4.0	Q55	132
New Caledonia	8.0	8.0	Q33788	133
New Zealand	97.0	102.0	Q664	134
Nicaragua	45.0	31.0	Q811	135
Niger	19.0	11.0	Q1032	136
Nigeria	172.0	66.0	Q1033	137
Northern Mariana Islands	0.0	0.0	Q16644	138
Norway	121.0	121.0	Q20	139
Oman	0.0	0.0	Q842	140
Pakistan	25.0	14.0	Q843	141
Palau	0.0	0.0	Q695	142
Panama	50.0	46.0	Q804	143
Papua New Guinea	336.0	336.0	Q691	144
Paraguay	212.0	150.0	Q733	145
Peru	779.0	738.0	Q419	146
Philippines	66.0	83.0	Q928	147
Poland	89.0	95.0	Q36	148
Portugal	34.0	32.0	Q45	149
Puerto Rico	3.0	5.0	Q1183	150
Qatar	0.0	0.0	Q846	151
Romania	64.0	69.0	Q218	152
Russian Federation	8090.0	8149.0	Q159	153
Rwanda	3.0	5.0	Q1037	154
Samoa	1.0	2.0	Q683	155
San Marino	0.0	0.0	Q238	156
Sao Tome and Principe	1.0	1.0	Q1039	157
Saudi Arabia	10.0	10.0	Q851	158
Senegal	93.0	82.0	Q1041	159
Serbia	25.0	27.0	Q403	160
Seychelles	0.0	0.0	Q1042	161
Sierra Leone	31.0	31.0	Q1044	162
Singapore	0.0	0.0	Q334	163
Slovak Republic	19.0	19.0	Q214	164
Slovenia	12.0	12.0	Q215	165
Solomon Islands	23.0	22.0	Q685	166
Somalia	83.0	63.0	Q1045	167
South Africa	92.0	92.0	Q258	168
Spain	138.0	185.0	Q29	169
Sri Lanka	23.0	21.0	Q854	170
St. Kitts and Nevis	0.0	0.0	Q763	171
St. Lucia	0.0	0.0	Q760	172
St. Martin (French part)	0.0	0.0	Q126125	173
St. Vincent and the Grenadines	0.0	0.0	Q757	174
Suriname	154.0	153.0	Q730	175
Sweden	281.0	281.0	Q34	176
Switzerland	12.0	13.0	Q39	177
Syrian Arab Republic	4.0	5.0	Q858	178
Tajikistan	4.0	4.0	Q863	179
Tanzania	559.0	457.0	Q924	180
Thailand	140.0	164.0	Q869	181
Timor-Leste	10.0	7.0	Q574	182
Togo	7.0	2.0	Q945	183
Tonga	0.0	0.0	Q678	184
Trinidad and Tobago	2.0	2.0	Q754	185
Tunisia	6.0	11.0	Q948	186
Turkey	96.0	118.0	Q43	187
Turkmenistan	41.0	41.0	Q874	188
Turks and Caicos Islands	0.0	0.0	Q18221	189
Tuvalu	0.0	0.0	Q672	190
Uganda	48.0	19.0	Q1036	191
Ukraine	93.0	97.0	Q212	192
United Arab Emirates	2.0	3.0	Q878	193
United Kingdom	28.0	32.0	Q145	194
United States	3025.0	3104.0	Q30	195
Uruguay	8.0	19.0	Q77	196
Uzbekistan	30.0	32.0	Q265	197
Vanuatu	4.0	4.0	Q686	198
Venezuela, RB	520.0	465.0	Q717	199
Vietnam	94.0	149.0	Q881	200
Virgin Islands (U.S.)	0.0	0.0	Q11703	201
West Bank and Gaza	0.0	0.0	Q407199	202
Yemen, Rep.	5.0	5.0	Q805	203
Zambia	528.0	485.0	Q953	204
Zimbabwe	222.0	137.0	Q954	205
