Country	Propertyrightsandrulebasedgovernance	Qualityofbudgetaryandfinancialmanagement	Efficiencyofrevenuemobilization	Qualityofpublicadministration	Transparencyaccountabilityandcorruptioninthepublicsector	Average	ID	id_row
Nigeria	2.5	3.0	3.0	2.5	3.0	2.8	Q1033	48
Pakistan	3.0	3.5	3.5	3.0	3.0	3.2	Q843	49
Papua New Guinea	2.0	3.0	3.5	2.5	2.5	2.7	Q691	50
Rwanda	3.5	4.0	4.0	4.0	3.5	3.8	Q1037	51
Samoa	4.5	4.0	4.5	4.0	4.0	4.2	Q683	52
Sao Tome and Principe	3.0	3.0	3.0	3.0	3.5	3.1	Q1039	53
Senegal	3.5	3.5	3.5	3.5	3.5	3.5	Q1041	54
Sierra Leone	3.0	3.5	3.5	3.0	3.0	3.2	Q1044	55
Solomon Islands	3.0	2.5	3.0	2.0	3.0	2.7	Q685	56
Somalia	1.0	2.5	2.5	2.0	2.0	2.0	Q1045	57
South Sudan	1.5	1.0	2.0	1.0	1.5	1.4	Q958	58
St. Lucia	4.0	3.0	4.0	3.5	4.5	3.8	Q760	59
St. Vincent and the Grenadines	4.0	3.0	4.0	3.5	4.0	3.7	Q757	60
Sudan	2.0	2.5	2.5	2.0	1.5	2.1	Q1049	61
Tajikistan	2.5	3.0	3.5	3.0	2.0	2.8	Q863	62
Tanzania	3.0	3.0	3.0	3.0	3.0	3.0	Q924	63
Timor-Leste	2.0	3.0	3.0	2.0	3.0	2.6	Q574	64
Togo	3.0	3.0	3.5	3.0	3.0	3.1	Q945	65
Tonga	4.0	3.5	4.0	3.5	3.5	3.7	Q678	66
Tuvalu	3.5	3.0	3.0	2.5	3.5	3.1	Q672	67
Uganda	3.5	3.5	3.5	3.0	2.5	3.2	Q1036	68
Uzbekistan	3.0	4.0	4.5	3.0	2.5	3.4	Q265	69
Vanuatu	3.5	3.0	3.5	3.0	3.0	3.2	Q686	70
Yemen, Rep.	1.5	1.5	2.5	1.5	1.5	1.7	Q805	71
Zambia	3.0	3.0	3.5	3.0	2.5	3.0	Q953	72
Zimbabwe	2.0	3.0	4.0	3.0	2.5	2.9	Q954	73
