Country	ECI	ECIRank	ChangeOver5Years	ID	id_row
Ecuador	-974.0	112	-7.0	Q736	111
Madagascar	-10.063	113	-12.0	Q1019	112
Mauritania	-1.026	114	18.0	Q1025	113
Bolivia	-10.425	115	-1.0	Q750	114
Tajikistan	-10.877	116	-4.0	Q863	115
Cuba	-11.058	117	-41.0	Q241	116
Malawi	-11.208	118	-15.0	Q1020	117
Venezuela	-11.399	119	2.0	Q717	118
Liberia	-11.532	120	-16.0	Q1014	119
Mozambique	-12.491	121	-8.0	Q1029	120
Algeria	-13.072	122	7.0	Q262	121
Yemen	-13.106	123	-1.0	Q805	122
Azerbaijan	-13.669	124	1.0	Q227	123
Republic of the Congo	-14.196	125	3.0	Q971	124
Gabon	-1.4280000000000002	126	4.0	Q1000	125
Guinea	-14.316	127	-4.0	Q1006	126
Libya	-14.634	128	5.0	Q1016	127
Cameroon	-16.012	129	-19.0	Q1009	128
Papua New Guinea	-16.783	130	-3.0	Q691	129
Angola	-17.052	131	-7.0	Q916	130
Democratic Republic of the Congo	-18.038	132	-6.0	Q974	131
Nigeria	-18.971	133	-2.0	Q1033	132
