Country	Depletion20002018	Depletion20172018	ID	id_row
Mongolia	10.1	2.2	Q711	92
Montenegro	14.1	23.1	Q236	93
Morocco	11.2	-27.8	Q1028	94
Mozambique	46.7	18.5	Q1029	95
Myanmar	0.6	9.0	Q836	96
Namibia	18.8	10.9	Q1030	97
Nepal	-2.6	-48.9	Q837	98
Netherlands	-0.6	10.1	Q55	99
New Zealand	1.6	30.7	Q664	100
Nicaragua	9.5	-15.0	Q811	101
Niger	2.2	-40.0	Q1032	102
Nigeria	-5.3	25.3	Q1033	103
Norway	-3.6	34.6	Q20	104
Oman	-2.2	24.8	Q842	105
Pakistan	-1.4	21.2	Q843	106
Panama	16.4	127.6	Q804	107
Papua New Guinea	-3.6	18.4	Q691	108
Paraguay	-2.0	-15.7	Q733	109
Peru	10.7	0.5	Q419	110
Philippines	5.6	20.1	Q928	111
Poland	3.7	9.1	Q36	112
Portugal	-0.1	24.7	Q45	113
Qatar	-5.1	17.7	Q846	114
Romania	-6.7	29.4	Q218	115
Russian Federation	-2.1	50.2	Q159	116
Rwanda	-1.9	-31.6	Q1037	117
Saudi Arabia	-1.9	28.3	Q851	118
Senegal	27.1	-3.5	Q1041	119
Serbia	-1.5	0.5	Q403	120
Sierra Leone	0.7	-41.2	Q1044	121
Slovak Republic	7.5	-10.0	Q214	122
Slovenia	1.7	62.2	Q215	123
Solomon Islands	14.9	-5.1	Q685	124
South Africa	2.1	9.9	Q258	125
Spain	11.9	10.0	Q29	126
Sri Lanka	-4.0	-40.6	Q854	127
Suriname	9.4	-9.6	Q730	128
Sweden	19.1	16.1	Q34	129
Switzerland	-7.7	6.1	Q39	130
Tajikistan	29.9	20.3	Q863	131
Tanzania	41.4	4.4	Q924	132
Thailand	2.2	20.7	Q869	133
Togo	6.1	-32.1	Q945	134
Tonga	3.3	-30.7	Q678	135
Trinidad and Tobago	-2.0	52.6	Q754	136
Tunisia	0.3	29.8	Q948	137
Turkey	5.2	31.8	Q43	138
Uganda	-1.1	-37.2	Q1036	139
Ukraine	-2.3	51.8	Q212	140
United Arab Emirates	1.2	29.3	Q878	141
United Kingdom	-4.4	56.3	Q145	142
United States	-6.7	85.6	Q30	143
Uruguay	23.9	3.6	Q77	144
Uzbekistan	-4.5	64.8	Q265	145
Vietnam	-6.2	8.0	Q881	146
Zambia	32.9	23.8	Q953	147
Zimbabwe	7.7	-23.8	Q954	148
