Country	Winningfilms	Nominatedfilms	Submittedfilms	ID	id_row
Cameroon	0.0	0.0	2.0	Q1009	98
Chad	0.0	0.0	2.0	Q657	99
Greenland	0.0	0.0	2.0	Q223	100
Guatemala	0.0	0.0	2.0	Q774	101
Honduras	0.0	0.0	2.0	Q783	102
Kuwait	0.0	0.0	2.0	Q817	103
Moldova	0.0	0.0	2.0	Q217	104
Senegal	0.0	0.0	2.0	Q1041	105
Sri Lanka	0.0	0.0	2.0	Q854	106
Tajikistan	0.0	0.0	2.0	Q863	107
Yemen	0.0	0.0	2.0	Q805	108
Bhutan	0.0	0.0	1.0	Q917	109
Burkina Faso	0.0	0.0	1.0	Q965	110
Democratic Republic of the Congo	0.0	0.0	1.0	Q974	111
Fiji	0.0	0.0	1.0	Q712	112
Ghana	0.0	0.0	1.0	Q117	113
Haiti	0.0	0.0	1.0	Q790	114
Laos	0.0	0.0	1.0	Q819	115
Malawi	0.0	0.0	1.0	Q1020	116
Malta	0.0	0.0	1.0	Q233	117
Mozambique	0.0	0.0	1.0	Q1029	118
Niger	0.0	0.0	1.0	Q1032	119
Nigeria	0.0	0.0	1.0	Q1033	120
Syria	0.0	0.0	1.0	Q858	121
Tanzania	0.0	0.0	1.0	Q924	122
Uzbekistan	0.0	0.0	1.0	Q265	123
