Country	Coal	Naturalgas	Oil	Hydropower	Renewablesources	Nuclearpower	ID	id_row
Mozambique	0.0	12.8	0.8	86.4	0.0	0.0	Q1029	85
Myanmar	1.8	39.0	0.3	58.9	0.0	0.0	Q836	86
Namibia	0.5	0.0	1.8	97.8	0.0	0.0	Q1030	87
Nepal	0.0	0.0	0.0	99.8	0.2	0.0	Q837	88
Netherlands	38.7	42.3	1.3	0.1	12.4	3.5	Q55	89
New Zealand	4.3	15.5	0.0	55.5	24.6	0.0	Q664	90
Nicaragua	0.0	0.0	49.9	6.4	43.6	0.0	Q811	91
Niger	41.6	0.0	57.6	0.0	0.8	0.0	Q1032	92
Nigeria	0.0	81.8	0.0	18.2	0.0	0.0	Q1033	93
Norway	0.1	1.8	0.0	95.8	1.9	0.0	Q20	94
Oman	0.0	97.4	2.6	0.0	0.0	0.0	Q842	95
Pakistan	0.1	25.7	37.2	30.7	0.8	4.8	Q843	96
Panama	6.9	0.0	27.8	60.8	4.6	0.0	Q804	97
Paraguay	0.0	0.0	0.0	100.0	0.0	0.0	Q733	98
Peru	0.8	45.0	1.4	49.1	3.6	0.0	Q419	99
Philippines	44.5	22.9	7.1	10.5	14.9	0.0	Q928	100
Poland	80.9	3.9	1.3	1.1	12.7	0.0	Q36	101
Portugal	28.7	20.6	2.6	16.9	30.6	0.0	Q45	102
Qatar	0.0	100.0	0.0	0.0	0.0	0.0	Q846	103
Romania	27.6	14.2	0.7	25.2	14.5	17.9	Q218	104
Russian Federation	14.8	49.7	0.9	15.8	0.1	17.0	Q159	105
Saudi Arabia	0.0	55.8	20.4	0.0	0.0	0.0	Q851	106
Senegal	0.0	4.2	83.6	8.6	1.8	0.0	Q1041	107
Serbia	72.4	0.6	0.1	26.8	0.1	0.0	Q403	108
Singapore	1.2	95.0	0.7	0.0	1.8	0.0	Q334	109
Slovak Republic	12.5	6.0	1.4	14.5	8.2	56.9	Q214	110
Slovenia	29.6	2.7	0.1	25.7	3.7	38.1	Q215	111
South Africa	92.7	0.0	0.1	0.3	1.9	5.5	Q258	112
South Sudan	0.0	0.0	99.4	0.0	0.6	0.0	Q958	113
Spain	19.0	18.9	6.2	10.1	24.8	20.6	Q29	114
Sri Lanka	33.7	0.0	17.8	45.3	3.2	0.0	Q854	115
Sudan	0.0	0.0	22.6	64.5	0.0	0.0	Q1049	116
Suriname	0.0	0.0	39.9	60.1	0.0	0.0	Q730	117
Sweden	0.7	0.3	0.2	46.5	16.8	34.7	Q34	118
Switzerland	0.0	1.0	0.1	57.9	4.3	34.9	Q39	119
Syrian Arab Republic	0.0	68.6	29.1	2.3	0.0	0.0	Q858	120
Tajikistan	1.5	0.0	0.0	98.5	0.0	0.0	Q863	121
Tanzania	0.0	43.9	21.9	33.5	0.7	0.0	Q924	122
Thailand	19.5	71.4	0.6	2.7	5.9	0.0	Q869	123
Togo	0.0	0.0	24.7	69.1	6.2	0.0	Q945	124
Trinidad and Tobago	0.0	99.8	0.2	0.0	0.0	0.0	Q754	125
Tunisia	0.0	91.4	4.6	0.4	2.5	0.0	Q948	126
Turkey	29.1	37.9	0.8	25.6	6.3	0.0	Q43	127
Turkmenistan	0.0	100.0	0.0	0.0	0.0	0.0	Q874	128
Ukraine	34.6	6.2	0.5	3.3	1.1	48.6	Q212	129
United Arab Emirates	0.0	98.5	1.2	0.0	0.2	0.0	Q878	130
United Kingdom	22.8	29.7	0.6	1.9	23.0	20.9	Q145	131
United States	34.2	31.9	0.9	5.8	7.4	19.3	Q30	132
Uruguay	0.0	0.0	11.4	60.2	28.4	0.0	Q77	133
Uzbekistan	4.1	75.0	0.3	20.7	0.0	0.0	Q265	134
Venezuela, RB	0.0	19.4	16.9	63.7	0.0	0.0	Q717	135
Vietnam	29.6	33.2	0.5	36.6	0.1	0.0	Q881	136
Yemen, Rep.	0.0	39.8	60.2	0.0	0.0	0.0	Q805	137
Zambia	0.0	0.0	3.0	97.0	0.0	0.0	Q953	138
Zimbabwe	46.8	0.0	0.5	51.4	1.3	0.0	Q954	139
