Country	O	A	B	AB	O	A	B	AB	ID	id_row
Germany	35.0	37.0	9.0	4.0	6.0	6.0	2.0	1.0	Q183	35
Ghana	53.8	17.6	18.3	2.8	4.5	1.3	1.3	0.2	Q117	36
Greece	37.8	32.2	11.0	4.0	6.6	5.7	2.0	0.7	Q41	37
Guinea	46.88	21.64	22.86	4.52	2.0	0.9	1.0	0.2	Q1006	38
Honduras	57.5	27.0	7.8	2.5	2.7	1.7	0.6	0.2	Q783	39
Hong Kong	41.5	26.13	25.34	6.35	0.32	0.17	0.14	0.05	Q8646	40
Hungary	27.0	33.0	16.0	8.0	5.0	7.0	3.0	1.0	Q28	41
Iceland	46.8	27.2	9.0	2.0	8.2	4.8	1.6	0.4	Q189	42
India	27.85	20.8	38.14	8.93	1.43	0.57	1.79	0.49	Q668	43
Indonesia	36.82	25.87	28.85	7.96	0.18	0.13	0.15	0.04	Q252	44
Iran	33.5	27.0	22.2	7.0	4.0	3.0	2.5	0.8	Q794	45
Iraq	32.1	25.0	25.6	7.4	3.6	2.7	2.7	0.9	Q796	46
Ireland	47.0	26.0	9.0	2.0	8.0	5.0	2.0	1.0	Q27	47
Israel	32.0	34.0	17.0	7.0	3.0	4.0	2.0	1.0	Q801	48
Italy	39.0	36.0	7.5	2.5	7.0	6.0	1.5	0.5	Q38	49
Ivory Coast	46.5	22.5	22.5	4.3	2.0	1.0	1.0	0.2	Q1008	50
Jamaica	47.0	23.0	20.0	3.0	3.5	2.0	1.0	0.5	Q766	51
Japan	29.9	39.8	19.9	9.9	0.15	0.2	0.1	0.05	Q17	52
Kazakhstan	30.7	29.8	24.2	8.3	2.3	2.2	1.8	0.7	Q232	53
Kenya	45.6	25.2	21.28	4.2	1.8	1.0	0.9	0.02	Q114	54
Latvia	30.6	31.0	17.0	6.0	5.4	6.0	3.0	1.0	Q211	55
Lebanon	38.4	32.3	9.5	3.2	7.7	6.5	1.7	0.7	Q822	56
Libya	42.64	28.86	11.19	4.5	6.26	4.24	1.64	0.67	Q1016	57
Liechtenstein	34.0	37.0	10.0	4.0	6.0	6.5	1.8	0.7	Q347	58
Lithuania	36.0	33.0	11.0	4.0	7.0	6.0	2.0	1.0	Q37	59
Luxemburg	35.0	37.0	9.0	4.0	6.0	6.0	2.0	1.0	Q32	60
Macao	41.5	26.1	25.4	6.3	0.33	0.17	0.15	0.05	Q14773	61
Malaysia	34.32	30.35	27.37	7.46	0.17	0.15	0.14	0.04	Q833	62
Malta	38.0	41.0	7.0	3.0	5.0	4.5	1.0	0.5	Q233	63
Mauritania	46.3	26.68	17.47	3.85	2.8	1.6	1.1	0.2	Q1025	64
Mauritius	38.3	26.0	25.0	6.7	1.7	1.0	1.0	0.3	Q1027	65
Mexico	59.09	26.23	8.53	1.73	2.73	1.21	0.4	0.08	Q96	66
Moldova	28.5	31.8	17.6	7.0	5.0	6.0	3.0	1.1	Q217	67
Mongolia	55.4	27.7	10.9	4.96	0.6	0.3	0.1	0.04	Q711	68
Morocco	42.3	29.8	14.3	4.1	4.5	3.1	1.5	0.4	Q1028	69
Myanmar	35.7	23.8	32.7	6.95	0.3	0.2	0.3	0.05	Q836	70
Nepal	35.2	28.3	27.1	8.6	0.3	0.2	0.2	0.1	Q837	71
Netherlands	39.5	35.0	6.7	2.5	7.5	7.0	1.3	0.5	Q55	72
New Zealand	38.0	32.0	9.0	3.0	9.0	6.0	2.0	1.0	Q664	73
Nigeria	51.3	22.4	20.7	2.6	1.6	0.7	0.6	0.1	Q1033	74
North Korea	27.15	31.08	30.15	11.32	0.08	0.1	0.1	0.03	Q423	75
North Macedonia	30.0	34.0	15.0	6.0	5.0	6.0	3.0	1.0	Q221	76
Norway	33.2	41.6	6.8	3.4	5.8	7.4	1.2	0.6	Q20	77
Pakistan	26.63	21.6	34.4	9.52	2.17	1.66	3.57	0.45	Q843	78
Papua New Guinea	48.0	37.2	9.6	2.8	1.0	0.8	0.4	0.2	Q691	79
Peru	70.0	18.4	7.8	1.6	1.4	0.5	0.28	0.02	Q419	80
Philippines	45.9	22.9	24.9	5.97	0.1	0.1	0.1	0.03	Q928	81
Poland	31.0	32.0	15.0	7.0	6.0	6.0	2.0	1.0	Q36	82
Portugal	36.2	39.8	6.6	2.9	6.1	6.8	1.1	0.5	Q45	83
Romania	28.0	37.0	14.0	7.0	5.0	6.0	2.0	1.0	Q218	84
Russia	28.0	30.4	19.7	6.9	4.9	5.4	3.5	1.2	Q159	85
Saudi Arabia	47.8	23.9	17.0	4.0	4.0	2.0	1.0	0.3	Q851	86
Serbia	31.92	35.28	12.6	4.2	6.08	6.72	2.4	0.8	Q403	87
Singapore	44.7	23.9	24.5	5.6	0.6	0.3	0.3	0.1	Q334	88
Slovakia	27.2	35.7	15.3	6.8	4.8	6.3	2.7	1.2	Q214	89
Slovenia	31.0	33.0	12.0	6.0	7.0	7.0	3.0	1.0	Q215	90
South Africa	39.0	32.0	12.0	3.0	6.0	5.0	2.0	1.0	Q258	91
South Korea	27.9	33.87	26.92	10.98	0.1	0.13	0.08	0.02	Q884	92
Spain	35.0	36.0	8.0	2.5	9.0	7.0	2.0	0.5	Q29	93
Sudan	48.0	27.7	15.2	2.8	3.5	1.8	0.8	0.2	Q1049	94
Sweden	32.0	37.0	10.0	5.0	6.0	7.0	2.0	1.0	Q34	95
Switzerland	35.0	38.0	8.0	4.0	6.0	7.0	1.0	1.0	Q39	96
Syria	43.0	30.0	14.0	3.7	5.0	3.0	1.0	0.3	Q858	97
Taiwan	43.9	25.9	23.9	6.0	0.17	0.1	0.01	0.02	Q865	98
Thailand	40.8	16.9	36.8	4.97	0.2	0.1	0.2	0.03	Q869	99
Turkey	29.8	37.8	14.2	7.2	3.9	4.7	1.6	0.8	Q43	100
Uganda	43.7	39.0	10.7	3.9	1.3	1.0	0.3	0.1	Q1036	101
Ukraine	32.0	34.0	15.0	5.0	5.0	6.0	2.0	1.0	Q212	102
United Arab Emirates	44.1	21.9	20.9	4.3	4.3	2.1	2.0	0.4	Q878	103
United Kingdom	38.0	32.0	8.0	3.0	9.0	7.0	2.0	1.0	Q145	104
United States	37.4	35.7	8.5	3.4	6.6	6.3	1.5	0.6	Q30	105
Venezuela	58.3	28.2	5.6	1.9	3.7	1.8	0.4	0.1	Q717	106
Vietnam	41.7	21.9	30.8	4.98	0.3	0.1	0.2	0.02	Q881	107
Yemen	47.84	27.5	15.32	2.14	3.66	2.1	1.17	0.16	Q805	108
Zimbabwe	63.3	18.5	14.6	0.99	1.7	0.5	0.4	0.01	Q954	109
