Country	Total	Womensshareofpopulationages15livingwithHIV	YouthMale	YouthFemale	ID	id_row
Mali	1.2	64.0	0.4	0.8	Q912	66
Mauritania	0.2	51.0	0.1	0.1	Q1025	67
Mauritius	1.2	30.0	0.3	0.2	Q1027	68
Moldova	0.7	38.0	0.2	0.1	Q217	69
Mongolia	0.1	19.0	0.1	0.1	Q711	70
Montenegro	0.1	12.0	0.1	0.1	Q236	71
Morocco	0.1	43.0	0.1	0.1	Q1028	72
Mozambique	12.4	62.0	2.8	7.1	Q1029	73
Myanmar	0.7	38.0	0.3	0.3	Q836	74
Namibia	11.5	63.0	2.7	4.8	Q1030	75
Nepal	0.1	40.0	0.1	0.1	Q837	76
Netherlands	0.2	17.0	0.1	0.1	Q55	77
New Zealand	0.1	16.0	0.1	0.1	Q664	78
Nicaragua	0.2	33.0	0.1	0.1	Q811	79
Niger	0.2	57.0	0.1	0.1	Q1032	80
Nigeria	1.3	59.0	0.3	0.6	Q1033	81
Oman	0.1	31.0	0.1	0.1	Q842	82
Pakistan	0.1	30.0	0.1	0.1	Q843	83
Papua New Guinea	0.9	57.0	0.2	0.3	Q691	84
Paraguay	0.5	31.0	0.2	0.1	Q733	85
Peru	0.3	24.0	0.1	0.1	Q419	86
Philippines	0.2	6.0	0.2	0.1	Q928	87
Romania	0.1	40.0	0.1	0.1	Q218	88
Rwanda	2.6	61.0	0.7	1.1	Q1037	89
Senegal	0.4	58.0	0.1	0.1	Q1041	90
Serbia	0.1	15.0	0.1	0.1	Q403	91
Sierra Leone	1.6	60.0	0.6	1.2	Q1044	92
Singapore	0.2	9.0	0.1	0.1	Q334	93
Somalia	0.1	54.0	0.1	0.1	Q1045	94
South Africa	19.0	65.0	3.4	10.2	Q258	95
South Sudan	2.5	59.0	0.7	1.3	Q958	96
Spain	0.4	18.0	0.1	0.1	Q29	97
Sri Lanka	0.1	29.0	0.1	0.1	Q854	98
Sudan	0.2	48.0	0.1	0.1	Q1049	99
Suriname	1.3	45.0	0.2	0.3	Q730	100
Syrian Arab Republic	0.1	31.0	0.1	0.1	Q858	101
Tajikistan	0.2	26.0	0.1	0.1	Q863	102
Tanzania	4.8	61.0	1.2	2.2	Q924	103
Thailand	1.0	44.0	0.3	0.2	Q869	104
Timor-Leste	0.2	45.0	0.1	0.1	Q574	105
Togo	2.2	63.0	0.5	1.0	Q945	106
Trinidad and Tobago	0.7	51.0	0.1	0.1	Q754	107
Tunisia	0.1	26.0	0.1	0.1	Q948	108
Uganda	5.8	61.0	1.2	2.8	Q1036	109
Ukraine	1.0	45.0	0.1	0.1	Q212	110
United States	0.4	22.0	0.1	0.1	Q30	111
Uzbekistan	0.2	37.0	0.1	0.1	Q265	112
Venezuela, RB	0.6	41.0	0.2	0.3	Q717	113
Vietnam	0.3	31.0	0.1	0.1	Q881	114
Yemen, Rep.	0.1	22.0	0.1	0.1	Q805	115
Zambia	11.5	60.0	2.6	5.5	Q953	116
Zimbabwe	12.8	60.0	3.3	5.9	Q954	117
