Country	ReferenceYear	Lowest10	Lowest20	Second20	Third20	Fourth20	Highest20	Highest10	ID	id_row
Gabon	2017	2.2	6.0	10.8	15.7	23.0	44.4	27.7	Q1000	48
Gambia, The	2015	3.0	7.4	11.6	15.7	21.8	43.6	28.7	Q1005	49
Georgia	2018	2.4	6.5	11.5	16.2	22.6	43.2	27.5	Q230	50
Germany	2016	2.9	7.6	12.8	17.1	22.8	39.6	24.6	Q183	51
Ghana	2016	1.6	4.7	9.6	14.8	22.3	48.6	32.2	Q117	52
Greece	2017	2.4	6.6	12.3	17.1	23.0	41.1	25.9	Q41	53
Guatemala	2014	1.7	4.5	8.6	13.2	20.1	53.6	38.1	Q774	54
Guinea	2012	3.0	7.6	12.2	16.4	22.4	41.5	26.4	Q1006	55
Guinea-Bissau	2010	1.6	4.5	8.3	12.2	18.3	56.7	42.0	Q1007	56
Guyana	1998	1.5	4.5	9.7	14.7	21.5	49.6	34.1	Q734	57
Haiti	2012	2.1	5.5	10.3	15.2	21.9	47.1	31.2	Q790	58
Honduras	2018	0.9	3.0	7.4	12.7	20.8	56.1	39.1	Q783	59
Hungary	2017	3.0	7.9	13.2	17.6	22.8	38.5	23.9	Q28	60
Iceland	2015	3.9	9.5	14.2	17.7	22.2	36.5	22.5	Q189	61
India	2011	3.3	7.7	11.1	14.7	20.3	46.2	31.7	Q668	62
Indonesia	2018	2.8	6.7	10.5	14.9	21.7	46.1	30.4	Q252	63
Iran, Islamic Rep.	2017	2.3	5.9	10.3	14.8	21.7	47.3	31.3	Q794	64
Iraq	2012	3.7	8.8	13.1	17.1	22.5	38.5	23.7	Q796	65
Ireland	2016	3.1	7.9	12.6	16.3	22.0	41.2	25.9	Q27	66
Israel	2016	1.9	5.1	10.6	16.4	23.6	44.2	27.7	Q801	67
Italy	2017	1.9	6.0	12.0	16.9	23.0	42.1	26.7	Q38	68
Jamaica	2004	2.1	5.3	9.2	13.2	20.6	51.6	35.8	Q766	69
Japan	2013	2.9	7.7	12.8	16.6	21.7	41.1	26.4	Q17	70
Jordan	2010	3.5	8.2	12.1	15.8	21.5	42.4	27.5	Q810	71
Kazakhstan	2017	4.3	9.8	13.6	17.1	22.1	37.4	23.0	Q232	72
Kenya	2015	2.4	6.2	10.3	14.6	21.5	47.5	31.6	Q114	73
Kiribati	2006	2.6	6.6	11.6	16.0	21.9	43.9	29.3	Q710	74
Korea, Rep.	2012	2.6	7.3	13.0	17.5	23.2	39.0	23.8	Q884	75
Kosovo	2017	3.8	9.2	13.6	17.0	21.6	38.6	24.6	Q1246	76
Kyrgyz Republic	2018	4.3	9.9	13.5	17.0	21.8	37.8	23.6	Q813	77
Lao PDR	2012	3.2	7.6	11.5	15.3	21.0	44.6	29.8	Q819	78
Latvia	2017	2.3	6.7	11.7	16.4	22.8	42.4	26.9	Q211	79
Lebanon	2011	3.1	7.9	12.7	17.0	22.5	40.0	24.8	Q822	80
Lesotho	2017	1.7	4.6	8.9	14.2	22.6	49.8	32.9	Q1013	81
Liberia	2016	2.9	7.2	11.6	16.0	22.3	42.8	27.1	Q1014	82
Lithuania	2017	2.1	6.3	11.6	15.9	22.3	43.9	28.4	Q37	83
Luxembourg	2017	2.4	6.5	11.9	16.8	23.3	41.4	25.8	Q32	84
North Macedonia	2017	1.7	5.6	12.3	17.9	24.4	39.7	23.8	Q221	85
Madagascar	2012	2.2	5.7	10.0	14.1	20.7	49.4	33.5	Q1019	86
Malawi	2016	2.6	6.4	9.8	13.3	18.8	51.7	38.1	Q1020	87
Malaysia	2015	2.3	5.8	10.1	14.8	22.0	47.3	31.3	Q833	88
Maldives	2016	3.4	8.3	12.9	16.9	22.2	39.8	25.2	Q826	89
Mali	2009	3.3	8.0	12.1	16.2	22.5	41.3	25.7	Q912	90
Malta	2017	3.4	8.5	13.4	17.6	22.5	38.0	23.3	Q233	91
Mauritania	2014	3.0	7.5	12.4	16.9	23.0	40.2	24.9	Q1025	92
Mauritius	2017	2.9	7.2	11.6	15.5	21.1	44.6	29.9	Q1027	93
Mexico	2018	2.0	5.4	9.5	13.5	20.0	51.7	36.4	Q96	94
Micronesia, Fed. Sts.	2013	1.9	5.5	10.7	15.3	22.5	46.0	29.7	Q702	95
Moldova	2018	4.4	10.2	14.2	17.5	22.1	36.0	22.0	Q217	96
Mongolia	2018	3.3	7.9	12.3	16.5	22.5	40.9	25.7	Q711	97
Montenegro	2015	1.8	5.2	10.7	16.3	23.5	44.3	27.7	Q236	98
Morocco	2013	2.7	6.7	10.7	14.7	20.9	47.0	31.9	Q1028	99
Mozambique	2014	1.6	4.2	7.6	11.2	17.4	59.5	45.5	Q1029	100
Myanmar	2017	3.8	8.9	13.0	16.6	21.6	39.9	25.5	Q836	101
Namibia	2015	1.0	2.8	5.8	9.8	17.9	63.7	47.3	Q1030	102
Nepal	2010	3.5	8.3	12.1	16.2	21.8	41.5	26.4	Q837	103
Netherlands	2017	3.5	8.8	13.8	17.5	22.3	37.6	23.3	Q55	104
Nicaragua	2014	2.0	5.1	9.2	13.7	20.0	52.1	37.2	Q811	105
Niger	2014	3.2	7.8	11.8	16.0	22.0	42.4	27.0	Q1032	106
Nigeria	2009	2.0	5.4	9.7	14.4	21.6	49.0	32.7	Q1033	107
Norway	2017	3.3	8.9	14.3	18.0	22.8	36.0	21.6	Q20	108
Pakistan	2015	3.9	8.9	12.2	15.6	20.5	42.8	28.9	Q843	109
Panama	2018	1.2	3.6	8.3	13.4	21.2	53.6	37.1	Q804	110
Papua New Guinea	2009	1.9	5.1	10.0	15.2	22.4	47.3	31.0	Q691	111
Paraguay	2018	1.7	4.7	9.2	13.6	20.9	51.7	35.9	Q733	112
Peru	2018	1.8	4.9	9.9	14.8	22.0	48.3	32.1	Q419	113
Philippines	2015	2.3	5.7	9.3	13.5	20.7	50.9	34.8	Q928	114
Poland	2017	3.2	8.3	13.4	17.5	22.6	38.2	23.5	Q36	115
Portugal	2017	2.7	7.4	12.4	16.5	22.1	41.6	26.7	Q45	116
Romania	2017	1.6	5.3	11.7	17.4	24.7	41.0	24.9	Q218	117
Russian Federation	2018	2.9	7.1	11.2	15.2	21.4	45.1	29.9	Q159	118
Rwanda	2016	2.4	6.0	9.8	13.6	19.8	50.8	35.6	Q1037	119
Samoa	2013	2.7	6.8	11.1	14.9	20.8	46.4	31.3	Q683	120
Sao Tome and Principe	2017	1.3	3.9	7.6	11.1	16.1	61.2	49.2	Q1039	121
Senegal	2011	2.3	6.1	10.3	15.0	21.7	46.9	31.0	Q1041	122
Serbia	2017	1.4	5.2	12.1	17.4	23.8	41.5	25.6	Q403	123
Seychelles	2013	1.9	5.4	9.8	13.3	18.4	53.0	39.9	Q1042	124
Sierra Leone	2018	3.4	7.9	11.7	15.3	21.0	44.2	29.4	Q1044	125
Slovak Republic	2016	2.9	8.7	15.1	19.0	23.2	34.0	19.9	Q214	126
Slovenia	2017	4.1	10.0	14.8	18.3	22.5	34.4	20.4	Q215	127
Solomon Islands	2013	2.8	7.0	11.4	15.5	21.5	44.6	29.2	Q685	128
South Africa	2014	0.9	2.4	4.8	8.2	16.5	68.2	50.5	Q258	129
South Sudan	2009	1.3	3.9	8.6	14.2	22.8	50.6	33.2	Q958	130
Spain	2017	2.1	6.2	12.2	17.2	23.4	41.0	25.4	Q29	131
Sri Lanka	2016	2.9	7.0	10.7	14.5	20.3	47.6	32.9	Q854	132
St. Lucia	2016	0.9	3.1	7.9	13.0	20.6	55.4	38.6	Q760	133
Sudan	2014	3.2	7.8	12.1	16.1	21.6	42.4	27.8	Q1049	134
Eswatini	2016	1.4	3.7	6.8	10.7	18.6	60.2	42.7	Q1050	135
Sweden	2017	3.0	8.3	13.9	17.6	23.1	37.1	22.3	Q34	136
Switzerland	2017	3.1	7.7	12.5	16.7	22.4	40.6	25.5	Q39	137
Syrian Arab Republic	2004	3.2	7.6	11.6	15.4	21.4	44.0	28.7	Q858	138
Tajikistan	2015	3.0	7.4	12.0	16.4	22.4	41.7	26.4	Q863	139
Tanzania	2017	2.9	6.9	10.5	14.2	20.4	48.1	33.1	Q924	140
Thailand	2018	3.0	7.2	11.1	15.5	22.2	44.0	28.1	Q869	141
Timor-Leste	2014	4.0	9.4	13.4	16.9	21.8	38.4	24.0	Q574	142
Togo	2015	1.9	5.0	9.5	14.4	22.4	48.6	31.6	Q945	143
Tonga	2015	2.8	6.8	11.4	15.2	21.2	45.4	29.7	Q678	144
Tunisia	2015	3.2	7.8	12.3	16.5	22.5	40.9	25.6	Q948	145
Turkey	2018	2.2	5.8	10.1	14.5	21.1	48.5	32.6	Q43	146
Turkmenistan	1998	2.6	6.1	10.1	14.7	21.5	47.5	31.7	Q874	147
Tuvalu	2010	2.7	6.6	10.8	15.0	21.3	46.4	30.7	Q672	148
Uganda	2016	2.5	6.1	9.8	13.8	20.4	49.8	34.2	Q1036	149
Ukraine	2018	4.2	9.9	14.1	17.8	22.3	36.1	22.0	Q212	150
United Arab Emirates	2014	2.3	6.2	12.0	18.0	25.5	38.2	21.4	Q878	151
United Kingdom	2016	2.8	7.1	11.9	16.4	22.5	42.1	26.8	Q145	152
United States	2016	1.7	5.1	10.3	15.3	22.6	46.8	30.5	Q30	153
Uruguay	2018	2.3	5.9	10.4	15.3	22.5	45.9	29.7	Q77	154
Uzbekistan	2003	2.9	7.4	12.0	15.8	21.4	43.4	28.3	Q265	155
Vanuatu	2010	2.7	6.7	11.1	15.5	21.8	44.8	29.4	Q686	156
Venezuela, RB	2006	0.5	3.2	9.2	14.5	22.3	50.7	34.1	Q717	157
Vietnam	2018	2.5	6.7	11.9	16.3	22.3	42.9	27.5	Q881	158
West Bank and Gaza	2016	2.9	7.3	11.9	16.6	23.2	41.1	25.2	Q407199	159
Yemen, Rep.	2014	3.0	7.3	11.5	15.3	21.2	44.7	29.4	Q805	160
Zambia	2015	1.0	2.9	6.0	10.6	19.3	61.3	44.4	Q953	161
Zimbabwe	2017	2.5	6.0	9.1	13.2	20.6	51.1	34.8	Q954	162
