Country	GDPperpersonemployed_200002	GDPperpersonemployed_201518	ID	id_row
St. Lucia	31.4	32.4	Q760	155
St. Vincent and the Grenadines	22.0	21.8	Q757	156
Sudan	55.2	44.9	Q1049	157
Suriname	18.9	13.5	Q730	158
Sweden	9.7	7.9	Q34	159
Switzerland	10.4	8.6	Q39	160
Syrian Arab Republic	40.6	35.4	Q858	161
Tajikistan	42.1	39.3	Q863	162
Tanzania	84.8	78.0	Q924	163
Thailand	55.1	47.6	Q869	164
Timor-Leste	74.0	58.6	Q574	165
Togo	81.7	74.1	Q945	166
Tonga	52.9	49.3	Q678	167
Trinidad and Tobago	18.3	21.9	Q754	168
Tunisia	25.7	21.9	Q948	169
Turkey	34.6	24.9	Q43	170
Turkmenistan	27.7	25.7	Q874	171
Uganda	79.1	68.4	Q1036	172
Ukraine	15.6	16.7	Q212	173
United Arab Emirates	1.7	0.7	Q878	174
United Kingdom	11.5	16.0	Q145	175
United States	4.7	4.3	Q30	176
Uruguay	25.4	26.5	Q77	177
Uzbekistan	44.5	40.5	Q265	178
Vanuatu	68.8	67.4	Q686	179
Venezuela, RB	35.0	35.3	Q717	180
Vietnam	77.6	48.8	Q881	181
Virgin Islands (U.S.)	8.4	9.1	Q11703	182
West Bank and Gaza	27.1	23.4	Q407199	183
Yemen, Rep.	36.9	43.8	Q805	184
Zambia	73.0	69.2	Q953	185
Zimbabwe	46.0	54.5	Q954	186
