Country	PoliticalRights2015	CivilLiberties2015	PoliticalRights2016	CivilLiberties2016	PoliticalRights2017	CivilLiberties2017	PoliticalRights2018	CivilLiberties2018	PoliticalRights2019	CivilLiberties2019	PoliticalRights2020	CivilLiberties2020	ID	id_row
Grenada	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	Q769	67
Guatemala	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	Q774	68
Guinea	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	Q1006	69
Guinea-Bissau	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	Q1007	70
Guyana	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	Q734	71
Haiti	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	Q790	72
Honduras	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	Q783	73
Hungary	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	Q28	74
Iceland	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q189	75
India	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	Q668	76
Indonesia	2.0	4.0	2.0	4.0	2.0	4.0	2.0	4.0	2.0	4.0	2.0	4.0	Q252	77
Iran	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	Q794	78
Iraq	6.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	Q796	79
Ireland	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q27	80
Israel	1.0	2.0	1.0	2.0	1.0	2.0	1.0	3.0	2.0	3.0	2.0	3.0	Q801	81
Italy	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q38	82
Ivory Coast	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	Q1008	83
Jamaica	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	Q766	84
Japan	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q17	85
Jordan	6.0	5.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	Q810	86
Kazakhstan	6.0	5.0	6.0	5.0	7.0	5.0	7.0	5.0	7.0	5.0	7.0	5.0	Q232	87
Kenya	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	Q114	88
Kiribati	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q710	89
Kosovo	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	Q1246	90
Kuwait	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	Q817	91
Kyrgyzstan	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	Q813	92
Laos	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q819	93
Latvia	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	Q211	94
Lebanon	5.0	4.0	5.0	4.0	5.0	4.0	6.0	4.0	5.0	4.0	5.0	4.0	Q822	95
Lesotho	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q1013	96
Liberia	3.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	Q1014	97
Libya	6.0	6.0	6.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q1016	98
Liechtenstein	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	Q347	99
Lithuania	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q37	100
Luxembourg	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q32	101
Madagascar	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0	Q1019	102
Malawi	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q1020	103
Malaysia	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	Q833	104
Maldives	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	Q826	105
Mali	5.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	Q912	106
Malta	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	Q233	107
Marshall Islands	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q709	108
Mauritania	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	5.0	5.0	Q1025	109
Mauritius	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	Q1027	110
Mexico	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q96	111
Micronesia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q702	112
Moldova	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	Q217	113
Monaco	2.0	1.0	2.0	1.0	3.0	1.0	3.0	1.0	3.0	1.0	3.0	1.0	Q235	114
Mongolia	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	Q711	115
Montenegro	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	Q236	116
Morocco	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	Q1028	117
Mozambique	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	Q1029	118
Myanmar	6.0	6.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	6.0	Q836	119
Namibia	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	Q1030	120
Nauru	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	Q697	121
Nepal	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	Q837	122
Netherlands	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q55	123
New Zealand	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q664	124
Nicaragua	4.0	3.0	4.0	3.0	5.0	4.0	5.0	4.0	6.0	5.0	6.0	5.0	Q811	125
Niger	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	Q1032	126
Nigeria	4.0	5.0	4.0	5.0	3.0	5.0	3.0	5.0	3.0	5.0	4.0	5.0	Q1033	127
North Korea	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	Q423	128
North Macedonia	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0	Q221	129
Norway	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q20	130
Oman	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	Q842	131
Pakistan	4.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	Q843	132
Palau	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q695	133
Panama	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	Q804	134
Papua New Guinea	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	Q691	135
Paraguay	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q733	136
Peru	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	Q419	137
Philippines	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	Q928	138
Poland	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	Q36	139
Portugal	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q45	140
Qatar	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	Q846	141
Romania	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q218	142
Russia	6.0	6.0	6.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q159	143
Rwanda	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	Q1037	144
Saint Kitts and Nevis	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q763	145
Saint Lucia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q760	146
Saint Vincent and the Grenadines	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q757	147
Samoa	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q683	148
San Marino	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q238	149
São Tomé and Political Rightsíncipe	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q1039	150
Saudi Arabia	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	Q851	151
Senegal	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	Q1041	152
Serbia	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	4.0	3.0	Q403	153
Seychelles	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q1042	154
Sierra Leone	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	Q1044	155
Singapore	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	Q334	156
Slovakia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	Q214	157
Slovenia	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q215	158
Solomon Islands	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	Q685	159
Somalia	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	Q1045	160
South Africa	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q258	161
South Korea	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q884	162
South Sudan	7.0	6.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	Q958	163
Spain	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q29	164
Sri Lanka	5.0	5.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	Q854	165
Sudan	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	Q1049	166
Suriname	2.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	Q730	167
Sweden	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q34	168
Switzerland	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q39	169
Syria	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	Q858	170
Taiwan	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q865	171
Tajikistan	6.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q863	172
Tanzania	3.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	Q924	173
Thailand	6.0	5.0	6.0	5.0	6.0	5.0	6.0	5.0	7.0	5.0	6.0	4.0	Q869	174
Togo	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	4.0	Q945	175
Tonga	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q678	176
Trinidad and Tobago	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q754	177
Tunisia	1.0	3.0	1.0	3.0	1.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	Q948	178
Turkey	3.0	4.0	3.0	4.0	4.0	5.0	5.0	6.0	5.0	6.0	5.0	6.0	Q43	179
Turkmenistan	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	Q874	180
Tuvalu	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q672	181
Uganda	6.0	5.0	6.0	5.0	6.0	5.0	6.0	4.0	6.0	5.0	6.0	5.0	Q1036	182
Ukraine	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	Q212	183
United Arab Emirates	6.0	6.0	6.0	6.0	6.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q878	184
United Kingdom	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q145	185
United States	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	Q30	186
Uruguay	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Q77	187
Uzbekistan	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	6.0	Q265	188
Vanuatu	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	Q686	189
Venezuela	5.0	5.0	5.0	5.0	6.0	5.0	6.0	5.0	7.0	6.0	7.0	6.0	Q717	190
Vietnam	7.0	5.0	7.0	5.0	7.0	5.0	7.0	5.0	7.0	5.0	7.0	5.0	Q881	191
Yemen	6.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	7.0	6.0	Q805	192
Zambia	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	Q953	193
Zimbabwe	5.0	6.0	5.0	5.0	5.0	5.0	6.0	5.0	5.0	5.0	5.0	5.0	Q954	194
