Country	Communicablediseasesandmaternalprenatalandnutritionconditions	Noncommunicablediseases	Injuries	ID	id_row
Dominican Republic	16.0	72.0	12.0	Q786	47
Ecuador	15.0	72.0	13.0	Q736	48
Egypt, Arab Rep.	10.0	84.0	6.0	Q79	49
El Salvador	11.0	74.0	15.0	Q792	50
Equatorial Guinea	53.0	36.0	11.0	Q983	51
Eritrea	43.0	45.0	12.0	Q986	52
Estonia	3.0	93.0	5.0	Q191	53
Eswatini	54.0	37.0	10.0	Q1050	54
Ethiopia	49.0	39.0	12.0	Q115	55
Fiji	10.0	84.0	5.0	Q712	56
Finland	1.0	93.0	6.0	Q33	57
France	6.0	88.0	6.0	Q142	58
Gabon	50.0	41.0	9.0	Q1000	59
Gambia, The	55.0	34.0	11.0	Q1005	60
Georgia	3.0	94.0	4.0	Q230	61
Germany	5.0	91.0	4.0	Q183	62
Ghana	48.0	43.0	10.0	Q117	63
Greece	11.0	86.0	3.0	Q41	64
Grenada	12.0	81.0	7.0	Q769	65
Guatemala	25.0	59.0	16.0	Q774	66
Guinea	56.0	35.0	9.0	Q1006	67
Guinea-Bissau	62.0	30.0	8.0	Q1007	68
Guyana	20.0	68.0	12.0	Q734	69
Haiti	30.0	57.0	13.0	Q790	70
Honduras	14.0	67.0	20.0	Q783	71
Hungary	2.0	94.0	4.0	Q28	72
Iceland	4.0	90.0	6.0	Q189	73
India	26.0	63.0	11.0	Q668	74
Indonesia	21.0	73.0	6.0	Q252	75
Iran, Islamic Rep.	8.0	82.0	10.0	Q794	76
Iraq	17.0	55.0	28.0	Q796	77
Ireland	5.0	91.0	4.0	Q27	78
Israel	10.0	86.0	4.0	Q801	79
Italy	5.0	91.0	4.0	Q38	80
Jamaica	11.0	80.0	9.0	Q766	81
Japan	13.0	82.0	5.0	Q17	82
Jordan	11.0	78.0	11.0	Q810	83
Kazakhstan	5.0	86.0	10.0	Q232	84
Kenya	63.0	27.0	10.0	Q114	85
Kiribati	29.0	64.0	7.0	Q710	86
Korea, Dem. Peopleâ€™s Rep.	10.0	84.0	7.0	Q423	87
Korea, Rep.	10.0	80.0	10.0	Q884	88
Kuwait	15.0	72.0	13.0	Q817	89
Kyrgyz Republic	10.0	83.0	8.0	Q813	90
Lao PDR	31.0	60.0	9.0	Q819	91
Latvia	3.0	92.0	5.0	Q211	92
Lebanon	4.0	91.0	6.0	Q822	93
Lesotho	59.0	32.0	8.0	Q1013	94
Liberia	59.0	31.0	10.0	Q1014	95
Libya	8.0	72.0	20.0	Q1016	96
Lithuania	4.0	90.0	7.0	Q37	97
Luxembourg	5.0	88.0	7.0	Q32	98
Madagascar	46.0	43.0	11.0	Q1019	99
Malawi	60.0	32.0	9.0	Q1020	100
Malaysia	18.0	74.0	9.0	Q833	101
Maldives	8.0	84.0	8.0	Q826	102
Mali	61.0	31.0	9.0	Q912	103
Malta	6.0	91.0	3.0	Q233	104
Mauritania	53.0	37.0	9.0	Q1025	105
Mauritius	7.0	89.0	5.0	Q1027	106
Mexico	10.0	80.0	10.0	Q96	107
Micronesia, Fed. Sts.	19.0	75.0	7.0	Q702	108
Moldova	4.0	90.0	6.0	Q217	109
Mongolia	10.0	80.0	11.0	Q711	110
Montenegro	1.0	95.0	4.0	Q236	111
Morocco	14.0	80.0	6.0	Q1028	112
Mozambique	65.0	27.0	8.0	Q1029	113
Myanmar	24.0	68.0	9.0	Q836	114
Namibia	49.0	41.0	10.0	Q1030	115
Nepal	25.0	66.0	9.0	Q837	116
Netherlands	5.0	90.0	5.0	Q55	117
New Zealand	5.0	90.0	6.0	Q664	118
Nicaragua	11.0	76.0	13.0	Q811	119
Niger	63.0	27.0	10.0	Q1032	120
Nigeria	63.0	29.0	8.0	Q1033	121
North Macedonia	2.0	95.0	3.0	Q221	122
Norway	7.0	87.0	6.0	Q20	123
Oman	11.0	72.0	18.0	Q842	124
Pakistan	35.0	58.0	7.0	Q843	125
Panama	16.0	75.0	10.0	Q804	126
Papua New Guinea	36.0	56.0	8.0	Q691	127
Paraguay	14.0	74.0	12.0	Q733	128
Peru	20.0	69.0	11.0	Q419	129
Philippines	25.0	67.0	8.0	Q928	130
Poland	5.0	90.0	5.0	Q36	131
Portugal	10.0	86.0	4.0	Q45	132
Qatar	5.0	69.0	26.0	Q846	133
Romania	4.0	92.0	4.0	Q218	134
Russian Federation	5.0	87.0	8.0	Q159	135
Rwanda	42.0	44.0	14.0	Q1037	136
Samoa	12.0	81.0	7.0	Q683	137
Sao Tome and Principe	34.0	55.0	11.0	Q1039	138
Saudi Arabia	11.0	73.0	16.0	Q851	139
Senegal	46.0	42.0	12.0	Q1041	140
Serbia	2.0	95.0	3.0	Q403	141
Seychelles	12.0	81.0	7.0	Q1042	142
Sierra Leone	58.0	33.0	9.0	Q1044	143
Singapore	23.0	74.0	4.0	Q334	144
Slovak Republic	5.0	89.0	6.0	Q214	145
Slovenia	5.0	88.0	7.0	Q215	146
Solomon Islands	22.0	69.0	9.0	Q685	147
Somalia	64.0	24.0	12.0	Q1045	148
South Africa	40.0	51.0	9.0	Q258	149
South Sudan	63.0	27.0	9.0	Q958	150
Spain	5.0	91.0	4.0	Q29	151
Sri Lanka	8.0	83.0	10.0	Q854	152
St. Lucia	10.0	82.0	8.0	Q760	153
St. Vincent and the Grenadines	13.0	81.0	6.0	Q757	154
Sudan	35.0	52.0	13.0	Q1049	155
Suriname	13.0	76.0	11.0	Q730	156
Sweden	5.0	90.0	5.0	Q34	157
Switzerland	4.0	90.0	6.0	Q39	158
Syrian Arab Republic	5.0	45.0	50.0	Q858	159
Tajikistan	23.0	69.0	8.0	Q863	160
Tanzania	56.0	33.0	11.0	Q924	161
Thailand	16.0	74.0	10.0	Q869	162
Timor-Leste	46.0	45.0	9.0	Q574	163
Togo	52.0	38.0	11.0	Q945	164
Tonga	12.0	83.0	6.0	Q678	165
Trinidad and Tobago	9.0	81.0	10.0	Q754	166
Tunisia	8.0	86.0	6.0	Q948	167
Turkey	4.0	89.0	6.0	Q43	168
Turkmenistan	17.0	76.0	7.0	Q874	169
Uganda	55.0	33.0	13.0	Q1036	170
Ukraine	4.0	91.0	5.0	Q212	171
United Arab Emirates	7.0	77.0	17.0	Q878	172
United Kingdom	8.0	89.0	4.0	Q145	173
United States	5.0	88.0	7.0	Q30	174
Uruguay	8.0	85.0	8.0	Q77	175
Uzbekistan	10.0	84.0	6.0	Q265	176
Vanuatu	19.0	74.0	7.0	Q686	177
Venezuela, RB	11.0	70.0	19.0	Q717	178
Vietnam	12.0	77.0	11.0	Q881	179
Yemen, Rep.	29.0	57.0	15.0	Q805	180
Zambia	61.0	29.0	10.0	Q953	181
Zimbabwe	55.0	33.0	12.0	Q954	182
