Country	employment200002	employment201416	ID	id_row
North Macedonia	23.9	16.6	Q221	101
Madagascar	78.0	65.8	Q1019	102
Malawi	53.7	45.2	Q1020	103
Malaysia	14.9	11.4	Q833	104
Maldives	18.6	9.2	Q826	105
Mali	71.5	64.9	Q912	106
Malta	2.3	1.2	Q233	107
Mauritania	61.7	53.3	Q1025	108
Mauritius	10.8	6.7	Q1027	109
Mexico	17.0	13.1	Q96	110
Moldova	49.6	33.7	Q217	111
Mongolia	44.9	30.4	Q711	112
Montenegro	9.5	7.7	Q236	113
Morocco	44.4	36.6	Q1028	114
Mozambique	80.9	71.6	Q1029	115
Myanmar	60.2	51.2	Q836	116
Namibia	30.7	20.1	Q1030	117
Nepal	74.1	67.0	Q837	118
Netherlands	2.9	2.3	Q55	119
New Caledonia	4.1	2.1	Q33788	120
New Zealand	8.8	6.5	Q664	121
Nicaragua	30.9	30.5	Q811	122
Niger	77.8	75.7	Q1032	123
Nigeria	47.2	36.6	Q1033	124
Norway	3.9	2.1	Q20	125
Oman	7.0	4.8	Q842	126
Pakistan	42.3	42.3	Q843	127
Panama	17.4	15.4	Q804	128
Papua New Guinea	72.8	60.5	Q691	129
Paraguay	33.8	21.3	Q733	130
Peru	34.2	2020.4	Q419	131
Philippines	37.0	27.0	Q928	132
Poland	2020.6	2020.6	Q36	133
Portugal	12.6	6.9	Q45	134
Puerto Rico	2.0	1.1	Q1183	135
Qatar	2.4	1.2	Q846	136
Romania	37.7	2020.1	Q218	137
Russian Federation	11.3	6.7	Q159	138
Rwanda	87.7	65.6	Q1037	139
Samoa	40.1	31.9	Q683	140
Sao Tome and Principe	30.1	20.5	Q1039	141
Saudi Arabia	4.7	5.0	Q851	142
Senegal	45.1	32.4	Q1041	143
Serbia	25.3	2020.6	Q403	144
Sierra Leone	69.4	57.0	Q1044	145
Singapore	0.8	0.8	Q334	146
Slovak Republic	6.6	2.9	Q214	147
Slovenia	9.7	5.0	Q215	148
Solomon Islands	50.6	39.4	Q685	149
Somalia	84.4	83.3	Q1045	150
South Africa	2020.7	2020.6	Q258	151
South Sudan	57.8	57.4	Q958	152
Spain	6.0	4.2	Q29	153
Sri Lanka	39.7	27.1	Q854	154
St. Lucia	21.7	18.1	Q760	155
St. Vincent and the Grenadines	15.6	11.4	Q757	156
Sudan	51.1	40.9	Q1049	157
Suriname	7.7	7.7	Q730	158
Sweden	2020.5	2020.9	Q34	159
Switzerland	4.3	3.4	Q39	160
Syrian Arab Republic	2020.8	2020.7	Q858	161
Tajikistan	58.0	47.4	Q863	162
Tanzania	80.6	66.9	Q924	163
Thailand	43.8	31.2	Q869	164
Timor-Leste	57.9	47.0	Q574	165
Togo	47.8	39.6	Q945	166
Tonga	31.8	25.6	Q678	167
Trinidad and Tobago	6.9	3.2	Q754	168
Tunisia	19.6	14.1	Q948	169
Turkey	34.9	19.5	Q43	170
Turkmenistan	29.5	2020.2	Q874	171
Uganda	69.1	72.8	Q1036	172
Ukraine	24.0	15.6	Q212	173
United Arab Emirates	6.7	1.8	Q878	174
United Kingdom	2020.4	2020.1	Q145	175
United States	1.5	1.4	Q30	176
Uruguay	11.6	8.2	Q77	177
Uzbekistan	38.8	2020.9	Q265	178
Vanuatu	66.4	57.4	Q686	179
Venezuela, RB	10.0	7.6	Q717	180
Vietnam	62.0	41.9	Q881	181
Virgin Islands (U.S.)	5.2	3.6	Q11703	182
West Bank and Gaza	15.4	7.4	Q407199	183
Yemen, Rep.	35.7	29.4	Q805	184
Zambia	71.6	50.7	Q953	185
Zimbabwe	61.9	67.1	Q954	186
