Country	averageannualgrowth9000	averageannualgrowth0019	ID	id_row
Peru	4.7	4.7	Q419	102
Philippines	3.2	5.3	Q928	103
Poland	1.9	4.8	Q36	104
Portugal	4.6	-1.0	Q45	105
Romania	-2.9	3.2	Q218	106
Russian Federation	-7.1	2.5	Q159	107
Rwanda	-2.0	9.0	Q1037	108
Samoa	0.7	1.1	Q683	109
Saudi Arabia	1.4	2.7	Q851	110
Senegal	3.8	5.1	Q1041	111
Serbia	3.1	2.0	Q403	112
Seychelles	11.6	1.0	Q1042	113
Sierra Leone	-3.3	7.4	Q1044	114
Singapore	7.6	5.2	Q334	115
Slovak Republic	4.9	5.4	Q214	116
Slovenia	4.8	1.6	Q215	117
South Africa	0.9	1.3	Q258	118
Spain	4.3	-1.1	Q29	119
Sri Lanka	6.7	5.8	Q854	120
St. Kitts and Nevis	7.0	-0.4	Q763	121
St. Lucia	3.2	2.8	Q760	122
St. Vincent and the Grenadines	2.5	0.6	Q757	123
Sudan	8.9	5.3	Q1049	124
Suriname	0.2	2.7	Q730	125
Sweden	4.0	1.0	Q34	126
Switzerland	0.3	1.9	Q39	127
Tajikistan	-11.4	7.0	Q863	128
Tanzania	3.1	8.8	Q924	129
Thailand	2.0	3.5	Q869	130
Togo	1.8	5.4	Q945	131
Tonga	2.6	1.9	Q678	132
Trinidad and Tobago	3.0	2.9	Q754	133
Tunisia	4.4	1.3	Q948	134
Turkey	4.8	6.4	Q43	135
Tuvalu	3.1	1.6	Q672	136
Uganda	12.3	7.7	Q1036	137
Ukraine	-12.6	-0.9	Q212	138
United Kingdom	1.2	0.0	Q145	139
Uruguay	1.5	2.9	Q77	140
Uzbekistan	-3.4	8.6	Q265	141
Vanuatu	1.3	2.6	Q686	142
Venezuela, RB	1.2	1.7	Q717	143
Vietnam	11.9	5.9	Q881	144
West Bank and Gaza	1.6	5.5	Q407199	145
Yemen, Rep.	5.2	-2.1	Q805	146
Zambia	-2.2	7.3	Q953	147
Zimbabwe	1.4	2.4	Q954	148
