Country	GDP2010	GDP2018	Labor2010	Labor2018	ID	id_row
Uganda	47.0	46.0	0.4	0.3	Q1036	153
Ukraine	215.0	297.0	1.0	1.4	Q212	154
United Arab Emirates	51.0	63.0	0.8	0.9	Q878	155
United Kingdom	174.0	148.0	0.5	0.4	Q145	156
United States	1569.0	1359.0	1.0	0.8	Q30	157
Uruguay	25.0	22.0	1.5	1.3	Q77	158
Uzbekistan	87.0	68.0	0.7	0.5	Q265	159
Venezuela, RB	115.0	343.0	0.9	2.6	Q717	160
Vietnam	522.0	522.0	1.0	0.9	Q881	161
Yemen, Rep.	138.0	40.0	2.6	0.6	Q805	162
Zambia	17.0	16.0	0.3	0.2	Q953	163
Zimbabwe	51.0	51.0	0.8	0.8	Q954	164
