Country	Mostrecentyear	Tariff	ID	id_row
Slovenia	2017	4.4	Q215	126
Solomon Islands	2017	79.1	Q685	127
South Africa	2017	19.4	Q258	128
Spain	2017	4.4	Q29	129
Sri Lanka	2017	31.7	Q854	130
St. Kitts and Nevis	2017	76.0	Q763	131
St. Lucia	2016	64.6	Q760	132
St. Vincent and the Grenadines	2017	63.0	Q757	133
Suriname	2013	18.2	Q730	134
Eswatini	2017	19.2	Q1050	135
Sweden	2017	4.4	Q34	136
Switzerland	2017	0.0	Q39	137
Tajikistan	2017	7.9	Q863	138
Tanzania	2016	120.0	Q924	139
Thailand	2015	25.3	Q869	140
Togo	2017	80.0	Q945	141
Tonga	2017	17.6	Q678	142
Trinidad and Tobago	2013	55.7	Q754	143
Tunisia	2016	58.9	Q948	144
Turkey	2017	30.1	Q43	145
Uganda	2016	73.0	Q1036	146
Ukraine	2017	5.8	Q212	147
United Arab Emirates	2017	14.7	Q878	148
United Kingdom	2017	4.4	Q145	149
United States	2017	3.6	Q30	150
Uruguay	2017	31.7	Q77	151
Vanuatu	2017	40.1	Q686	152
Venezuela, RB	2017	36.7	Q717	153
Vietnam	2017	11.4	Q881	154
Yemen, Rep.	2017	21.6	Q805	155
Zambia	2016	107.3	Q953	156
Zimbabwe	2016	88.4	Q954	157
