Country	Numberofprocedures	Timerequired	Cost	ID	id_row
Kosovo	3.0	4.5	0.0	Q1246	88
Kuwait	5.0	19.4	0.0	Q817	89
Kyrgyz Republic	4.0	10.0	0.0	Q813	90
Lao PDR	9.0	173.0	0.0	Q819	91
Latvia	4.0	5.5	0.0	Q211	92
Lebanon	8.0	15.0	41.5	Q822	93
Lesotho	6.0	15.0	0.0	Q1013	94
Liberia	5.0	18.0	0.0	Q1014	95
Libya	10.0	35.0	30.0	Q1016	96
Liechtenstein	10.0	46.0	32.7	Q347	97
Lithuania	4.0	5.5	16.0	Q37	98
Luxembourg	5.0	16.5	17.2	Q32	99
North Macedonia	6.0	15.0	0.0	Q221	100
Madagascar	5.0	8.0	0.0	Q1019	101
Malawi	7.0	37.0	0.0	Q1020	102
Malaysia	8.0	17.5	0.0	Q833	103
Maldives	6.0	12.0	1.4	Q826	104
Mali	5.0	11.0	5.2	Q912	105
Malta	5.0	20.5	1.0	Q233	106
Marshall Islands	5.0	17.0	0.0	Q709	107
Mauritania	4.0	6.0	0.0	Q1025	108
Mauritius	4.0	4.5	0.0	Q1027	109
Mexico	8.0	8.4	0.0	Q96	110
Micronesia, Fed. Sts.	7.0	16.0	0.0	Q702	111
Moldova	3.0	4.0	0.0	Q217	112
Mongolia	8.0	12.0	0.0	Q711	113
Montenegro	8.0	12.0	0.0	Q236	114
Morocco	4.0	9.0	0.0	Q1028	115
Mozambique	10.0	17.0	0.0	Q1029	116
Myanmar	6.0	7.0	0.0	Q836	117
Namibia	10.0	54.0	0.0	Q1030	118
Nepal	8.0	22.5	0.0	Q837	119
Netherlands	4.0	3.5	0.0	Q55	120
New Zealand	1.0	0.5	0.0	Q664	121
Nicaragua	7.0	14.0	0.0	Q811	122
Niger	4.0	10.0	11.3	Q1032	123
Nigeria	7.0	7.2	0.0	Q1033	124
Norway	4.0	4.0	4.3	Q20	125
Oman	4.0	4.3	0.0	Q842	126
Pakistan	5.0	16.5	0.0	Q843	127
Palau	8.0	28.0	5.9	Q695	128
Panama	5.0	6.0	0.0	Q804	129
Papua New Guinea	6.0	41.0	0.0	Q691	130
Paraguay	7.0	35.0	0.0	Q733	131
Peru	8.0	26.0	0.0	Q419	132
Philippines	13.0	33.0	0.0	Q928	133
Poland	5.0	37.0	9.3	Q36	134
Portugal	6.0	6.5	0.0	Q45	135
Puerto Rico	6.0	5.5	0.0	Q1183	136
Qatar	8.0	8.7	0.0	Q846	137
Romania	6.0	20.0	0.4	Q218	138
Russian Federation	4.0	10.1	0.0	Q159	139
Rwanda	5.0	4.0	0.0	Q1037	140
Samoa	4.0	9.0	0.0	Q683	141
San Marino	7.0	11.5	0.0	Q238	142
Sao Tome and Principe	6.0	7.0	179.6	Q1039	143
Saudi Arabia	3.0	10.4	0.0	Q851	144
Senegal	4.0	6.0	3.0	Q1041	145
Serbia	7.0	7.0	0.0	Q403	146
Seychelles	9.0	32.0	0.0	Q1042	147
Sierra Leone	5.0	8.0	0.0	Q1044	148
Singapore	2.0	1.5	0.0	Q334	149
Slovak Republic	7.0	21.5	15.4	Q214	150
Slovenia	3.0	8.0	34.3	Q215	151
Solomon Islands	7.0	9.0	0.0	Q685	152
Somalia	9.0	70.0	0.0	Q1045	153
South Africa	7.0	40.0	0.0	Q258	154
South Sudan	12.0	13.0	0.0	Q958	155
Spain	7.0	12.5	11.6	Q29	156
Sri Lanka	7.0	8.0	0.0	Q854	157
St. Kitts and Nevis	7.0	18.5	0.0	Q763	158
St. Lucia	5.0	11.0	0.0	Q760	159
St. Vincent and the Grenadines	7.0	10.0	0.0	Q757	160
Sudan	10.0	34.5	0.0	Q1049	161
Suriname	8.0	66.0	0.0	Q730	162
Eswatini	12.0	21.5	0.2	Q1050	163
Sweden	4.0	7.5	10.5	Q34	164
Switzerland	6.0	10.0	24.6	Q39	165
Syrian Arab Republic	7.0	15.5	88.3	Q858	166
Tajikistan	3.0	7.0	0.0	Q863	167
Tanzania	10.0	29.5	0.0	Q924	168
Thailand	5.0	6.0	0.0	Q869	169
Timor-Leste	6.0	13.0	0.3	Q574	170
Togo	3.0	2.5	6.7	Q945	171
Tonga	4.0	16.0	0.0	Q678	172
Trinidad and Tobago	7.0	10.5	0.0	Q754	173
Tunisia	3.0	9.0	0.0	Q948	174
Turkey	7.0	7.0	0.0	Q43	175
Uganda	13.0	24.0	0.0	Q1036	176
Ukraine	6.0	6.5	0.0	Q212	177
United Arab Emirates	2.0	3.8	0.0	Q878	178
United Kingdom	4.0	4.5	0.0	Q145	179
United States	6.0	4.2	0.0	Q30	180
Uruguay	5.0	6.5	0.0	Q77	181
Uzbekistan	3.0	3.0	0.0	Q265	182
Vanuatu	7.0	18.0	0.0	Q686	183
Venezuela, RB	20.0	230.0	0.0	Q717	184
Vietnam	8.0	16.0	0.0	Q881	185
West Bank and Gaza	10.0	43.5	0.0	Q407199	186
Yemen, Rep.	6.0	40.5	0.0	Q805	187
Zambia	7.0	8.5	0.0	Q953	188
Zimbabwe	9.0	27.0	0.0	Q954	189
