Country	Bothsexes	Males	Females	ID	id_row
Turkey	7.2	11.3	3.2	Q43	117
Papua New Guinea	7.0	10.2	3.8	Q691	118
Vietnam	7.0	10.8	3.4	Q881	119
Colombia	7.0	11.5	2.8	Q739	120
Madagascar	6.9	10.5	3.6	Q1019	121
Georgia	6.7	12.3	1.9	Q230	122
Malta	6.5	10.3	2.8	Q233	123
East Timor	6.4	9.0	3.7	Q574	124
Bosnia and Herzegovina	6.4	10.6	2.5	Q225	125
Afghanistan	6.4	10.6	2.1	Q889	126
Malaysia	6.2	8.7	3.6	Q833	127
North Macedonia	6.2	9.7	3.0	Q221	128
Bangladesh	6.1	5.5	6.7	Q902	129
South Sudan	6.1	8.3	4.1	Q958	130
Spain	6.1	9.3	3.1	Q29	131
Brazil	6.1	9.7	2.8	Q155	132
Cambodia	5.9	9.0	3.2	Q424	133
Solomon Islands	5.9	8.5	3.2	Q685	134
Belize	5.9	9.9	2.0	Q242	135
Qatar	5.8	7.3	1.1	Q846	136
Bahrain	5.7	7.9	2.1	Q398	137
Armenia	5.7	10.1	2.0	Q399	138
Albania	5.6	7.0	4.3	Q222	139
Kenya	5.6	9.7	2.1	Q114	140
Italy	5.5	8.4	2.6	Q38	141
Fiji	5.5	8.8	2.5	Q712	142
Libya	5.5	8.7	2.3	Q1016	143
Vanuatu	5.4	8.1	2.7	Q686	144
Samoa	5.4	8.7	2.2	Q683	145
Israel	5.2	8.2	2.4	Q801	146
Mexico	5.2	8.2	2.3	Q96	147
Peru	5.1	7.6	2.7	Q419	148
Brunei	4.5	6.2	2.8	Q921	149
Cyprus	4.5	7.2	1.9	Q229	150
Egypt	4.4	7.2	1.7	Q79	151
Panama	4.4	7.6	1.2	Q804	152
Iraq	4.1	4.7	3.4	Q796	153
Iran	4.0	4.9	3.1	Q794	154
Tonga	4.0	5.2	2.9	Q678	155
Greece	3.8	6.1	1.5	Q41	156
Venezuela	3.8	6.6	1.2	Q717	157
Jordan	3.7	4.7	2.7	Q810	158
Philippines	3.7	5.2	2.3	Q928	159
Indonesia	3.7	5.2	2.2	Q252	160
Oman	3.5	4.8	0.9	Q842	161
Honduras	3.4	5.3	1.7	Q783	162
Saudi Arabia	3.4	4.6	1.7	Q851	163
Algeria	3.3	4.9	1.8	Q262	164
Tajikistan	3.3	5.0	1.7	Q863	165
Tunisia	3.2	4.4	2.2	Q948	166
Lebanon	3.2	4.2	2.2	Q822	167
Morocco	3.1	2.5	3.6	Q1028	168
Pakistan	3.1	3.0	3.1	Q843	169
São Tomé and Príncipe	3.1	4.2	2.1	Q1039	170
Guatemala	2.9	4.4	1.7	Q774	171
Maldives	2.7	3.6	1.6	Q826	172
United Arab Emirates	2.7	3.5	0.8	Q878	173
Azerbaijan	2.6	4.3	1.0	Q227	174
Syria	2.4	3.8	1.1	Q858	175
Saint Vincent and the Grenadines	2.4	3.9	0.9	Q757	176
Kuwait	2.2	2.5	1.7	Q817	177
Jamaica	2.0	3.2	0.9	Q766	178
Grenada	1.7	2.1	1.0	Q769	179
Bahamas	1.6	2.8	0.5	Q778	180
Antigua and Barbuda	0.5	0.0	0.9	Q781	181
Barbados	0.4	0.8	0.3	Q244	182
