Country	2000	2005	2010	2019	AverageperioddecreaseActual	AverageperioddecreasePercentage	ID	id_row
Algeria	15.6	12.9	10.6	10.3	1.77	12.66	Q262	46
Jordan	12.1	8.7	8.3	10.5	0.53	2.06	Q810	47
Uzbekistan	23.6	17.8	14.7	10.7	4.3	23.07	Q265	48
Suriname	16.0	12.5	11.0	10.8	1.73	11.9	Q730	49
Ecuador	18.6	17.0	13.2	11.3	2.43	15.12	Q736	50
Oman	13.7	15.6	9.8	11.4	0.77	2.33	Q842	51
Lebanon	9.1	10.3	8.0	11.6	-0.83	-11.95	Q822	52
Turkmenistan	21.8	17.1	15.0	11.8	3.33	18.39	Q874	53
Guyana	18.0	16.8	16.0	12.6	1.8	10.89	Q734	54
Honduras	20.9	17.8	14.8	12.9	2.67	14.84	Q783	55
Malaysia	15.5	13.1	11.9	13.1	0.8	4.85	Q833	56
Nicaragua	24.6	17.6	16.2	13.3	3.77	18.1	Q811	57
Ghana	28.7	22.0	18.3	14.0	4.9	21.22	Q117	58
South Africa	19.2	22.7	16.6	14.0	1.73	8.1	Q258	59
Egypt	16.3	14.3	16.3	14.6	0.57	2.9	Q79	60
Vietnam	28.2	23.8	18.8	15.3	4.3	18.41	Q881	61
Bolivia	30.3	27.1	21.6	15.4	4.97	19.85	Q750	62
Gabon	20.8	18.9	16.4	15.8	1.67	8.67	Q1000	63
Venezuela	15.2	12.7	8.4	16.9	-0.57	-16.96	Q717	64
Sri Lanka	22.4	21.2	18.0	17.1	1.77	8.48	Q854	65
Senegal	36.3	27.5	23.6	17.9	6.13	20.86	Q1041	66
Iraq	26.4	24.8	23.8	18.7	2.57	10.51	Q796	67
Myanmar	44.4	36.4	25.9	19.8	8.2	23.47	Q836	68
Indonesia	25.8	26.8	24.9	20.1	1.9	7.5	Q252	69
Philippines	25.8	21.4	20.5	20.1	1.9	7.74	Q928	70
Guatemala	27.7	24.1	22.0	20.6	2.37	9.36	Q774	71
Nepal	36.8	31.3	24.5	20.8	5.33	17.26	Q837	72
Eswatini	29.6	27.9	26.5	20.9	2.9	10.63	Q1050	73
Gambia	27.5	26.3	22.5	21.8	1.9	7.31	Q1005	74
Cameroon	39.7	33.7	26.2	22.6	5.7	17.04	Q1009	75
Cambodia	43.6	29.4	27.6	22.8	6.93	18.69	Q424	76
Malawi	44.5	37.7	31.1	23.0	7.17	19.61	Q1020	77
Lesotho	33.1	30.4	26.2	23.2	3.3	11.14	Q1013	78
Botswana	33.4	31.5	28.1	23.6	3.27	10.83	Q963	79
Togo	39.3	37.0	27.2	23.9	5.13	14.82	Q945	80
Benin	36.7	33.3	28.3	24.0	4.23	13.16	Q962	81
Mali	44.2	38.4	27.4	24.1	6.7	17.94	Q912	82
Ivory Coast	33.8	35.3	30.9	24.9	2.97	9.15	Q1008	83
Namibia	30.7	28.4	30.6	24.9	1.93	6.12	Q1030	84
Kenya	36.9	32.7	27.6	25.2	3.9	11.89	Q114	85
Laos	47.7	35.9	30.5	25.7	7.33	18.51	Q819	86
Bangladesh	36.1	30.7	30.3	25.8	3.43	10.37	Q902	87
Burkina Faso	46.3	48.1	36.8	25.8	6.83	16.5	Q965	88
Mauritania	33.4	30.6	24.9	26.7	2.23	6.59	Q1025	89
Guinea	43.6	36.8	30.7	27.4	5.4	14.31	Q1006	90
North Korea	40.3	32.9	30.9	27.7	4.2	11.6	Q423	91
Nigeria	40.8	34.2	29.9	27.9	4.3	11.81	Q1033	92
Pakistan	38.3	37.0	35.9	28.5	3.27	8.99	Q843	93
Tanzania	42.2	35.9	34.1	28.6	4.53	12.02	Q924	94
Mozambique	49.9	42.3	35.3	28.8	7.03	16.73	Q1029	95
Ethiopia	55.9	46.0	37.4	28.9	9.0	19.71	Q115	96
Rwanda	56.6	44.0	32.4	29.1	9.17	19.6	Q1037	97
Guinea-Bissau	42.1	40.3	31.0	29.6	4.17	10.62	Q1007	98
Angola	65.1	50.3	38.6	29.8	11.77	22.93	Q916	99
Niger	52.1	42.4	36.6	30.2	7.3	16.59	Q1032	100
India	38.8	38.9	32.0	30.3	2.83	7.6	Q668	101
Sierra Leone	53.6	51.1	40.8	30.4	7.73	16.77	Q1044	102
Uganda	38.9	33.0	30.8	30.6	2.77	7.49	Q1036	103
Djibouti	46.9	43.9	36.6	30.9	5.33	12.87	Q977	104
Congo	37.7	37.1	32.0	31.0	2.23	6.15	Q971	105
Sudan	—	—	—	32.8	0.0	0.0	Q1049	106
Afghanistan	52.1	43.2	34.3	33.8	6.1	13.05	Q889	107
Zimbabwe	39.1	39.6	35.8	34.4	1.57	4.08	Q954	108
East Timor	—	41.8	42.3	34.5	0.0	0.0	Q574	109
Haiti	42.7	45.1	48.8	34.7	2.67	5.02	Q790	110
Liberia	48.6	42.4	36.0	34.9	4.57	10.3	Q1014	111
Zambia	52.3	46.0	42.8	38.1	4.73	9.99	Q953	112
Madagascar	43.2	43.4	36.2	41.5	0.57	0.5	Q1019	113
Chad	51.5	52.1	50.9	44.2	2.43	4.77	Q657	114
Yemen	43.2	41.7	34.5	45.9	-0.9	-4.1	Q805	115
Central African Republic	50.7	49.5	42.0	53.6	-0.97	-3.37	Q929	116
