Country	Total_2000	Total_2018	Female_2000	Female_2018	ID	id_row
Israel	2.8	4.1	44.8	47.4	Q801	81
Italy	23.3	26.0	38.6	42.6	Q38	82
Jamaica	1.2	1.5	44.1	45.9	Q766	83
Japan	67.7	68.4	40.4	43.9	Q17	84
Jordan	1.3	2.6	14.5	18.0	Q810	85
Kazakhstan	7.6	9.0	49.0	48.1	Q232	86
Kenya	12.4	23.1	49.2	49.0	Q114	87
Korea, Dem. Peopleâ€™s Rep.	14.0	16.4	48.0	47.2	Q423	88
Korea, Rep.	22.8	28.3	40.4	42.1	Q884	89
Kuwait	1.0	2.4	24.8	25.5	Q817	90
Kyrgyz Republic	2.0	2.6	44.1	38.5	Q813	91
Lao PDR	2.4	3.7	50.3	49.0	Q819	92
Latvia	1.1	1.0	48.1	49.9	Q211	93
Lebanon	1.2	2.4	23.7	24.5	Q822	94
Lesotho	0.9	1.0	49.1	45.3	Q1013	95
Liberia	1.2	2.2	47.3	47.5	Q1014	96
Libya	1.6	2.4	30.8	34.1	Q1016	97
Lithuania	1.7	1.5	49.5	50.2	Q37	98
Luxembourg	0.2	0.3	39.7	45.9	Q32	99
Madagascar	7.5	13.4	49.0	48.9	Q1019	100
Malawi	4.7	7.8	49.8	48.8	Q1020	101
Malaysia	9.5	15.4	35.7	38.3	Q833	102
Maldives	0.1	0.3	34.4	20.9	Q826	103
Mali	4.1	7.1	44.2	43.8	Q912	104
Malta	0.2	0.2	30.5	40.8	Q233	105
Mauritania	0.7	1.2	30.1	31.5	Q1025	106
Mauritius	0.5	0.6	34.2	39.3	Q1027	107
Mexico	39.0	56.3	33.6	37.7	Q96	108
Moldova	1.1	1.0	52.1	49.7	Q217	109
Mongolia	0.9	1.3	45.5	45.8	Q711	110
Montenegro	0.2	0.3	43.7	43.6	Q236	111
Morocco	9.6	11.9	24.9	24.2	Q1028	112
Mozambique	8.4	12.8	55.2	52.2	Q1029	113
Myanmar	22.5	24.5	43.3	40.5	Q836	114
Namibia	0.6	0.9	46.2	49.3	Q1030	115
Nepal	12.1	16.4	48.6	56.0	Q837	116
Netherlands	8.2	9.2	43.1	46.2	Q55	117
New Caledonia	0.1	0.1	45.7	45.7	Q33788	118
New Zealand	1.9	2.7	45.2	47.6	Q664	119
Nicaragua	1.9	3.0	32.2	38.5	Q811	120
Niger	4.6	8.1	45.1	42.5	Q1032	121
Nigeria	41.4	58.4	46.0	45.1	Q1033	122
North Macedonia	0.8	1.0	38.7	39.2	Q221	123
Norway	2.4	2.8	46.6	47.0	Q20	124
Oman	0.8	2.7	17.3	12.8	Q842	125
Pakistan	42.2	72.0	15.2	20.1	Q843	126
Panama	1.3	2.0	35.6	40.3	Q804	127
Papua New Guinea	2.5	2.6	48.6	48.5	Q691	128
Paraguay	2.3	3.5	37.3	40.4	Q733	129
Peru	11.7	18.3	41.4	45.8	Q419	130
Philippines	30.0	43.9	38.3	38.8	Q928	131
Poland	17.3	18.4	45.9	44.6	Q36	132
Portugal	5.3	5.3	45.4	49.1	Q45	133
Puerto Rico	1.3	1.1	39.6	42.8	Q1183	134
Qatar	0.3	2.1	16.3	13.6	Q846	135
Romania	11.8	9.1	46.5	43.1	Q218	136
Russian Federation	73.4	73.8	48.3	48.6	Q159	137
Rwanda	3.8	6.2	51.1	51.7	Q1037	138
Samoa	0.0	0.1	34.6	34.4	Q683	139
Sao Tome and Principe	0.0	0.1	35.9	36.1	Q1039	140
Saudi Arabia	6.4	14.0	14.0	15.9	Q851	141
Senegal	2.8	4.1	33.8	40.4	Q1041	142
Serbia	3.4	3.2	43.0	44.5	Q403	143
Sierra Leone	1.6	2.6	49.8	49.8	Q1044	144
Singapore	2.2	3.5	38.6	41.8	Q334	145
Slovak Republic	2.6	2.8	45.6	45.4	Q214	146
Slovenia	1.0	1.0	46.0	46.2	Q215	147
Solomon Islands	0.2	0.3	48.0	48.6	Q685	148
Somalia	2.3	3.8	22.1	23.2	Q1045	149
South Africa	16.5	22.9	41.6	45.3	Q258	150
South Sudan	2.5	4.6	48.2	49.3	Q958	151
Spain	18.3	23.1	39.4	46.2	Q29	152
Sri Lanka	7.8	8.9	33.1	34.7	Q854	153
St. Lucia	0.1	0.1	42.7	45.2	Q760	154
St. Vincent and the Grenadines	0.0	0.1	37.8	40.5	Q757	155
Sudan	7.8	12.1	27.8	30.4	Q1049	156
Suriname	0.2	0.2	33.9	38.0	Q730	157
Sweden	4.5	5.4	47.7	47.7	Q34	158
Switzerland	4.0	5.0	44.3	46.7	Q39	159
Syrian Arab Republic	4.9	5.1	19.9	16.5	Q858	160
Tajikistan	1.5	2.4	36.0	37.4	Q863	161
Tanzania	16.1	26.3	49.3	48.2	Q924	162
Thailand	35.0	38.9	45.9	45.6	Q869	163
Timor-Leste	0.4	0.5	45.5	45.6	Q574	164
Togo	2.2	3.6	51.0	49.8	Q945	165
Tonga	0.0	0.0	37.4	39.1	Q678	166
Trinidad and Tobago	0.6	0.7	38.4	42.4	Q754	167
Tunisia	3.2	4.1	24.7	26.4	Q948	168
Turkey	21.4	32.8	27.7	33.0	Q43	169
Turkmenistan	1.8	2.6	41.7	41.0	Q874	170
Uganda	8.4	15.9	47.1	49.3	Q1036	171
Ukraine	23.2	20.4	48.5	47.2	Q212	172
United Arab Emirates	1.8	6.8	12.0	17.5	Q878	173
United Kingdom	29.3	34.3	45.2	46.8	Q145	174
United States	146.7	165.5	45.6	46.1	Q30	175
Uruguay	1.6	1.7	42.9	45.5	Q77	176
Uzbekistan	9.6	15.3	41.7	40.9	Q265	177
Vanuatu	0.1	0.1	42.9	43.6	Q686	178
Venezuela, RB	10.1	12.6	37.7	38.9	Q717	179
Vietnam	41.8	56.9	48.3	47.8	Q881	180
Virgin Islands (U.S.)	0.1	0.1	48.0	51.4	Q11703	181
West Bank and Gaza	0.6	1.2	15.1	19.9	Q407199	182
Yemen, Rep.	4.1	6.5	22.2	7.9	Q805	183
Zambia	4.4	7.1	47.3	48.3	Q953	184
Zimbabwe	5.5	6.9	47.2	50.9	Q954	185
