Country	ReferenceYear	Populationbelow190aday	Populationbelow320aday	Populationbelow550aday	ID	id_row
Hungary	2017	0.6	1.2	3.0	Q28	60
Iceland	2015	0.0	0.0	0.1	Q189	61
India	2011	21.2	60.4	86.8	Q668	62
Indonesia	2018	4.6	24.2	56.0	Q252	63
Iran, Islamic Rep.	2017	0.3	2.3	10.9	Q794	64
Iraq	2012	2.5	17.9	57.3	Q796	65
Ireland	2016	0.1	0.4	0.7	Q27	66
Israel	2016	0.2	0.7	2.7	Q801	67
Italy	2017	1.4	1.8	3.2	Q38	68
Jamaica	2004	1.7	9.1	29.7	Q766	69
Japan	2013	0.7	0.9	1.2	Q17	70
Jordan	2010	0.1	2.1	18.1	Q810	71
Kazakhstan	2017	0.0	0.4	8.6	Q232	72
Kenya	2015	36.8	66.2	86.5	Q114	73
Kiribati	2006	12.9	34.6	69.4	Q710	74
Korea, Rep.	2012	0.2	0.5	1.2	Q884	75
Kosovo	2017	0.2	2.6	21.6	Q1246	76
Kyrgyz Republic	2018	0.9	15.5	61.3	Q813	77
Lao PDR	2012	22.7	58.7	85.0	Q819	78
Latvia	2017	0.8	1.5	3.4	Q211	79
Lebanon	2011	0.0	0.1	1.9	Q822	80
Lesotho	2017	26.9	49.7	73.1	Q1013	81
Liberia	2016	40.9	72.6	92.2	Q1014	82
Lithuania	2017	1.0	1.5	3.8	Q37	83
Luxembourg	2017	0.3	0.4	0.7	Q32	84
North Macedonia	2017	4.4	8.6	18.2	Q221	85
Madagascar	2012	77.6	91.0	97.3	Q1019	86
Malawi	2016	70.3	89.4	96.7	Q1020	87
Malaysia	2015	0.0	0.2	2.7	Q833	88
Maldives	2016	0.0	0.5	6.6	Q826	89
Mali	2009	49.7	79.3	94.9	Q912	90
Malta	2017	0.2	0.2	0.3	Q233	91
Mauritania	2014	6.0	24.1	58.8	Q1025	92
Mauritius	2017	0.2	2.1	12.1	Q1027	93
Mexico	2018	1.7	6.6	23.0	Q96	94
Micronesia, Fed. Sts.	2013	15.4	38.7	69.1	Q702	95
Moldova	2018	0.0	0.9	13.3	Q217	96
Mongolia	2018	0.5	5.6	28.9	Q711	97
Montenegro	2015	1.7	8.2	19.9	Q236	98
Morocco	2013	1.0	7.7	31.3	Q1028	99
Mozambique	2014	62.9	81.9	92.0	Q1029	100
Myanmar	2017	2.0	19.3	60.8	Q836	101
Namibia	2015	13.4	29.6	50.1	Q1030	102
Nepal	2010	15.0	50.9	83.0	Q837	103
Netherlands	2017	0.2	0.3	0.4	Q55	104
Nicaragua	2014	3.2	12.8	34.8	Q811	105
Niger	2014	44.5	76.9	93.4	Q1032	106
Nigeria	2009	53.5	77.6	92.1	Q1033	107
Norway	2017	0.2	0.3	0.5	Q20	108
Pakistan	2015	3.9	34.7	75.4	Q843	109
Panama	2018	1.7	5.2	12.7	Q804	110
Papua New Guinea	2009	38.0	65.6	86.9	Q691	111
Paraguay	2018	1.6	5.9	17.0	Q733	112
Peru	2018	2.6	8.3	22.1	Q419	113
Philippines	2015	6.1	26.0	55.1	Q928	114
Poland	2017	0.3	0.6	1.4	Q36	115
Portugal	2017	0.4	0.7	1.9	Q45	116
Romania	2017	3.5	7.0	15.6	Q218	117
Russian Federation	2018	0.0	0.2	2.3	Q159	118
Rwanda	2016	55.5	79.7	91.6	Q1037	119
Samoa	2013	1.1	9.6	33.9	Q683	120
Sao Tome and Principe	2017	34.5	63.8	85.5	Q1039	121
Senegal	2011	38.0	67.5	88.1	Q1041	122
Serbia	2017	5.5	9.8	20.3	Q403	123
Seychelles	2013	1.1	2.5	6.6	Q1042	124
Sierra Leone	2018	40.1	74.4	92.1	Q1044	125
Slovak Republic	2016	1.4	1.8	3.3	Q214	126
Slovenia	2017	0.0	0.0	0.1	Q215	127
Solomon Islands	2013	25.1	58.8	84.7	Q685	128
South Africa	2014	18.9	37.6	57.1	Q258	129
South Sudan	2009	42.7	64.8	84.8	Q958	130
Spain	2017	0.7	1.1	2.2	Q29	131
Sri Lanka	2016	0.8	10.1	40.4	Q854	132
St. Lucia	2016	4.7	10.6	20.3	Q760	133
Sudan	2014	12.7	45.0	79.9	Q1049	134
Suriname	1999	23.4	42.8	55.7	Q730	135
Eswatini	2016	28.4	51.8	71.4	Q1050	136
Sweden	2017	0.2	0.3	0.5	Q34	137
Switzerland	2017	0.0	0.0	0.1	Q39	138
Syrian Arab Republic	2004	1.7	15.3	50.4	Q858	139
Tajikistan	2015	4.8	20.3	54.2	Q863	140
Tanzania	2017	49.1	76.6	91.7	Q924	141
Thailand	2018	0.0	0.5	8.6	Q869	142
Timor-Leste	2014	30.7	73.3	94.0	Q574	143
Togo	2015	49.8	73.4	90.4	Q945	144
Tonga	2015	1.0	7.5	27.5	Q678	145
Trinidad and Tobago	1992	3.4	13.1	32.9	Q754	146
Tunisia	2015	0.2	3.0	17.5	Q948	147
Turkey	2018	0.1	1.4	9.2	Q43	148
Turkmenistan	1998	51.4	77.8	92.5	Q874	149
Tuvalu	2010	3.3	17.6	46.7	Q672	150
Uganda	2016	41.7	69.9	87.8	Q1036	151
Ukraine	2018	0.0	0.4	4.0	Q212	152
United Arab Emirates	2014	0.0	0.0	0.0	Q878	153
United Kingdom	2016	0.2	0.3	0.5	Q145	154
United States	2016	1.2	1.5	2.0	Q30	155
Uruguay	2018	0.1	0.4	2.9	Q77	156
Uzbekistan	2003	62.1	86.4	96.4	Q265	157
Vanuatu	2010	13.2	39.4	72.4	Q686	158
Venezuela, RB	2006	10.2	17.8	35.6	Q717	159
Vietnam	2018	1.9	7.0	23.6	Q881	160
West Bank and Gaza	2016	1.0	5.0	23.6	Q407199	161
Yemen, Rep.	2014	18.8	52.2	81.6	Q805	162
Zambia	2015	57.5	74.3	87.2	Q953	163
Zimbabwe	2017	33.9	61.0	81.3	Q954	164
