Country	ReferenceYear	Mostrecenyear	Bottom40Baseline	Bottom40Recent	TotalpopulationBaseline	TotalpopulationRecent	ID	id_row
Latvia	2012	2017	8.2	12.0	17.8	26.4	Q211	43
Lithuania	2012	2017	9.3	12.6	19.8	28.3	Q37	44
Luxembourg	2012	2017	33.4	38.7	70.9	84.8	Q32	45
North Macedonia	2012	2017	3.9	5.4	9.8	12.1	Q221	46
Malawi	2010	2016	0.7	0.8	1.8	2.0	Q1020	47
Malaysia	2012	2016	7.9	11.1	21.8	28.0	Q833	48
Malta	2012	2017	20.7	25.0	37.9	45.6	Q233	49
Mauritius	2012	2017	5.7	6.5	12.5	13.8	Q1027	50
Moldova	2013	2018	5.4	5.9	9.6	9.8	Q217	51
Mongolia	2011	2018	4.3	4.6	8.8	9.2	Q711	52
Montenegro	2012	2015	4.8	5.5	13.2	13.8	Q236	53
Namibia	2009	2015	1.8	2.4	7.8	11.3	Q1030	54
Netherlands	2012	2017	28.1	30.3	49.2	54.1	Q55	55
Norway	2012	2017	39.0	39.9	65.8	69.2	Q20	56
Pakistan	2010	2015	2.3	2.6	4.0	4.9	Q843	57
Panama	2013	2018	5.9	7.7	21.4	25.9	Q804	58
Paraguay	2013	2018	5.4	5.9	16.7	17.0	Q733	59
Peru	2013	2018	4.5	5.1	12.8	13.7	Q419	60
Philippines	2012	2015	2.4	2.8	6.9	7.5	Q928	61
Poland	2012	2017	11.0	14.7	22.3	27.2	Q36	62
Portugal	2012	2017	11.7	13.7	25.1	27.7	Q45	63
Romania	2012	2017	3.8	6.2	9.2	14.7	Q218	64
Russian Federation	2013	2018	10.3	10.1	24.9	22.2	Q159	65
Rwanda	2013	2016	1.0	1.0	2.6	2.6	Q1037	66
Serbia	2013	2017	4.1	4.8	10.9	11.6	Q403	67
Sierra Leone	2011	2018	1.2	1.4	2.3	2.8	Q1044	68
Slovak Republic	2011	2016	13.8	13.4	23.8	22.5	Q214	69
Slovenia	2012	2017	19.8	22.1	33.0	35.6	Q215	70
Spain	2012	2017	16.0	17.5	36.3	38.3	Q29	71
Sri Lanka	2012	2016	3.4	3.9	7.5	8.8	Q854	72
Eswatini	2009	2016	1.1	1.5	3.9	5.8	Q1050	73
Sweden	2012	2017	28.0	30.0	49.5	54.6	Q34	74
Switzerland	2012	2017	34.4	33.9	66.2	67.3	Q39	75
Tanzania	2011	2018	1.2	1.2	2.6	2.7	Q924	76
Thailand	2014	2018	6.7	7.1	14.7	15.4	Q869	77
Togo	2011	2015	0.9	1.0	2.6	2.7	Q945	78
Tunisia	2010	2015	4.3	5.6	9.5	11.2	Q948	79
Turkey	2013	2018	6.9	7.7	17.0	19.4	Q43	80
Uganda	2012	2016	1.4	1.3	3.3	3.2	Q1036	81
Ukraine	2013	2018	8.1	7.9	13.1	13.2	Q212	82
United Kingdom	2011	2016	21.7	23.7	45.0	50.7	Q145	83
United States	2010	2016	24.5	26.5	62.6	69.1	Q30	84
Uruguay	2013	2018	10.1	11.2	25.5	27.4	Q77	85
Vietnam	2012	2018	3.7	4.9	7.8	10.5	Q881	86
West Bank and Gaza	2011	2016	5.3	5.0	10.8	10.5	Q407199	87
Zambia	2010	2015	0.7	0.7	2.6	3.0	Q953	88
Zimbabwe	2011	2017	1.9	1.5	4.9	3.9	Q954	89
