Country	ReferenceYear	GiniIndex	ID	id_row
Eswatini	2016	54.6	Q1050	136
Sweden	2017	28.8	Q34	137
Switzerland	2017	32.7	Q39	138
Syrian Arab Republic	2004	35.8	Q858	139
Tajikistan	2015	34.0	Q863	140
Tanzania	2017	40.5	Q924	141
Thailand	2018	36.4	Q869	142
Timor-Leste	2014	28.7	Q574	143
Togo	2015	43.1	Q945	144
Tonga	2015	37.6	Q678	145
Tunisia	2015	32.8	Q948	146
Turkey	2018	41.9	Q43	147
Turkmenistan	1998	40.8	Q874	148
Tuvalu	2010	39.1	Q672	149
Uganda	2016	42.8	Q1036	150
Ukraine	2018	26.1	Q212	151
United Arab Emirates	2014	32.5	Q878	152
United Kingdom	2016	34.8	Q145	153
United States	2016	41.4	Q30	154
Uruguay	2018	39.7	Q77	155
Uzbekistan	2003	35.3	Q265	156
Vanuatu	2010	37.6	Q686	157
Venezuela, RB	2006	46.9	Q717	158
Vietnam	2018	35.7	Q881	159
West Bank and Gaza	2016	33.7	Q407199	160
Yemen, Rep.	2014	36.7	Q805	161
Zambia	2015	57.1	Q953	162
Zimbabwe	2017	44.3	Q954	163
