Country	value ('90-'00)	value ('00-'19)
Mozambique	4.9	7.7
Myanmar	..	..
Namibia	3	5.1
Nepal	6	5.1
Netherlands	3.7	1.6
New Caledonia	..	..
New Zealand	3.7	2.9
Nicaragua	6.5	4
Niger	0.6	4.7
Nigeria	3.1	8.4
North Macedonia	-0.5	2.8
Northern Mariana Islands	..	..
Norway	3.7	2.3
Oman	..	5.9
Pakistan	4.4	5
Palau	..	1.5
Panama	4.7	6.2
Papua New Guinea	..	4.7
Paraguay	2.9	4.4
Peru	2.8	6
Philippines	3.7	6.3
Poland	7.7	3.5
Portugal	3.7	0.9
Puerto Rico	..	..
Qatar	..	..
Romania	0.5	5.2
Russian Federation	-4.7	4
Rwanda	-1.5	9.4
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	5.2
Saudi Arabia	2.3	5.9
Senegal	3	4.5
Serbia	1.3	3.7
Seychelles	4.8	4.2
Sierra Leone	..	4.9
Singapore	7	5.6
Sint Maarten (Dutch part)	..	..
Slovak Republic	3.4	3.1
Slovenia	3.6	2.2
Solomon Islands	..	..
Somalia	..	..
South Africa	3.7	3.3
South Sudan	..	..
Spain	3.7	2
Sri Lanka	5.7	6.2
St. Kitts and Nevis	3.7	3.4
St. Lucia	3.1	1.8
St. Martin (French part)	..	..
St. Vincent and the Grenadines	4.5	1.8
Sudan	1.7	5.8
Suriname	0.6	3
Sweden	2	2.5
Switzerland	1.4	1.9
Syrian Arab Republic	..	..
Tajikistan	-10.8	10.1
Tanzania	2.6	6.9
Thailand	1.3	4.5
Timor-Leste	..	6.2
Togo	3.9	4.7
Tonga	..	..
Trinidad and Tobago	2.6	3.2
Tunisia	..	4.4
Turkey	4.7	5
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	8	6
Ukraine	-8.1	1.8
United Arab Emirates	..	5.3
United Kingdom	3.3	2.1
United States	..	1.9
Uruguay	20.1	4.3
Uzbekistan	1.1	8
Vanuatu	..	..
Venezuela, RB	-0.1	6.4
Vietnam	7.5	6
Virgin Islands (U.S.)	..	..
West Bank and Gaza	7.3	5
Yemen, Rep.	5.1	1.9
Zambia	3	8.1
Zimbabwe	3	6.5
World	3.5	2.8
East Asia & Pacific	3.2	4.1
Europe & Central Asia	2.2	1.9
Latin America & Caribbean	3.2	3.3
Middle East & North Africa	3.7	5
North America	..	1.9
South Asia	6.8	7.4
Sub-Saharan Africa	3.1	5.6
Low income	1.9	6.2
Lower middle income	3.9	6.7
Upper middle income	3.1	5.9
High income	..	1.8
