Country	Both sexes	Males	Females
Georgia	6.7	12.3	1.9
Malta	6.5	10.3	2.8
East Timor	6.4	9.0	3.7
Bosnia and Herzegovina	6.4	10.6	2.5
Afghanistan	6.4	10.6	2.1
Malaysia	6.2	8.7	3.6
North Macedonia	6.2	9.7	3.0
Bangladesh	6.1	5.5	6.7
South Sudan	6.1	8.3	4.1
Spain	6.1	9.3	3.1
Brazil	6.1	9.7	2.8
Cambodia	5.9	9.0	3.2
Solomon Islands	5.9	8.5	3.2
Belize	5.9	9.9	2.0
Qatar	5.8	7.3	1.1
Bahrain	5.7	7.9	2.1
Armenia	5.7	10.1	2.0
Albania	5.6	7.0	4.3
Kenya	5.6	9.7	2.1
Italy	5.5	8.4	2.6
Fiji	5.5	8.8	2.5
Libya	5.5	8.7	2.3
Vanuatu	5.4	8.1	2.7
Samoa	5.4	8.7	2.2
Israel	5.2	8.2	2.4
Mexico	5.2	8.2	2.3
Peru	5.1	7.6	2.7
Brunei	4.5	6.2	2.8
Cyprus	4.5	7.2	1.9
Egypt	4.4	7.2	1.7
Panama	4.4	7.6	1.2
Iraq	4.1	4.7	3.4
Iran	4.0	4.9	3.1
Tonga	4.0	5.2	2.9
Greece	3.8	6.1	1.5
Venezuela	3.8	6.6	1.2
Jordan	3.7	4.7	2.7
Philippines	3.7	5.2	2.3
Indonesia	3.7	5.2	2.2
Oman	3.5	4.8	0.9
Honduras	3.4	5.3	1.7
Saudi Arabia	3.4	4.6	1.7
Algeria	3.3	4.9	1.8
Tajikistan	3.3	5.0	1.7
Tunisia	3.2	4.4	2.2
Lebanon	3.2	4.2	2.2
Morocco	3.1	2.5	3.6
Pakistan	3.1	3.0	3.1
São Tomé and Príncipe	3.1	4.2	2.1
Guatemala	2.9	4.4	1.7
Maldives	2.7	3.6	1.6
United Arab Emirates	2.7	3.5	0.8
Azerbaijan	2.6	4.3	1.0
Syria	2.4	3.8	1.1
Saint Vincent and the Grenadines	2.4	3.9	0.9
Kuwait	2.2	2.5	1.7
Jamaica	2.0	3.2	0.9
Grenada	1.7	2.1	1.0
Bahamas	1.6	2.8	0.5
Antigua and Barbuda	0.5	0.0	0.9
Barbados	0.4	0.8	0.3
