Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)
Kosovo	..	-0.4
Kuwait	..	..
Kyrgyz Republic	1.5	1.9
Lao PDR	..	3.1
Latvia	-0.1	2
Lebanon	6.4	2.3
Lesotho	2.1	0.1
Liberia	..	4
Libya	..	..
Liechtenstein	..	..
Lithuania	-2.3	1.2
Luxembourg	-1	-5.7
Madagascar	2.3	1.2
Malawi	8.6	2.2
Malaysia	0.3	2.6
Maldives	3.1	-0.1
Mali	3	5
Malta	..	..
Marshall Islands	..	3.8
Mauritania	0.4	1.7
Mauritius	0	1.5
Mexico	1.4	1.9
Micronesia, Fed. Sts.	-0.2	1
Moldova	-1.5	2.1
Monaco	..	..
Mongolia	0.3	6.2
Montenegro	..	1.9
Morocco	0.4	4.6
Mozambique	4.7	5.2
Myanmar	..	4.4
Namibia	4.2	-0.8
Nepal	2.5	3.1
Netherlands	1.6	1.4
New Caledonia	..	..
New Zealand	2.9	1.2
Nicaragua	4.9	2.9
Niger	4.3	6
Nigeria	3.4	6.4
North Macedonia	0.2	0.7
Northern Mariana Islands	..	..
Norway	2.6	2.9
Oman	..	5.9
Pakistan	4.4	2.5
Palau	..	-0.3
Panama	3.5	0.4
Papua New Guinea	..	2.7
Paraguay	3.8	5.8
Peru	5.5	3.4
Philippines	1.9	2.7
Poland	-8.1	0.2
Portugal	-1.7	0.4
Puerto Rico	..	..
Qatar	..	8.7
Romania	-1.7	0.5
Russian Federation	-4.9	1.7
Rwanda	3.2	5
Samoa	-1.7	-1.6
San Marino	..	..
Sao Tome and Principe	..	3.2
Saudi Arabia	1.6	2.4
Senegal	2.4	4.3
Serbia	0.7	1
Seychelles	0.3	-0.1
Sierra Leone	0.1	5.3
Singapore	-2.9	0.6
Sint Maarten (Dutch part)	..	..
Slovak Republic	-2.5	8.5
Slovenia	0.8	0.8
Solomon Islands	..	..
Somalia	..	..
South Africa	1	2
South Sudan	..	..
Spain	6.1	1.1
Sri Lanka	1.6	3.5
St. Kitts and Nevis	-0.8	-0.3
St. Lucia	-5.4	-1.1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	-3.2	1.1
Sudan	7.2	2.9
Suriname	-1.9	3.7
Sweden	-1.4	1.8
Switzerland	-0.2	-0.1
Syrian Arab Republic	..	..
Tajikistan	-6.8	7.3
Tanzania	3.2	4.3
Thailand	-2.6	1.5
Timor-Leste	..	0.8
Togo	4	1.7
Tonga	2.1	-0.4
Trinidad and Tobago	3.3	-1.9
Tunisia	2.6	2.7
Turkey	1.4	2.8
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	0.4	1.7
Uganda	3.4	2.3
Ukraine	-5.6	3.6
United Arab Emirates	..	-1.6
United Kingdom	0	0.7
United States	..	0.9
Uruguay	3.8	1.7
Uzbekistan	0.5	5.8
Vanuatu	2.7	3
Venezuela, RB	1.2	1.9
Vietnam	4.3	3.1
Virgin Islands (U.S.)	..	..
West Bank and Gaza	0.7	-0.5
Yemen, Rep.	5.1	-0.1
Zambia	3.6	-1.2
Zimbabwe	4.3	-2.8
World	2.1	2.8
East Asia & Pacific	2.7	3.2
Europe & Central Asia	-0.7	1.5
Latin America & Caribbean	2.6	2.6
Middle East & North Africa	2.8	3
North America	..	1
South Asia	3.3	3.2
Sub-Saharan Africa	3.4	4.4
Low income	3.9	3.4
Lower middle income	2.8	3.7
Upper middle income	2.1	3.3
High income	2.8	0.7
