Country	imports (2010)	imports (2019)
Grenada	14.5	..
Guam	..	..
Guatemala	18.1	16.5
Guinea	33	..
Guinea-Bissau	..	..
Guyana	29.9	11.9
Haiti	..	..
Honduras	22.4	14.9
Hungary	10.7	8.1
Iceland	13.1	12.1
India	35.6	34
Indonesia	20.4	16.7
Iran, Islamic Rep.	2.8	0.7
Iraq	65.7	..
Ireland	11.5	6.6
Isle of Man	..	..
Israel	17.7	12.1
Italy	18.6	12.6
Jamaica	30.4	26.4
Japan	28.7	21.6
Jordan	22.1	21.1
Kazakhstan	10	4.1
Kenya	22.1	19.5
Kiribati	24.8	..
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	28.6	25.1
Kosovo	..	..
Kuwait	0.8	0.6
Kyrgyz Republic	26.6	17.1
Lao PDR	26.4	14.6
Latvia	14.7	8.8
Lebanon	21.4	21.1
Lesotho	10.2	17.7
Liberia	..	..
Libya	1.1	..
Liechtenstein	..	..
Lithuania	32.1	19.6
Luxembourg	10	8.2
Madagascar	15.2	15.7
Malawi	10	9.9
Malaysia	10.1	14.6
Maldives	23	15.7
Mali	26	23.9
Malta	24.7	25
Marshall Islands	..	..
Mauritania	26.4	18.3
Mauritius	19.3	18.5
Mexico	8	8.4
Micronesia, Fed. Sts.	..	..
Moldova	20.6	12.2
Monaco	..	..
Mongolia	..	22.2
Montenegro	12.7	10.7
Morocco	23.1	15.6
Mozambique	19.9	21.7
Myanmar	19.1	20.7
Namibia	9.2	10.4
Nepal	18.2	15.7
Netherlands	15.7	15.1
New Caledonia	16	..
New Zealand	15.4	11.1
Nicaragua	21.7	14.3
Niger	12.5	..
Nigeria	1.4	29.7
North Macedonia	17.7	10.3
Northern Mariana Islands	..	..
Norway	6.6	6.4
Oman	7.1	5.7
Pakistan	30.5	28.8
Palau	28.8	24.1
Panama	1.5	..
Papua New Guinea	8.9	..
Paraguay	11.9	13.8
Peru	14.3	16
Philippines	17.1	12
Poland	10.9	8.1
Portugal	14.1	11.2
Puerto Rico	..	..
Qatar	0.9	1.5
Romania	10.1	7.7
Russian Federation	1.4	0.9
Rwanda	4.5	..
Samoa	17.6	18.4
San Marino	..	..
Sao Tome and Principe	16.1	21.9
Saudi Arabia	0.3	3
Senegal	29.9	25.9
Serbia	..	..
Seychelles	34.2	16.1
Sierra Leone	..	0.6
Singapore	26.5	21.7
Sint Maarten (Dutch part)	..	..
Slovak Republic	12.7	7.8
Slovenia	13.1	9.4
Solomon Islands	21.6	16.9
Somalia	..	..
South Africa	19.1	18.6
South Sudan	..	..
Spain	18.5	13.2
Sri Lanka	16.8	15.6
St. Kitts and Nevis	3.7	0.7
St. Lucia	13.1	15.6
St. Martin (French part)	..	..
St. Vincent and the Grenadines	21.9	14.3
Sudan	6.5	..
Suriname	19	0.8
Sweden	13.4	10.4
Switzerland	7.5	4.3
Syrian Arab Republic	19.7	..
Tajikistan	..	..
Tanzania	27.6	20.8
Thailand	18.1	17.8
Timor-Leste	..	19.9
Togo	15.1	15.5
Tonga	22.8	..
Trinidad and Tobago	33.4	..
Tunisia	12.6	13.1
Turkey	8.3	7.6
Turkmenistan	..	..
Turks and Caicos Islands	28.9	..
Tuvalu	16.8	..
Uganda	20	20.8
Ukraine	32.4	23.5
United Arab Emirates	3.8	7.1
United Kingdom	10.2	9.1
United States	18.6	8.2
Uruguay	19.8	14.2
Uzbekistan	..	5.1
Vanuatu	13.5	..
Venezuela, RB	0.6	..
Vietnam	9.7	6.3
Virgin Islands (U.S.)	..	..
West Bank and Gaza	31.3	..
Yemen, Rep.	21	..
Zambia	11.6	17.4
Zimbabwe	17.5	30.5
World	15.6	13.3
East Asia & Pacific	18.2	17.7
Europe & Central Asia	13.1	9.7
Latin America & Caribbean	12.1	11.2
Middle East & North Africa	9.7	9.7
North America	17.2	8.1
South Asia	32.4	33.5
Sub-Saharan Africa	15.1	19.4
Low income	17.2	..
Lower middle income	23	24.5
Upper middle income	12.8	14.4
High income	15.8	11.2
