Country	Primary_1999	Primary_2018	Secondary_1999	Secondary_2018	Tertiary_1999	Tertiary_2018
Curacao	..	..	..	..	..	..
Cyprus	15.9	31.9	26.3	39.3	44.6	26.5
Czech Republic	10.4	13.9	20.1	22.3	31.3	20.3
Denmark	24.1	..	37.3	..	64.4	..
Djibouti	41.8	37.3	..	0.7	..	..
Dominica	..	..	..	..	..	..
Dominican Republic	..	16.2	..	15.1	..	..
Ecuador	3.8	9.5	8.3	5.3	..	..
Egypt, Arab Rep.	..	9.8	..	13.8	..	..
El Salvador	9.3	16.1	8.2	15.1	9.8	11.1
Equatorial Guinea	..	..	..	..	..	..
Eritrea	8.5	..	21.3	..	245.2	..
Estonia	21	20.3	27.4	21.2	32	36.9
Eswatini	7.9	..	22.1	..	412.4	..
Ethiopia	18.8	..	..	..	612.7	..
Faroe Islands	..	..	..	..	..	..
Fiji	..	..	..	..	..	..
Finland	16.8	21.5	24.9	24.8	39	33.9
France	17.5	17.4	28.8	26.3	30	31.6
French Polynesia	..	..	..	..	..	..
Gabon	..	..	..	..	..	..
Gambia, The	5	..	..	..	..	..
Georgia	..	..	..	..	..	10
Germany	16.5	17.4	20.1	23	..	33.6
Ghana	18	..	40.6	..	..	..
Greece	..	20.3	14.4	23	24.5	..
Greenland	..	..	..	..	..	..
Grenada	..	8.2	..	10.9	..	5.2
Guam	..	..	..	..	..	..
Guatemala	6.9	11.9	4.4	5.4	..	..
Guinea	..	6.8	..	..	..	..
Guinea-Bissau	..	..	..	..	..	..
Guyana	..	..	..	..	..	..
Haiti	..	..	..	..	..	..
Honduras	..	..	..	..	..	..
Hungary	17.6	19.1	18.6	23.1	33.5	25.4
Iceland	21.4	22.1	18.6	19.4	38	27.3
India	12.2	..	25.4	..	96.9	..
Indonesia	..	..	..	..	24	..
Iran, Islamic Rep.	8.6	11.1	9.4	17.5	33	24.2
Iraq	..	..	..	..	..	..
Ireland	10.8	11.8	16.4	15.9	27.9	15.5
Isle of Man	..	..	..	..	..	..
Israel	21.2	21.5	18.7	18.7	29.3	18.2
Italy	23.1	19.5	26.7	..	26.5	24.3
Jamaica	..	21.7	..	29.7	71.7	..
Japan	..	21.8	..	24.1	..	20.6
Jordan	14.7	13.3	17	15.6	77.4	25.3
Kazakhstan	..	0.2	22	21.2	..	7.5
Kenya	21.8	..	14.7	..	212.2	..
Kiribati	27.1	..	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..	..	..	..
Korea, Rep.	16.9	27.8	14.4	28.2	7.7	15
Kosovo	..	..	..	..	..	..
Kuwait	17.9	..	0	..	97	..
Kyrgyz Republic	..	..	..	..	24.2	4.9
Lao PDR	5.8	..	18.2	..	69.7	..
Latvia	18.9	24.5	23	26.4	27	17.7
Lebanon	..	..	..	..	..	..
Lesotho	33.5	20.7	74.6	30	841.8	44.7
Liberia	..	14.5	..	..	..	..
Libya	..	..	..	..	20.4	..
Liechtenstein	..	..	..	..	..	..
Lithuania	..	19.5	..	17.9	33.8	18
Luxembourg	..	..	..	..	..	..
Madagascar	5.9	..	..	..	154.4	0
Malawi	13.3	8.2	9.6	24	2489.8	..
Malaysia	12.4	16.1	21.7	22.8	80.9	23.8
Maldives	..	16.1	..	..	..	..
Mali	11.1	12.3	43.3	25.5	186.2	166.9
Malta	11	..	19.8	..	42.1	..
Marshall Islands	..	..	..	..	..	..
Mauritania	9.8	10.2	31.8	14.2	85.9	95.8
Mauritius	9.1	15.6	13.9	31.3	25	9.6
Mexico	9.5	13.8	11.5	14.4	38.7	29.7
Micronesia, Fed. Sts.	..	..	..	..	..	..
Moldova	..	32.5	..	31.1	..	26.6
Monaco	3.2	3.3	6.9	4.9	..	..
Mongolia	..	14.1	29.1	..	33.3	5.2
Montenegro	..	..	..	..	..	..
Morocco	16.6	..	43.5	..	92.7	..
Mozambique	..	..	..	..	1171.9	..
Myanmar	..	7.8	..	10.3	..	16.7
Namibia	18.9	..	31	..	134.2	..
Nepal	9	..	13	..	139.5	..
Netherlands	14.1	16.7	20	23.1	44.7	35.8
New Caledonia	..	..	..	..	..	..
New Zealand	17.4	20.3	21.6	21.1	..	25.3
Nicaragua	..	..	..	..	..	..
Niger	..	13.3	..	17.1	..	275.2
Nigeria	..	..	..	..	..	..
North Macedonia	..	..	..	..	..	..
Northern Mariana Islands	..	..	..	..	..	..
Norway	21.4	21.7	29.8	26.8	44.9	39.8
Oman	10.7	31.8	21.6	36	55.6	43.6
Pakistan	..	..	..	..	..	67.2
Palau	..	..	..	..	64.9	..
Panama	13.3	..	18.5	..	32.6	..
Papua New Guinea	..	..	..	..	..	..
Paraguay	10.8	11.7	14.7	11.9	46.8	..
Peru	8.5	11.2	10.5	14.6	..	10.9
Philippines	12.1	..	10.3	..	14.5	..
Poland	..	23.1	10.8	22.6	20.9	25.4
Portugal	18.7	..	26.4	..	27	..
Puerto Rico	..	..	..	..	..	..
Qatar	..	..	..	..	..	..
Romania	..	7.8	..	15.2	32.4	26.1
Russian Federation	..	..	..	..	11	19.8
Rwanda	10.5	4.3	40	21.7	1150.8	97.7
Samoa	8.1	9	8.9	13	188.6	..
San Marino	..	..	..	..	..	..
Sao Tome and Principe	..	..	..	..	..	..
Saudi Arabia	..	..	..	..	93.5	..
Senegal	9.2	10.9	27.7	11.4	..	131
Serbia	..	..	..	..	..	29.8
Seychelles	8.6	14.2	24	15.3	..	70.7
Sierra Leone	..	12.4	..	14.3	..	..
Singapore	..	17.5	..	21.6	..	23.5
Sint Maarten (Dutch part)	..	..	..	..	..	..
Slovak Republic	10	20.8	18.1	20.1	32.3	27.6
Slovenia	25.7	23.6	25.1	23	27.3	24.3
Solomon Islands	..	..	..	..	..	..
Somalia	..	..	..	..	..	..
South Africa	14.4	17.9	20.4	21.4	..	48
South Sudan	..	4.6	..	11.9	..	..
Spain	17.7	17.1	24.1	18.9	19.4	21.8
Sri Lanka	..	7.9	..	7.7	..	31.6
St. Kitts and Nevis	13.4	..	..	17.6	..	..
St. Lucia	22.5	14.7	20.7	22.7	..	0
St. Martin (French part)	..	..	..	..	..	..
St. Vincent and the Grenadines	21.6	17.5	22.5	20.1	..	..
Sudan	..	..	..	..	..	..
Suriname	..	..	..	..	..	..
Sweden	21.3	21.7	24.9	23.8	49.4	43.2
Switzerland	21	24.8	25.3	..	49.8	37.4
Syrian Arab Republic	11.1	..	21.6	..	..	..
Tajikistan	..	..	..	..	..	..
Tanzania	..	..	..	..	..	..
Thailand	17.5	..	18.8	..	35.3	..
Timor-Leste	..	..	..	..	..	..
Togo	8	16.2	28.5	..	280.7	77.2
Tonga	9.2	..	..	..	0	..
Trinidad and Tobago	10.4	..	..	..	..	..
Tunisia	14.4	..	25	..	83.7	..
Turkey	..	13	..	13.5	34.2	35.3
Turkmenistan	..	..	..	..	..	..
Turks and Caicos Islands	16.2	5.7	27.6	18.4	..	..
Tuvalu	..	..	..	..	..	..
Uganda	..	..	..	..	..	..
Ukraine	65.1	30.3	..	30.3	36.5	34.5
United Arab Emirates	6	..	8.1	..	0	..
United Kingdom	12.3	24.2	21.1	21.2	22.7	38
United States	..	19.9	..	22.1	..	19.4
Uruguay	7.1	12.6	10.5	16.2	19.3	25.4
Uzbekistan	..	..	..	..	..	..
Vanuatu	11.3	..	71.7	..	117.8	..
Venezuela, RB	..	..	..	..	..	..
Vietnam	..	..	..	..	..	..
Virgin Islands (U.S.)	..	..	..	..	..	..
West Bank and Gaza	..	..	..	..	..	..
Yemen, Rep.	..	..	..	..	..	..
Zambia	6.4	12.9	..	..	..	..
Zimbabwe	..	..	..	..	..	..
World	..	..	..	..	..	..
East Asia & Pacific	..	..	..	..	..	..
Europe & Central Asia	..	20.6	..	23	27.3	25.8
Latin America & Caribbean	10.8	15.2	13.6	15	..	..
Middle East & North Africa	..	..	..	..	..	..
North America	..	19.9	..	22.1	42.9	25.4
South Asia	..	..	13	12	96.9	30.5
Sub-Saharan Africa	..	..	..	..	..	..
Low income	..	..	..	..	..	..
Lower middle income	..	..	..	..	..	..
Upper middle income	..	..	..	..	..	..
High income	17.7	20.3	..	22.8	30	25.4
