Country	Total	per capita	Grants	Technical cooperation
Namibia	150,00	61,00	128,00	42,00
Nepal	1.451,00	52,00	630,00	101,00
Netherlands	..	..	..	..
New Caledonia	..	..	..	..
New Zealand	..	..	..	..
Nicaragua	352,00	54,00	163,00	35,00
Niger	1196	53	882	77
Nigeria	3302	17	1961	237
Northern Mariana Islands	..	..	..	..
Norway	..	..	..	..
Oman	..	..	..	..
Pakistan	1.362,00	6,00	1.542,00	190,00
Palau	84,00	4.712,00	81,00	3,00
Panama	38,00	9,00	22,00	17,00
Papua New Guinea	786	91	269	307
Paraguay	162,00	23,00	64,00	34,00
Peru	442,00	14,00	214,00	118,00
Philippines	541,00	5,00	437,00	254,00
Poland	..	..	..	..
Portugal	..	..	..	..
Puerto Rico	..	..	..	..
Qatar	..	..	..	..
Romania	..	..	..	..
Russian Federation	..	..	..	..
Rwanda	1119	91	621	73
Samoa	115,00	587,00	90,00	28,00
San Marino	..	..	..	..
Sao Tome and Principe	44	210	28	9
Saudi Arabia	..	..	..	..
Senegal	992	63	479	178
Serbia	1.068,00	153,00	335,00	120,00
Seychelles	..	..	..	..
Sierra Leone	506	66	375	40
Singapore	..	..	..	..
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	..	..	..	..
Slovenia	..	..	..	..
Solomon Islands	193,00	296,00	154,00	40,00
Somalia	1.573,00	105,00	1.514,00	63,00
South Africa	915,00	16,00	818,00	116,00
South Sudan	1.577,00	144,00	1.525,00	47,00
Spain	..	..	..	..
Sri Lanka	-258,00	-12,00	183,00	61,00
St. Kitts and Nevis	..	..	..	..
St. Lucia	9,00	47,00	5,00	3,00
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	18,00	159,00	12,00	1,00
Sudan	963	..	918	46
Suriname	13,00	23,00	16,00	2,00
Eswatini	120	105	96	13
Sweden	..	..	..	..
Switzerland	..	..	..	..
Syrian Arab Republic	9991	591	9824	184
Tajikistan	398	44	297	28
Tanzania	2.453,00	44,00	1.607,00	132,00
Thailand	-423,00	-6,00	90,00	75,00
Timor-Leste	203	160	119	64
Togo	296	38	167	42
Tonga	87	847	64	17
Trinidad and Tobago	..	..	..	..
Tunisia	805,00	70,00	277,00	212,00
Turkey	1.187,00	14,00	1.266,00	267,00
Turkmenistan	18,00	3,00	14,00	8,00
Turks and Caicos Islands	..	..	..	..
Tuvalu	19,00	1.635,00	10,00	6,00
Uganda	1.941,00	45,00	1.434,00	94,00
Ukraine	1.221,00	27,00	781,00	370,00
United Arab Emirates	..	..	..	..
United Kingdom	..	..	..	..
United States	..	..	..	..
Uruguay	..	..	..	..
Uzbekistan	556	17	113	41
Vanuatu	124,00	423,00	58,00	30,00
Venezuela, RB	147,00	5,00	126,00	21,00
Vietnam	1.633,00	17,00	411,00	266,00
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	2.240,00	490,00	2.114,00	120,00
Yemen, Rep.	7985	280	7660	61
Zambia	992	57	806	79
Zimbabwe	794,00	55,00	737,00	54,00
World	165.785,00	22,00	..	..
East Asia & Pacific	8.062,00	3,00	..	..
Europe & Central Asia	7.626,00	8,00	..	..
Latin America & Caribbean	10.469,00	16,00	..	..
Middle East & North Africa	32.037,00	71,00	..	..
North America	..	..	..	..
South Asia	12147	7	..	..
Sub-Saharan Africa	50.330,00	47,00	..	..
Low income	55.265,00	85,00	..	..
Lower middle income	41144	14	..	..
Upper middle income	14028	5	..	..
High income	216,00	0,00	..	..
