Country	%_2000	%_2018
Uzbekistan	22.6	11.8
Vanuatu	9.1	9
Venezuela, RB	26.8	21.6
Vietnam	4.2	7.3
Virgin Islands (U.S.)	26	28.5
West Bank and Gaza	16.7	69.1
Yemen, Rep.	14.3	34.1
Zambia	20.3	22.4
Zimbabwe	9.3	9.4
Arab World	32.4	41.9
Caribbean small states	32.5	26.2
Central Europe and the Baltics	26.7	13.1
Early-demographic dividend	17.5	20.6
East Asia & Pacific	8.1	9.5
East Asia & Pacific (excluding high income)	8	9.7
East Asia & Pacific (IDA & IBRD countries)	8	9.8
Euro area	21.6	19.5
Europe & Central Asia	20.7	17.8
Europe & Central Asia (excluding high income)	20.6	19.1
Europe & Central Asia (IDA & IBRD countries)	22	18.6
European Union	22.5	18
Fragile and conflict affected situations	12.6	19.9
Heavily indebted poor countries (HIPC)	9.5	9.7
High income	15.1	13.5
IBRD only	16.5	20.3
IDA & IBRD total	14.6	17.5
IDA blend	6.8	11.3
IDA only	9.6	11.6
IDA total	8.7	11.5
Late-demographic dividend	12.1	14
Latin America & Caribbean	20.3	20.7
Latin America & Caribbean (excluding high income)	20.1	20.8
Latin America & the Caribbean (IDA & IBRD countries)	20.5	21
Least developed countries: UN classification	8.6	11.2
Low & middle income	14.4	17.5
Low income	10.5	12.1
Lower middle income	14.7	18.8
Middle East & North Africa	33	42.7
Middle East & North Africa (excluding high income)	33.8	42.8
Middle East & North Africa (IDA & IBRD countries)	33.9	42.4
Middle income	14.7	18.3
North America	9.1	7.8
Not classified	..	..
OECD members	14.8	12.6
Other small states	29.6	24.9
Pacific island small states	11	12.8
Post-demographic dividend	13.9	11.6
Pre-demographic dividend	9.5	14.2
Small states	29.1	24.4
South Asia	14.6	20.8
South Asia (IDA & IBRD)	14.6	20.8
Sub-Saharan Africa	12.5	13.1
Sub-Saharan Africa (excluding high income)	12.5	13.1
Sub-Saharan Africa (IDA & IBRD countries)	12.5	13.1
Upper middle income	14.8	17.7
World	14.5	17
