Country	Male_2000	Male_2018	Female_2000	Female_2018
Malta	2.6	1.5	0.8	0.4
Marshall Islands	..	..	..	..
Mauritania	61.2	52.4	64.5	51.2
Mauritius	12.7	6.9	8.8	5.2
Mexico	22.8	18.4	6.6	3.6
Micronesia, Fed. Sts.	..	..	..	..
Moldova	51.9	39.3	49.9	32.9
Monaco	..	..	..	..
Mongolia	50.5	30.4	46.4	25.2
Montenegro	10.8	8.6	8.3	7.3
Morocco	40.9	29.1	57.7	54.8
Mozambique	70.5	59.8	91	80.5
Myanmar	63.9	53.2	58.2	44.5
Namibia	33	24.1	29.2	21.1
Nepal	66.3	53.2	84.6	75.3
Netherlands	4	2.8	2.4	1.3
New Caledonia	6.7	2.9	2.9	0.9
New Zealand	11.1	7.6	5.8	3.8
Nicaragua	41.8	44	9.8	8.4
Niger	80.7	79.1	74.6	70.2
Nigeria	53.7	44.5	42.8	24.4
North Macedonia	23.7	16.3	25.4	14.8
Northern Mariana Islands	..	..	..	..
Norway	6	3	2.3	1.1
Oman	6.6	5.2	5.4	0.4
Pakistan	39.3	30.1	65.5	66.4
Palau	..	..	..	..
Panama	25.2	18.3	1.8	8
Papua New Guinea	69.3	57.1	77.5	61.7
Paraguay	40.9	23.7	20	14.6
Peru	37	28.7	31.4	25.9
Philippines	45.3	30.5	24	14.4
Poland	18.9	10.6	18.4	8.4
Portugal	11.3	8.1	14.3	3.9
Puerto Rico	3.1	1.7	0.2	0.3
Qatar	3.1	1.4	0	0
Romania	42.8	22.4	48	22.2
Russian Federation	17.1	7.7	11.7	4
Rwanda	83	53.4	93.8	72.4
Samoa	54.5	43	17.9	6.8
San Marino	..	..	..	..
Sao Tome and Principe	36.9	24.5	19.4	9.2
Saudi Arabia	6.7	2.8	2.3	0.5
Senegal	47.4	34.1	43.8	25.7
Serbia	26.4	17.7	26.3	13.6
Seychelles	..	..	..	..
Sierra Leone	66.7	58.4	73.7	52.8
Singapore	1.2	1	0.4	0.3
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	9.1	3.2	4.3	1.2
Slovenia	9.5	5.9	9.7	4.9
Solomon Islands	48.2	38.1	52.6	38.2
Somalia	82.9	82	89.9	87.1
South Africa	10.9	6.2	8.3	3.9
South Sudan	43.2	42.2	76.3	74
Spain	7.8	5.9	4.8	2.2
Sri Lanka	38.2	23.7	47.9	28.3
St. Kitts and Nevis	..	..	..	..
St. Lucia	26	22.1	13.8	11.7
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	22	15.3	8.5	4.8
Sudan	46.8	34.8	66.7	55.2
Suriname	8.1	9.5	3.6	4.1
Sweden	4.3	2.4	1.4	0.9
Switzerland	5.5	3.4	4	2.6
Syrian Arab Republic	26.6	11.4	62	8.5
Tajikistan	49.5	36.4	78.9	61.2
Tanzania	80.4	63.7	85.7	68
Thailand	49.8	34.6	47.6	29.2
Timor-Leste	59.2	48	60.2	42.4
Togo	47.7	40.2	47.7	36.4
Tonga	50.5	38.4	4.3	2.4
Trinidad and Tobago	9.9	4.3	2.9	1.4
Tunisia	19.8	14.4	22.8	9.9
Turkey	29.2	14.9	65.6	26
Turkmenistan	33.2	20.9	26.5	19.4
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	63.5	68.6	77.4	77.4
Ukraine	25.9	17	24.3	12.5
United Arab Emirates	9	1.8	0.1	0
United Kingdom	2.2	1.5	0.8	0.6
United States	2.3	1.9	0.9	0.8
Uruguay	15.8	12.1	5.7	3.7
Uzbekistan	39.3	24.1	40.8	25.3
Vanuatu	63.5	57	69.5	55.7
Venezuela, RB	16	12.2	1.7	1.1
Vietnam	64.3	37.4	66.3	39.9
Virgin Islands (U.S.)	9.1	6	1.7	0.8
West Bank and Gaza	10.3	6.2	34.7	6.8
Yemen, Rep.	33.9	28.1	63.4	47.1
Zambia	64.3	44.1	78.1	54.9
Zimbabwe	52.1	62.6	70	70
World	40.5	28	39.2	26
East Asia & Pacific	47.4	27.5	43.1	23.4
Europe & Central Asia	15.1	9.1	14.6	7.3
Latin America & Caribbean	24.1	18.3	10.2	7.2
Middle East & North Africa	23.8	14.9	31.7	20.7
North America	2.4	1.9	0.9	0.8
South Asia	53.7	38.2	74.3	57.9
Sub-Saharan Africa	60.1	53.1	63.7	52.8
Low income	64.8	56.6	73.7	63.1
Lower middle income	52.2	37.9	62.4	46
Upper middle income	43.1	24.3	38.1	19.3
High income	6.1	3.9	4.8	2.2
