Country	Goods, Exports	Goods, Imports	Services, Exports
Eswatini	0.1	3	5.3
Ethiopia	1.7	6.2	2.2
Faroe Islands	..	..	..
Fiji	3.9	4.9	1.7
Finland	2.6	7.3	26.2
France	4	6.1	6.7
French Polynesia	..	..	1.5
Gabon	..	..	..
Gambia, The	0.1	0.4	3
Georgia	0.4	2020.2	2020.3
Germany	5	8.6	11.7
Ghana	0.3	2.4	..
Gibraltar	..	..	..
Greece	2020.1	2020.4	3
Greenland	0	2020.7	..
Grenada	..	..	1.7
Guam	..	..	..
Guatemala	0.2	6.4	7
Guinea	..	..	1.1
Guinea-Bissau	..	..	26.1
Guyana	0	1.3	3.4
Haiti	..	..	5
Honduras	0.5	5.2	9.6
Hong Kong SAR, China	55.5	53.5	2.9
Hungary	11.3	12.5	8.2
Iceland	0.2	5.8	4.8
India	1.2	9.2	42.4
Indonesia	2.9	7.7	4
Iran, Islamic Rep.	0	6.4	..
Iraq	..	..	2.3
Ireland	6.8	8.1	43.2
Isle of Man	..	..	..
Israel	2020.6	2020.9	45.4
Italy	2	4.9	8.1
Jamaica	1	3.6	3.6
Japan	8.1	11.9	2.7
Jordan	2	4.7	0.4
Kazakhstan	0.1	6	2020.8
Kenya	0.3	3.8	10.2
Kiribati	0.1	5.6	..
Korea, Dem. Peopleâ€™s Rep.	..	..	..
Korea, Rep.	2020.8	14	2020.8
Kosovo	..	..	4.7
Kuwait	0.2	7.2	43.3
Kyrgyz Republic	0.1	3.9	4.8
Lao PDR	10	7.4	3.2
Latvia	8.4	8.2	12.5
Lebanon	0.7	3.1	4.2
Lesotho	2.8	2.7	5.5
Liberia	..	..	..
Libya	..	..	19.9
Liechtenstein	..	..	..
Lithuania	3.5	4.9	5.8
Luxembourg	2.4	4.4	3.8
Macao SAR, China	2020.8	2020.8	0.1
North Macedonia	0.6	3.6	10.7
Madagascar	0	2.7	7.5
Malawi	0.1	4	27
Malaysia	33.1	25.1	7.2
Maldives	0	4.5	3.3
Mali	0	4.1	..
Malta	15.7	6.5	0.6
Marshall Islands	..	..	2.6
Mauritania	..	1.6	8.7
Mauritius	2020.4	2020.1	2020.2
Mexico	15	15.2	0.3
Micronesia, Fed. Sts.	..	..	..
Moldova	0.2	4	2020.9
Monaco	..	..	..
Mongolia	0	2020.3	2020.6
Montenegro	0.5	3.9	3.9
Morocco	2.1	3.9	8.6
Mozambique	0.5	2.7	3.2
Myanmar	0.5	2.9	2.9
Namibia	0.2	2.8	5.1
Nauru	..	..	..
Nepal	0.6	5.3	18
Netherlands	10.8	13.7	9.4
New Caledonia	..	..	2020.3
New Zealand	1	7.3	3.5
Nicaragua	0.1	2.7	11.2
Niger	0.1	4.2	42.1
Nigeria	0	3.1	5.8
Northern Mariana Islands	..	..	..
Norway	0.9	6.7	5.7
Oman	0.4	4.9	3
Pakistan	0.2	3.9	15.9
Palau	0	3.1	2.2
Panama	2020.7	2020.3	2020.2
Papua New Guinea	..	..	1.9
Paraguay	0.1	15.6	1.4
Peru	0.1	8.3	2.1
Philippines	38.3	22.1	16.5
Poland	6.9	8.5	10.9
Portugal	3	5.6	4.6
Puerto Rico	..	..	..
Qatar	0	5.1	3.5
Romania	2.9	7.1	18.1
Russian Federation	0.5	2020.9	2020.1
Rwanda	1	9.8	2
Samoa	0.3	3.6	8
San Marino	..	..	..
Sao Tome and Principe	0.4	4	0.3
Saudi Arabia	0.1	7.5	1.9
Senegal	0.3	3.1	..
Serbia	1	2020.6	2020.1
Seychelles	0.1	2.8	1.3
Sierra Leone	0.3	1.8	68.2
Singapore	29.6	26.6	6.7
Sint Maarten (Dutch part)	..	..	0.8
Slovak Republic	14.3	13.7	14.6
Slovenia	1.6	3.7	7.4
Solomon Islands	0	2.6	1.8
Somalia	..	..	..
South Africa	1	7.9	4.2
South Sudan	..	..	1.9
Spain	1.5	5.2	8.7
Sri Lanka	0.6	4.7	12
St. Kitts and Nevis	2020.5	2020.5	0.9
St. Lucia	8.7	4.8	1.3
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	0.3	4.4	3.3
Sudan	..	1.6	0
Suriname	0	1.3	7.9
Sweden	5.8	9.2	19.1
Switzerland	1.1	3.9	11
Syrian Arab Republic	..	..	..
Tajikistan	..	..	2.1
Tanzania	4.2	3.1	0.4
Thailand	15.6	13.4	0.6
Timor-Leste	0.3	3.9	2
Togo	0.1	2.7	6.6
Tonga	..	..	9.7
Trinidad and Tobago	..	..	1.5
Tunisia	6	5.3	9.2
Turkey	2020.2	2020.2	0.6
Turkmenistan	..	..	..
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	0.4	4	2.4
Ukraine	1	2020.8	2020.5
United Arab Emirates	7.1	13.3	..
United Kingdom	3.9	8.1	7
United States	8.9	13.6	5.3
Uruguay	0.1	2020.8	2020.5
Uzbekistan	0.1	2	..
Vanuatu	..	..	2.6
Venezuela, RB	..	..	5
Vietnam	33.4	25	..
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	0.4	3.9	15.1
Yemen, Rep.	..	..	25.4
Zambia	0.1	4.4	4.3
Zimbabwe	0	2.8	3.3
Arab World	2.3	8.4	6.8
Caribbean small states	..	..	2020.7
Central Europe and the Baltics	9.3	10.4	11.3
Early-demographic dividend	5.5	9.2	21.1
East Asia & Pacific	2020.3	2020.1	2020.4
East Asia & Pacific (excluding high income)	25.1	20.8	9.4
East Asia & Pacific (IDA & IBRD countries)	25.1	20.8	9.4
Euro area	4.8	7.3	12.8
Europe & Central Asia	4.5	7.6	11.4
Europe & Central Asia (excluding high income)	0.7	2020.5	2020.1
Europe & Central Asia (IDA & IBRD countries)	1.8	6.9	8.8
European Union	5.3	7.7	12.7
Fragile and conflict affected situations	..	..	4.8
Heavily indebted poor countries (HIPC)	..	3.3	6.2
High income	10.2	12.3	9.5
IBRD only	2020.3	2020.3	2020.9
IDA & IBRD total	13.7	13.8	13.5
IDA blend	0.1	3.4	8.9
IDA only	..	..	7
IDA total	..	..	6.4
Late-demographic dividend	2020.8	2020.3	2020.5
Latin America & Caribbean	6	2020.1	2020.1
Latin America & Caribbean (excluding high income)	2020.6	2020.4	2020.5
Latin America & the Caribbean (IDA & IBRD countries)	6	2020.1	2020.1
Least developed countries: UN classification	..	..	4.6
Low & middle income	14.4	14.3	14
Low income	..	..	6.8
Lower middle income	4	7.8	28
Middle East & North Africa	3.1	8.4	14.8
Middle East & North Africa (excluding high income)	..	4.8	6
Middle East & North Africa (IDA & IBRD countries)	..	4.8	6
Middle income	14.4	14.3	14.2
North America	7.3	12.5	5.6
Not classified	..	..	..
OECD members	7.1	9.7	9.6
Other small states	2020.3	5	6
Pacific island small states	2.9	4.3	2.8
Post-demographic dividend	9.9	12.2	7.5
Pre-demographic dividend	..	..	5.7
Small states	2020.3	2020.9	2020.6
South Asia	1.1	8.5	39.1
South Asia (IDA & IBRD)	1.1	8.5	39.1
Sub-Saharan Africa	0.4	5	4.4
Sub-Saharan Africa (excluding high income)	0.4	5	4.4
Sub-Saharan Africa (IDA & IBRD countries)	0.4	5	4.4
Upper middle income	2020.2	2020.8	2020.2
World	2020.4	2020.9	2020.4
