Country	Total (1990)	Total (2014)	Per Capita (1990)	Per Capita (2014)	Fossil fuel (1990)	Fossil fuel (2014)	Combustible renewable and waste (1990)	Combustible renewable and waste (2014)	Alternative and nuclear energy (1990)	Alternative and nuclear energy (2014)
Eswatini	0.3	..	375	..	0	..	..	..	..	..
Ethiopia	22.9	48.4	479	493	3.6	6.6	77.2	74.4	0.3	1.2
Faroe Islands	..	..	..	..	..	..	..	..	..	..
Fiji	0.3	..	392	..	0	..	..	..	..	..
Finland	28.4	33.9	5692	6213	55.5	42.2	14.4	23.5	21.2	23.2
France	224	242.6	3847	3659	58.2	46.2	4.3	4.6	38.3	49.6
French Polynesia	..	..	..	..	..	..	..	..	..	..
Gabon	1.2	5.1	1244	2694	32	22.8	62.7	73.7	4.1	1.2
Gambia, The	0.1	..	65	..	0	..	..	..	..	..
Georgia	12.4	4.4	2585	1180	88.8	72.2	3.7	10.6	5.2	15.7
Germany	351.2	306.1	4421	3779	86.8	79.7	0.8	4	11.8	13
Ghana	5.3	9	358	332	18.2	52.5	57.4	26.9	7.3	5.9
Greece	21.4	23.1	2103	2124	94.6	86	4.2	4.9	0.9	5.4
Greenland	..	..	..	..	..	..	..	..	..	..
Grenada	0	..	441	..	0	..	..	..	..	..
Guam	..	..	..	..	..	..	..	..	..	..
Guatemala	4.4	13.2	487	864	27.9	37.4	65.1	44.6	3	2.6
Guinea	..	..	..	..	..	..	..	..	..	..
Guinea-Bissau	0.1	..	77	..	0	..	..	..	..	..
Guyana	0.4	..	514	..	0	..	..	..	..	..
Haiti	1.6	4.2	222	394	19.7	22	62.2	59	1.7	0.1
Honduras	2.4	5.4	480	598	30	52.5	62.4	39.4	6.4	3.3
Hungary	28.8	22.8	2774	2314	81.6	68.2	2.2	9.7	12.8	19
Iceland	2.3	5.9	8908	17916	28.6	10.9	0	0	32.1	35.4
India	305.7	824.7	350	637	53.8	73.6	42.6	21.4	2	2.7
Indonesia	98.6	225.5	544	884	53.4	66.1	42.6	24.8	0.5	0.8
Iran, Islamic Rep.	69.3	237.1	1230	3060	98.9	99	0.2	0.2	0.6	0.9
Iraq	20	49.5	1151	1438	98.8	96	0.1	0.1	1.1	0.3
Ireland	9.9	12.8	2820	2742	85.1	84.4	1.1	2.4	0.5	4.2
Isle of Man	..	..	..	..	..	..	..	..	..	..
Israel	11.5	22.7	2460	2763	97	91.7	0	0	3.1	5.2
Italy	146.6	146.8	2584	2414	93.4	78.6	0.5	5.7	2.2	7.1
Jamaica	2.8	2.8	1151	977	82.6	81	5.1	11.1	0.2	0.6
Japan	438.7	441.7	3551	3471	84.6	94.4	0.8	1.1	13.9	2.2
Jordan	3.3	8.2	918	917	98.1	97.6	0.1	0.1	1.8	1.9
Kazakhstan	73.4	76.7	4493	4435	97	99.2	0.2	0	1	0.6
Kenya	10.7	23.6	452	506	17.8	17.4	51.3	44.5	2	2.2
Kiribati	0	..	98	..	0	..	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	33.2	11.9	1637	475	93.1	62.1	2.4	7.4	3.4	7
Korea, Rep.	92.9	268.4	2167	5289	83.8	82.4	0.5	0.9	15.4	15.6
Kosovo	..	2.2	..	1219	..	86.1	..	11.4	..	0.5
Kuwait	9.1	33.9	4347	9179	99.9	93.7	0.1	0	0	0
Kyrgyz Republic	7.5	3.8	1705	650	93.5	75.5	0.1	0.1	7.2	22.7
Lao PDR	..	..	..	..	..	..	..	..	..	..
Latvia	7.9	4.3	2949	2177	81.8	56.7	8	28.2	6.2	6.8
Lebanon	2	7.5	697	1197	92.5	97.6	4.6	1.5	2	0.5
Lesotho	..	..	..	..	..	..	..	..	..	..
Liberia	..	..	..	..	..	..	..	..	..	..
Libya	11.2	17.9	2517	2809	98.9	99.1	1.1	0.8	0	0
Liechtenstein	..	..	..	..	..	..	..	..	..	..
Lithuania	16.1	7	4344	2387	75.8	68	1.7	15	28.1	3.8
Luxembourg	3.4	3.8	8874	6861	89.2	83.3	0	3.6	1.4	2.5
North Macedonia	2.5	2.6	1241	1262	98	79.4	0	9	1.4	5.5
Madagascar	..	..	..	..	..	..	..	..	..	..
Malawi	..	..	..	..	..	..	..	..	..	..
Malaysia	21.8	89.7	1211	3003	89.9	96.6	5.8	1.3	1.4	1.2
Maldives	0.1	..	228	..	0	..	..	..	..	..
Mali	..	..	..	..	..	..	..	..	..	..
Malta	0.7	0.8	1962	1782	100	97.8	0	0.8	0	1.5
Marshall Islands	..	..	..	..	..	..	..	..	..	..
Mauritania	..	..	..	..	..	..	..	..	..	..
Mauritius	0.7	1.4	629	1111	55.5	84.5	36.4	5.1	1	0.8
Mexico	123.7	188	1473	1562	87.4	90.3	6.9	3.8	2.4	3.4
Micronesia, Fed. Sts.	..	..	..	..	..	..	..	..	..	..
Moldova	9.9	3.3	3332	1156	99.7	88.7	0.6	8.3	0.1	0.8
Monaco	..	..	..	..	..	..	..	..	..	..
Mongolia	3.4	5.4	1560	1828	97.2	93.2	1.5	1.7	0	0.3
Montenegro	..	1	..	1538	..	64.7	..	17.2	..	13
Morocco	7.6	19	307	555	85.5	88.5	12.7	7.2	1.2	1.6
Mozambique	5.9	11.6	456	443	5.5	12.6	74.2	69.1	0.5	9.2
Myanmar	10.7	19.3	258	369	14.6	44.3	78.6	52.1	0.7	3.1
Namibia	0.7	1.8	470	794	54.3	66.7	21.4	7.2	18.1	17.8
Nepal	5.8	11.7	306	434	5.1	15.5	93.7	77.9	0.9	5.2
Netherlands	65.7	72.9	4395	4326	98	90.9	0.6	1.6	1.6	3.1
New Caledonia	..	..	..	..	..	..	..	..	..	..
New Zealand	12.8	20.6	3854	4560	66.7	59.8	5	5	16.3	13.5
Nicaragua	2	3.7	484	596	29.3	40.7	46.9	29.4	2.5	3.3
Niger	..	2.9	..	150	..	24.1	..	71.5	..	0
Nigeria	66.4	134.7	698	764	20.5	18.9	77.6	74.3	0.3	0.3
Northern Mariana Islands	..	..	..	..	..	..	..	..	..	..
Norway	21.1	28.7	4967	5596	52.1	58	4.3	3.1	39.5	32.3
Oman	4.2	24.3	2328	6041	100	100	0	0	0	0
Pakistan	42.9	89.9	399	460	52.7	61.6	43	35	2.8	4
Palau	0.1	..	4879	..	0	..	..	..	..	..
Panama	1.5	4.2	603	1080	58.4	80.7	26.1	7	9.8	8.9
Papua New Guinea	..	..	..	..	..	..	..	..	..	..
Paraguay	3.1	5.2	728	783	21.3	33.7	69	40.4	5.5	16.3
Peru	9.7	23.8	441	790	63.3	79.6	26.5	11.2	7.9	7.2
Philippines	28.7	47.7	464	474	43.1	62.4	31.7	13	2.8	2.9
Poland	103.1	94	2706	2473	97.8	90.1	1.3	6.4	0.1	0.9
Portugal	16.8	21.2	1681	2035	80.4	72.8	14.2	10.6	4	10.7
Puerto Rico	..	..	..	..	..	..	..	..	..	..
Qatar	6.5	44.1	13703	17923	100	100	0	0	0	0
Romania	62.3	31.7	2683	1592	96.1	72.5	0.9	11.6	1.3	14.5
Russian Federation	879.2	710.9	5942	4943	93.4	92.1	2020.3	0.4	2020.8	2020.2
Rwanda	..	..	..	..	..	..	..	..	..	..
Samoa	0	..	266	..	0	..	..	..	..	..
San Marino	..	..	..	..	..	..	..	..	..	..
Sao Tome and Principe	0	..	197	..	0	..	..	..	..	..
Saudi Arabia	58	213.5	3573	6906	100	99.9	0	0	0	0
Senegal	1.7	4	224	279	43.3	53.9	35.2	27.9	0	0.6
Serbia	19.7	13.3	2599	1859	90.8	83.9	5.9	7.8	3.3	5.7
Seychelles	0	..	541	..	0	..	..	..	..	..
Sierra Leone	..	..	..	..	..	..	..	..	..	..
Singapore	11.5	28	3783	5122	99.4	90.6	0	0	0.1	0.2
Sint Maarten (Dutch part)	..	..	..	..	..	..	..	..	..	..
Slovak Republic	21.3	15.9	4025	2943	81.6	63.9	0.8	4.1	15.4	28.3
Slovenia	5.7	6.7	2858	3236	71.3	59.7	4.7	8.4	24.4	31.9
Solomon Islands	0.1	..	171	..	0	..	..	..	..	..
Somalia	..	..	..	..	..	..	..	..	..	..
South Africa	91	147	2472	2695	86.2	86.8	8.5	7.7	2.5	2.7
South Sudan	..	0.7	..	66	..	72.2	..	23.1	..	0
Spain	90.1	114.6	2317	2465	77.4	71.5	4.4	4.4	17.7	21.6
Sri Lanka	5.5	10.7	318	516	24.1	50.5	70.6	45.2	4.1	3.4
St. Kitts and Nevis	0	..	537	..	0	..	..	..	..	..
St. Lucia	0.1	..	405	..	0	..	..	..	..	..
St. Martin (French part)	..	..	..	..	..	..	..	..	..	..
St. Vincent and the Grenadines	0	..	274	..	0	..	..	..	..	..
Sudan	10.6	15	412	381	17.4	31.7	40.4	38	0.6	4.4
Suriname	..	0.7	..	1247	..	76.3	..	6.9	..	15.2
Sweden	47.2	48.2	5515	4966	37.3	29.8	10.6	18.5	48.8	47.5
Switzerland	24.4	25.1	3628	3060	58.5	48.7	2.8	3.4	35	42.4
Syrian Arab Republic	10.5	10.8	841	577	97.7	97.8	0	0	1.6	1.4
Tajikistan	5.3	2.8	1005	340	71.3	46	0	0	26.1	37.5
Tanzania	9.7	24.8	386	497	6.9	14.4	83.9	74	1.1	0.7
Thailand	41.9	134.8	742	1969	63.8	79.8	21.9	12.1	0.9	1.1
Timor-Leste	..	..	..	..	..	..	..	..	..	..
Togo	1.3	3.3	335	462	15.1	17.8	51.3	44.1	1.4	2.4
Tonga	0	..	267	..	0	..	..	..	..	..
Trinidad and Tobago	6	19.6	4903	14364	98.9	99.9	0.3	0.1	0	0
Tunisia	4.9	10.5	600	950	87	88.9	10.6	8.3	0.1	0.8
Turkey	52.7	121.5	978	1574	81.8	89.5	13.7	2.7	3.7	5
Turkmenistan	17.5	26.7	4755	4893	..	..	0	0	0.2	0
Turks and Caicos Islands	..	..	..	..	..	..	..	..	..	..
Tuvalu	..	..	..	..	..	..	..	..	..	..
Uganda	..	..	..	..	..	..	..	..	..	..
Ukraine	252	105.7	4857	2334	91.8	75.3	0.1	1.3	8.1	22.5
United Arab Emirates	20.4	70.5	11170	7648	100	86.1	0	0.1	0	0.1
United Kingdom	205.9	179.4	3597	2777	90.7	82.7	0.1	2.5	8.6	11.6
United States	1915.1	2216.2	7672	6963	86.4	83.1	1.4	3.7	9.5	11.7
Uruguay	2.3	4.7	724	1386	58.7	46.3	23.7	33.7	13.6	14.8
Uzbekistan	46.4	42.9	2261	1419	99.2	97.7	0	0	0.9	1.9
Vanuatu	0	..	159	..	0	..	..	..	..	..
Venezuela, RB	39.6	68.8	2016	2309	90.5	88.4	1.5	1.1	6.1	8.2
Vietnam	17.9	59.9	263	660	27.6	69.8	66.4	23.8	1.8	6.9
Virgin Islands (U.S.)	..	..	..	..	..	..	..	..	..	..
West Bank and Gaza	..	..	..	..	..	..	..	..	..	..
Yemen, Rep.	2.5	8.3	215	329	96.9	98.5	1.5	0.7	0	0
Zambia	5.4	9.6	678	645	15.5	10.6	55.9	61.5	9.3	9.7
Zimbabwe	9.3	11.3	891	845	44.8	29.1	50.7	62.6	3.9	3.3
World	8569.7	13307.5	1663	1923	80.8	80.9	9	7.5	8	8.1
East Asia & Pacific	1837.9	4685.2	1014	2135	77	86.4	2020.9	2020.2	2020.4	2020.1
Europe & Central Asia	3164.1	2800.1	3764	3162	86.7	78.4	2	2020.9	2020.1	2020.1
Latin America & Caribbean	469.3	875.5	1054	1360	70.8	73.3	2020.2	13	2020.7	2020.1
Middle East & North Africa	302.6	922.9	1196	2353	98	97.4	1	0.5	0.7	0.6
North America	2127.3	2497.1	7668	7056	85.2	82	1.8	3.7	10.5	12.6
South Asia	376.1	981.5	333	574	52.1	71.5	44.2	23.7	2.1	2.7
Sub-Saharan Africa	305.2	587.9	693	688	40.7	39.8	48.7	47.2	1.8	1.9
Low income	155.5	214.7	..	..	49.3	23.4	36.4	54.2	2.9	3.6
Lower middle income	965.9	1729.4	547	626	63.1	66.2	30.3	26	3.5	3.7
Upper middle income	2833.4	5783.5	1298	2100	82.5	86.2	2020.3	2020.9	2020.3	2020.1
High income	4650.1	5627.8	4528	4677	84	81.1	2	2020.7	12	2020.6
