Country	Interest % (2010)	Interest % (2018)
Saudi Arabia	1.5	1.7
Senegal	..	9
Serbia	2.9	..
Seychelles	15.8	8.3
Sierra Leone	..	..
Singapore	0	0
Sint Maarten (Dutch part)	..	..
Slovak Republic	3.8	3.5
Slovenia	4.1	5
Solomon Islands	0.8	0.2
Somalia	..	..
South Africa	8.7	12.1
South Sudan	..	..
Spain	10.7	12.4
Sri Lanka	42.3	44.1
St. Kitts and Nevis	23.3	4.9
St. Lucia	11	13.6
St. Martin (French part)	..	..
St. Vincent and the Grenadines	10.5	8.1
Sudan	8	5.1
Suriname	..	..
Sweden	2.7	1.4
Switzerland	2.7	1
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	4.5	10.3
Thailand	6.1	5.2
Timor-Leste	0	0
Togo	4.2	9.9
Tonga	2.8	1.9
Trinidad and Tobago	7.1	8.1
Tunisia	6.3	..
Turkey	12.1	9.1
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	14.5
Ukraine	4.4	10.1
United Arab Emirates	..	..
United Kingdom	8.2	6.9
United States	15.4	15.3
Uruguay	7.9	8.2
Uzbekistan	0.1	0.3
Vanuatu	2	2.5
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	1.3	1.7
Yemen, Rep.	..	..
Zambia	9.5	33.2
Zimbabwe	1.3	13.5
World	5.3	6.3
East Asia & Pacific	4.4	8
Europe & Central Asia	4.3	3.8
Latin America & Caribbean	9	12.3
Middle East & North Africa	..	..
North America	12.7	10.7
South Asia	18.3	12.6
Sub-Saharan Africa	4.4	9.4
Low income	..	..
Lower middle income	5.4	10.2
Upper middle income	5.8	9.8
High income	5.5	3.9
