Country	Male	Female
Malta	80.4	84.6
Marshall Islands	..	..
Mauritania	63.1	66.3
Mauritius	71.3	77.7
Mexico	72.1	77.8
Micronesia, Fed. Sts.	66.1	69.5
Moldova	67.5	76.1
Monaco	..	..
Mongolia	65.6	74
Montenegro	74.3	79.2
Morocco	75.2	77.7
Mozambique	57.1	63
Myanmar	63.8	69.9
Namibia	60.4	66.2
Nauru	..	..
Nepal	69	71.9
Netherlands	80.3	83.4
New Caledonia	75.1	79.3
New Zealand	80.2	83.6
Nicaragua	70.7	77.8
Niger	60.9	63.2
Nigeria	53.5	55.2
Northern Mariana Islands	..	..
Norway	81.1	84.5
Oman	75.9	80.1
Pakistan	66.2	68.1
Palau	..	..
Panama	75.2	81.6
Papua New Guinea	63	65.6
Paraguay	72.2	76.3
Peru	73.8	79.3
Philippines	67.1	75.4
Poland	73.7	81.7
Portugal	78.3	84.5
Puerto Rico	76.3	83.4
Qatar	79	81.9
Romania	71.7	79.2
Russian Federation	67.8	77.8
Rwanda	66.5	70.8
Samoa	71.2	75.3
San Marino	..	..
Sao Tome and Principe	67.8	72.6
Saudi Arabia	73.8	76.6
Senegal	65.5	69.6
Serbia	73.5	78.4
Seychelles	68.5	77.4
Sierra Leone	53.5	55.1
Singapore	81	85.4
Sint Maarten (Dutch part)	74	82.8
Slovak Republic	73.9	80.8
Slovenia	78.5	84.4
Solomon Islands	71.2	74.7
Somalia	55.4	58.8
South Africa	60.5	67.4
South Sudan	56.1	59.1
Spain	80.7	86.3
Sri Lanka	73.4	80.1
St. Kitts and Nevis	..	..
St. Lucia	74.7	77.4
St. Martin (French part)	76.7	83.2
St. Vincent and the Grenadines	70.2	75
Sudan	63.3	66.9
Suriname	68.4	74.9
Sweden	80.9	84.3
Switzerland	81.9	85.7
Syrian Arab Republic	66.6	77.8
Tajikistan	68.7	73.2
Tanzania	63.2	66.8
Thailand	73.2	80.7
Timor-Leste	67.3	71.4
Togo	59.9	61.6
Tonga	68.9	72.8
Trinidad and Tobago	70.8	76.1
Tunisia	74.5	78.5
Turkey	74.4	80.3
Turkmenistan	64.6	71.6
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	60.7	65.2
Ukraine	66.7	76.7
United Arab Emirates	77.1	79.2
United Kingdom	79.5	83.1
United States	76.1	81.1
Uruguay	74	81.4
Uzbekistan	69.4	73.7
Vanuatu	68.8	72
Venezuela, RB	68.4	76.1
Vietnam	71.2	79.4
Virgin Islands (U.S.)	76.3	83
West Bank and Gaza	72.3	75.6
Yemen, Rep.	64.4	67.8
Zambia	60.5	66.4
Zimbabwe	59.5	62.6
World	70.4	74.9
East Asia & Pacific	73.6	78.7
Europe & Central Asia	74.9	81.1
Latin America & Caribbean	72.3	78.6
Middle East & North Africa	72.4	75.9
North America	76.5	81.4
South Asia	68.2	70.8
Sub-Saharan Africa	59.5	63
Low income	61.6	65.4
Lower middle income	66.8	70.2
Upper middle income	72.8	78
High income	78.1	83.4
