Country	Received	Paid
Slovenia	608	276
Solomon Islands	19,00	63,00
Somalia	..	..
South Africa	929,00	1.098,00
South Sudan	1.267,00	103,00
Spain	3.355,00	443,00
Sri Lanka	7.043,00	962,00
St. Kitts and Nevis	26	29
St. Lucia	43,00	22,00
St. Martin (French part)	..	..
St. Vincent and the Grenadines	47	13
Sudan	425,00	209,00
Suriname	1	39
Sweden	3.069,00	2.084,00
Switzerland	2.566,00	26.750,00
Syrian Arab Republic	1623	..
Tajikistan	2183	252
Tanzania	413	99
Thailand	7.466,00	4.924,00
Timor-Leste	96	286
Togo	451	98
Tonga	183	21
Trinidad and Tobago	139,00	359,00
Tunisia	1.902,00	27,00
Turkey	1.122,00	1.533,00
Turkmenistan	2	..
Turks and Caicos Islands	7,00	129,00
Tuvalu	4	..
Uganda	1338	400
Ukraine	14694	565
United Arab Emirates	..	..
United Kingdom	4.390,00	10.410,00
United States	6.668,00	68.472,00
Uruguay	104,00	12,00
Uzbekistan	7610	244
Vanuatu	35	10
Venezuela, RB	279	54
Vietnam	16.000,00	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	2482	21
Yemen, Rep.	3771	333
Zambia	107	132
Zimbabwe	1730	19
World	638.607,00	446.001,00
East Asia & Pacific	115751	69163
Europe & Central Asia	183618	186433
Latin America & Caribbean	90162	10450
Middle East & North Africa	59631	86937
North America	9.464,00	75.299,00
South Asia	131748	8806
Sub-Saharan Africa	48.232,00	8.914,00
Low income	21131	4031
Lower middle income	301783	16191
Upper middle income	162360	81556
High income	153.333,00	344.223,00
