Country	Most recent year	Tariff
Nicaragua	2017	3.5
Niger	2017	13.3
Nigeria	2016	11.5
Northern Mariana Islands	..	..
Norway	2017	3.6
Oman	2017	3.7
Pakistan	2016	12.6
Palau	..	14.1
Panama	2015	7.4
Papua New Guinea	2013	4.7
Paraguay	2017	8.1
Peru	2017	1.4
Philippines	2017	3.7
Poland	2017	2.4
Portugal	2017	2.4
Puerto Rico	..	..
Qatar	2017	4
Romania	2017	2.4
Russian Federation	2017	5.1
Rwanda	2016	11.5
Samoa	2017	12.2
San Marino	..	..
Sao Tome and Principe	..	9.8
Saudi Arabia	2017	4.5
Senegal	2017	13.2
Serbia	..	..
Seychelles	2017	2.7
Sierra Leone	2012	12.9
Singapore	2017	0.2
Sint Maarten (Dutch part)	..	..
Slovak Republic	2017	2.4
Slovenia	2017	2.4
Solomon Islands	2017	10.1
Somalia	..	..
South Africa	2017	6.7
South Sudan	..	..
Spain	2017	2.4
Sri Lanka	2017	10.4
St. Kitts and Nevis	2017	13.5
St. Lucia	2016	8.7
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2017	9.4
Sudan	..	12.6
Suriname	2013	10.8
Eswatini	2017	3
Sweden	2017	2.4
Switzerland	2017	4.8
Syrian Arab Republic	..	15.2
Tajikistan	2017	5.1
Tanzania	2016	12.2
Thailand	2015	8
Timor-Leste	..	2.5
Togo	2017	13.3
Tonga	2017	10.9
Trinidad and Tobago	2013	11.4
Tunisia	2016	10.2
Turkey	2017	2.7
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	8.9
Uganda	2016	11.7
Ukraine	2017	2.6
United Arab Emirates	2017	4.6
United Kingdom	2017	2.4
United States	2017	3.4
Uruguay	2017	10
Uzbekistan	..	13.7
Vanuatu	2017	10.1
Venezuela, RB	2017	11.9
Vietnam	2017	6.5
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	2017	5.8
Zambia	2016	14.7
Zimbabwe	2016	9.6
World	2017	5.2
East Asia & Pacific	2017	4.5
Europe & Central Asia	2017	3.8
Latin America & Caribbean	2017	7
Middle East & North Africa	2017	5.1
North America	..	..
South Asia	2017	9.6
Sub-Saharan Africa	2017	7.8
Low income	2017	11
Lower middle income	..	..
Upper middle income	2017	6.2
High income	2017	3.9
