Country	Most recent year	Tariff
Vietnam	2017	20.95
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	2017	1.93
Zambia	2016	27.11
Zimbabwe	2016	18.87
World	2017	10.83
East Asia & Pacific	2017	8.25
Europe & Central Asia	2017	5.79
Latin America & Caribbean	2017	18.27
Middle East & North Africa	2017	8.82
North America	..	..
South Asia	2017	19.12
Sub-Saharan Africa	2017	26.87
Low income	2017	32.16
Lower middle income	..	..
Upper middle income	2017	15.22
High income	2017	6.1
