Country	Population (2000)	Population (2016)
Vanuatu	11.8	12.6
Venezuela, RB	96.3	96.2
Vietnam	14.4	66.9
Virgin Islands (U.S.)	..	..
West Bank and Gaza	..	..
Yemen, Rep.	51.8	64.9
Zambia	14	16.4
Zimbabwe	32.4	29.1
World	49.4	59.4
East Asia & Pacific	45.2	61.3
Europe & Central Asia	92.3	97.3
Latin America & Caribbean	78.1	87
Middle East & North Africa	84.9	95
North America	100	100
South Asia	20.4	38.7
Sub-Saharan Africa	9.3	14.4
Low income	9.7	14
Lower middle income	25.5	40.8
Upper middle income	55.8	71.5
High income	98.3	99.2
