Country	Most recent year	Tariff
Yemen, Rep.	2017	21.6
Zambia	2016	107.3
Zimbabwe	2016	88.4
World	2017	35.5
East Asia & Pacific	2017	26.7
Europe & Central Asia	2017	6.9
Latin America & Caribbean	2017	49.8
Middle East & North Africa	2017	36.6
North America	..	..
South Asia	2017	31.7
Sub-Saharan Africa	2017	26.2
Low income	2017	18.8
Lower middle income	..	..
Upper middle income	2017	40.5
High income	2017	37.9
