Country	Total_2000	Total_2018	Female_2000	Female_2018
Guatemala	4.1	6.7	34.6	33.1
Guinea	2.8	4.3	53.3	54.5
Guinea-Bissau	0.5	0.8	47.4	47.8
Guyana	0.3	0.3	31.2	39.1
Haiti	3.2	5	47	47.3
Honduras	2.5	4.5	34.7	38.2
Hungary	4.2	4.7	44.6	45.5
Iceland	0.2	0.2	47.3	47.2
India	396.8	487.6	25.6	20.2
Indonesia	98.6	132.7	38.2	39.2
Iran, Islamic Rep.	19.2	27.8	15.4	19.6
Iraq	5.7	10.1	11.5	13.3
Ireland	1.9	2.4	40.7	45.8
Isle of Man	..	..	..	..
Israel	2.8	4.1	44.8	47.4
Italy	23.3	26	38.6	42.6
Jamaica	1.2	1.5	44.1	45.9
Japan	67.7	68.4	40.4	43.9
Jordan	1.3	2.6	14.5	18
Kazakhstan	7.6	9	49	48.1
Kenya	12.4	23.1	49.2	49
Kiribati	..	..	..	..
Korea, Dem. Peopleâ€™s Rep.	14	16.4	48	47.2
Korea, Rep.	22.8	28.3	40.4	42.1
Kosovo	..	..	..	..
Kuwait	1	2.4	24.8	25.5
Kyrgyz Republic	2	2.6	44.1	38.5
Lao PDR	2.4	3.7	50.3	49
Latvia	1.1	1	48.1	49.9
Lebanon	1.2	2.4	23.7	24.5
Lesotho	0.9	1	49.1	45.3
Liberia	1.2	2.2	47.3	47.5
Libya	1.6	2.4	30.8	34.1
Liechtenstein	..	..	..	..
Lithuania	1.7	1.5	49.5	50.2
Luxembourg	0.2	0.3	39.7	45.9
Madagascar	7.5	13.4	49	48.9
Malawi	4.7	7.8	49.8	48.8
Malaysia	9.5	15.4	35.7	38.3
Maldives	0.1	0.3	34.4	20.9
Mali	4.1	7.1	44.2	43.8
Malta	0.2	0.2	30.5	40.8
Marshall Islands	..	..	..	..
Mauritania	0.7	1.2	30.1	31.5
Mauritius	0.5	0.6	34.2	39.3
Mexico	39	56.3	33.6	37.7
Micronesia, Fed. Sts.	..	..	..	..
Moldova	1.1	1	52.1	49.7
Monaco	..	..	..	..
Mongolia	0.9	1.3	45.5	45.8
Montenegro	0.2	0.3	43.7	43.6
Morocco	9.6	11.9	24.9	24.2
Mozambique	8.4	12.8	55.2	52.2
Myanmar	22.5	24.5	43.3	40.5
Namibia	0.6	0.9	46.2	49.3
Nepal	12.1	16.4	48.6	56
Netherlands	8.2	9.2	43.1	46.2
New Caledonia	0.1	0.1	45.7	45.7
New Zealand	1.9	2.7	45.2	47.6
Nicaragua	1.9	3	32.2	38.5
Niger	4.6	8.1	45.1	42.5
Nigeria	41.4	58.4	46	45.1
North Macedonia	0.8	1	38.7	39.2
Northern Mariana Islands	..	..	..	..
Norway	2.4	2.8	46.6	47
Oman	0.8	2.7	17.3	12.8
Pakistan	42.2	72	15.2	20.1
Palau	..	..	..	..
Panama	1.3	2	35.6	40.3
Papua New Guinea	2.5	2.6	48.6	48.5
Paraguay	2.3	3.5	37.3	40.4
Peru	11.7	18.3	41.4	45.8
Philippines	30	43.9	38.3	38.8
Poland	17.3	18.4	45.9	44.6
Portugal	5.3	5.3	45.4	49.1
Puerto Rico	1.3	1.1	39.6	42.8
Qatar	0.3	2.1	16.3	13.6
Romania	11.8	9.1	46.5	43.1
Russian Federation	73.4	73.8	48.3	48.6
Rwanda	3.8	6.2	51.1	51.7
Samoa	0	0.1	34.6	34.4
San Marino	..	..	..	..
Sao Tome and Principe	0	0.1	35.9	36.1
Saudi Arabia	6.4	14	14	15.9
Senegal	2.8	4.1	33.8	40.4
Serbia	3.4	3.2	43	44.5
Seychelles	..	..	..	..
Sierra Leone	1.6	2.6	49.8	49.8
Singapore	2.2	3.5	38.6	41.8
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	2.6	2.8	45.6	45.4
Slovenia	1	1	46	46.2
Solomon Islands	0.2	0.3	48	48.6
Somalia	2.3	3.8	22.1	23.2
South Africa	16.5	22.9	41.6	45.3
South Sudan	2.5	4.6	48.2	49.3
Spain	18.3	23.1	39.4	46.2
Sri Lanka	7.8	8.9	33.1	34.7
St. Kitts and Nevis	..	..	..	..
St. Lucia	0.1	0.1	42.7	45.2
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	0	0.1	37.8	40.5
Sudan	7.8	12.1	27.8	30.4
Suriname	0.2	0.2	33.9	38
Sweden	4.5	5.4	47.7	47.7
Switzerland	4	5	44.3	46.7
Syrian Arab Republic	4.9	5.1	19.9	16.5
Tajikistan	1.5	2.4	36	37.4
Tanzania	16.1	26.3	49.3	48.2
Thailand	35	38.9	45.9	45.6
Timor-Leste	0.4	0.5	45.5	45.6
Togo	2.2	3.6	51	49.8
Tonga	0	0	37.4	39.1
Trinidad and Tobago	0.6	0.7	38.4	42.4
Tunisia	3.2	4.1	24.7	26.4
Turkey	21.4	32.8	27.7	33
Turkmenistan	1.8	2.6	41.7	41
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	8.4	15.9	47.1	49.3
Ukraine	23.2	20.4	48.5	47.2
United Arab Emirates	1.8	6.8	12	17.5
United Kingdom	29.3	34.3	45.2	46.8
United States	146.7	165.5	45.6	46.1
Uruguay	1.6	1.7	42.9	45.5
Uzbekistan	9.6	15.3	41.7	40.9
Vanuatu	0.1	0.1	42.9	43.6
Venezuela, RB	10.1	12.6	37.7	38.9
Vietnam	41.8	56.9	48.3	47.8
Virgin Islands (U.S.)	0.1	0.1	48	51.4
West Bank and Gaza	0.6	1.2	15.1	19.9
Yemen, Rep.	4.1	6.5	22.2	7.9
Zambia	4.4	7.1	47.3	48.3
Zimbabwe	5.5	6.9	47.2	50.9
World	2760.4	3427.1	39.5	38.9
East Asia & Pacific	1116.9	1263.5	43.9	43.4
Europe & Central Asia	395.5	439.3	44.2	45.3
Latin America & Caribbean	221.9	309	38.5	41.7
Middle East & North Africa	94	150.1	19.4	20.3
North America	162.9	185.8	45.6	46.2
South Asia	510.8	664.7	25	22.4
Sub-Saharan Africa	258.4	414.7	46.1	46.5
Low income	155.5	253.3	43.9	43.8
Lower middle income	818	1092.7	31.6	30.3
Upper middle income	1248.8	1457.7	42.6	42.3
High income	538.1	623.4	42.9	44.2
