Country	exports (2010)	exports (2019)
Turks and Caicos Islands	79.9	..
Tuvalu	..	..
Uganda	22.8	22.5
Ukraine	64.6	48.8
United Arab Emirates	6.2	14
United Kingdom	68.4	75.8
United States	66.2	59.5
Uruguay	26	22.3
Uzbekistan	..	34.4
Vanuatu	11	..
Venezuela, RB	4.3	..
Vietnam	64.7	84.4
Virgin Islands (U.S.)	..	..
West Bank and Gaza	72.7	..
Yemen, Rep.	1.8	..
Zambia	6.7	14.4
Zimbabwe	21.1	17.6
World	66.4	68.7
East Asia & Pacific	79.9	82.3
Europe & Central Asia	70	72.7
Latin America & Caribbean	42.8	49.9
Middle East & North Africa	18.7	22.9
North America	62.2	57.2
South Asia	66.5	71.8
Sub-Saharan Africa	22.7	22.9
Low income	16.4	..
Lower middle income	45.3	52
Upper middle income	62.9	68.5
High income	69.7	76.6
