Country	Tons	Change %
Mauritania	13343.2	123.2
Mauritius	..	16.3
Mexico	663425	34.3
Micronesia, Fed. Sts.	..	21.9
Moldova	11350.6	-70.2
Monaco	..	..
Mongolia	24860.4	-57.2
Montenegro	..	..
Morocco	80436.7	114.3
Mozambique	380308.3	828.9
Myanmar	528416.2	-39.6
Namibia	38049.3	421.2
Nepal	40762.7	62.3
Netherlands	195873.8	-12.7
New Caledonia	..	11.5
New Zealand	78131	18.9
Nicaragua	16323	59
Niger	11460.9	65.4
Nigeria	301010.1	84.4
Northern Mariana Islands	12.5	144.1
Norway	63536.7	-5.8
Oman	62201.6	75.9
Pakistan	369734.6	114.3
Palau	..	..
Panama	16248.8	138.4
Papua New Guinea	11087.5	-62.4
Paraguay	50844	-20.3
Peru	74807	25.6
Philippines	167297.5	73.6
Poland	414606.9	-12.5
Portugal	72524.2	24.6
Puerto Rico	3293.3	12
Qatar	103155.1	369.3
Romania	121762.2	-50.8
Russian Federation	2803398.5	-22
Rwanda	6689.9	105.7
Samoa	356.1	24
San Marino	..	..
Sao Tome and Principe	195.5	100.6
Saudi Arabia	514967.3	..
Senegal	54185.4	391.9
Serbia	..	..
Seychelles	910.3	149.2
Sierra Leone	11810.9	22.7
Singapore	55910.3	..
Sint Maarten (Dutch part)	..	..
Slovak Republic	46301.3	-35.9
Slovenia	21074.7	5.5
Solomon Islands	4591.5	-22.2
Somalia	21916.3	22.1
South Africa	..	43.8
South Sudan	..	..
Spain	348257.3	18.7
Sri Lanka	30451.8	65.7
St. Kitts and Nevis	..	..
St. Lucia	598.8	115.3
St. Martin (French part)	..	..
St. Vincent and the Grenadines	319.2	127
Sudan	491982.3	430.9
Suriname	2657.9	-74.7
Eswatini	3478	53.8
Sweden	65767.8	-14.8
Switzerland	54108.1	-4.1
Syrian Arab Republic	77118.7	58.7
Tajikistan	15364.6	-29.1
Tanzania	235353.1	147.8
Thailand	440411.7	111.7
Timor-Leste	959.3	111.8
Togo	22931.9	71
Tonga	155.3	24.8
Trinidad and Tobago	61308.5	..
Tunisia	39721	87.2
Turkey	445640.1	98.5
Turkmenistan	92178.1	13.3
Turks and Caicos Islands	..	227.2
Tuvalu	5.2	30
Uganda	80725.1	118.8
Ukraine	404900.3	-57.5
United Arab Emirates	204888.7	182.6
United Kingdom	585779.8	-24.6
United States	6343840.5	3.4
Uruguay	34237.8	31.1
Uzbekistan	177223.8	4.6
Vanuatu	446.2	3
Venezuela, RB	281921.4	34.2
Vietnam	310664.1	213.6
Virgin Islands (U.S.)	61.5	35.8
West Bank and Gaza	..	..
Yemen, Rep.	40924.6	218.5
Zambia	320254.2	52.8
Zimbabwe	72057.8	105.3
World	53526302.8	40
East Asia & Pacific	18822910.6	104.7
Europe & Central Asia	9398206.5	-19.7
Latin America & Caribbean	5746908.3	70.7
Middle East & North Africa	1464934.5	44.6
North America	7371537.2	9.3
South Asia	3648610.4	108.2
Sub-Saharan Africa	4601155.1	35.5
Low income	3298088.6	33.9
Lower middle income	8227640.5	35
Upper middle income	23225385.3	70.9
High income	16303148.4	8.8
