Country	$ billions	$ per capita
Nicaragua	12.5	1,91
Niger	13.1	560
Nigeria	407.9	2,03
North Macedonia	12.3	5,91
Northern Mariana Islands	..	..
Norway	441.2	82,5
Oman	76.3	15,33
Pakistan	331.6	1,53
Palau	0.3	17,28
Panama	63.5	14,95
Papua New Guinea	24.4	2,78
Paraguay	38.8	5,51
Peru	219.2	6,74
Philippines	415.8	3,85
Poland	577.3	15,2
Portugal	237.0	23,08
Puerto Rico	70.2	21,97
Qatar	179.6	63,41
Romania	244.5	12,63
Russian Federation	1,651.6	11,26
Rwanda	10.4	820
Samoa	0.8	4,18
San Marino	..	..
Sao Tome and Principe	0.4	1,96
Saudi Arabia	782.9	22,85
Senegal	23.6	1,45
Serbia	48.8	7,02
Seychelles	1.6	16,87
Sierra Leone	3.9	500
Singapore	339.9	59,59
Sint Maarten (Dutch part)	..	..
Slovak Republic	105.3	19,32
Slovenia	53.8	25,75
Solomon Islands	1.4	2,05
Somalia	..	..
South Africa	353.5	6,04
South Sudan	..	..
Spain	1,430.8	30,39
Sri Lanka	87.7	4,02
St. Kitts and Nevis	1.0	19,03
St. Lucia	2.0	11,02
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0.8	7,46
Sudan	25.5	590
Suriname	3.2	5,54
Sweden	574.3	55,84
Switzerland	733.1	85,5
Syrian Arab Republic	..	..
Tajikistan	9.6	1,03
Tanzania	60.8	1,08
Thailand	505.2	7,26
Timor-Leste	2.4	1,89
Togo	5.6	690
Tonga	0.4	4,3
Trinidad and Tobago	23.6	16,89
Tunisia	39.3	3,36
Turkey	801.4	9,61
Turkmenistan	39.4	6,74
Turks and Caicos Islands	1.0	26,74
Tuvalu	0.1	5,62
Uganda	34.4	780
Ukraine	141.6	3,37
United Arab Emirates	424.8	43,47
United Kingdom	2,831.8	42,37
United States	21,584.4	65,76
Uruguay	56.2	16,23
Uzbekistan	60.4	1,8
Vanuatu	1.0	3,17
Venezuela, RB	..	..
Vietnam	244.9	2,54
Virgin Islands (U.S.)	..	..
West Bank and Gaza	17.0	3,71
Yemen, Rep.	26.7	940
Zambia	25.9	1,45
Zimbabwe	20.4	1,39
World	88,781.5	11,57
East Asia & Pacific	27,445.5	11,726
Europe & Central Asia	23,178.8	25,163
Latin America & Caribbean	5,672.6	8,775
Middle East & North Africa	3,650.8	7,994
North America	23,335.8	63,778
South Asia	3,705.7	2,019
Sub-Saharan Africa	1,716.0	1,55
Low income	529.3	792
Lower middle income	6,378.6	2,189
Upper middle income	25,914.0	9,074
High income	55,993.1	45,307
