Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)
Haiti	0.1	1.6
Honduras	3.4	3.9
Hungary	1.9	1.8
Iceland	3	2.7
India	6	6.8
Indonesia	3.9	5.5
Iran, Islamic Rep.	2.3	3
Iraq	10.3	5.6
Ireland	7.3	3.8
Isle of Man	6.4	4.5
Israel	5.5	3.5
Italy	1.6	-0.1
Jamaica	1.6	0.5
Japan	1.2	0.7
Jordan	5	4.6
Kazakhstan	-4.1	6
Kenya	2.2	5.1
Kiribati	1.7	2
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	6.8	3.8
Kosovo	..	4.4
Kuwait	4.9	3.4
Kyrgyz Republic	-4.1	4.4
Lao PDR	6.4	7.5
Latvia	5.5	2.8
Lebanon	8.4	4.1
Lesotho	4.1	3.5
Liberia	..	3.5
Libya	..	-0.9
Liechtenstein	..	..
Lithuania	4.8	3.4
Luxembourg	4.3	2.7
Madagascar	2	3
Malawi	3.7	5
Malaysia	7	5
Maldives	6.9	5.5
Mali	4	4.5
Malta	5.2	3.7
Marshall Islands	0.5	1
Mauritania	2.4	3.9
Mauritius	5.1	4
Mexico	3.2	2.1
Micronesia, Fed. Sts.	1.8	0.1
Moldova	-2.7	4.3
Monaco	1.9	3.1
Mongolia	1	7.7
Montenegro	..	3
Morocco	3	4.2
Mozambique	6.9	6.9
Myanmar	7	9.5
Namibia	3.3	4.2
Nepal	4.9	4.3
Netherlands	3.3	1.2
New Caledonia	..	..
New Zealand	3.4	2.5
Nicaragua	3.7	3.6
Niger	2	5.3
Nigeria	1.4	5.8
North Macedonia	-0.8	3
Northern Mariana Islands	..	-2.5
Norway	3.9	1.5
Oman	4.5	3.8
Pakistan	3.8	4.2
Palau	..	0.8
Panama	4.9	6.8
Papua New Guinea	3.8	5.1
Paraguay	3	4.2
Peru	4.5	5.4
Philippines	3.3	5.5
Poland	4.6	3.9
Portugal	2.8	0.3
Puerto Rico	4.3	-0.5
Qatar	..	10.3
Romania	-0.2	3.6
Russian Federation	-4.7	3.2
Rwanda	-0.4	7.6
Samoa	2.6	1.7
San Marino	..	-1
Sao Tome and Principe	..	5
Saudi Arabia	1.7	3.9
Senegal	3	4.4
Serbia	1.9	2.9
Seychelles	4.4	3.8
Sierra Leone	-3	5.7
Singapore	7.1	5.5
Sint Maarten (Dutch part)	..	..
Slovak Republic	4.5	3.8
Slovenia	2.7	1.8
Solomon Islands	3.4	4.4
Somalia	..	..
South Africa	2.1	2.7
South Sudan	..	..
Spain	2.7	1.2
Sri Lanka	5.3	5.7
St. Kitts and Nevis	4.7	1.9
St. Lucia	2.4	1.8
St. Martin (French part)	..	..
St. Vincent and the Grenadines	3.3	1.8
Sudan	5.5	4.5
Suriname	0.9	3.1
Sweden	2.3	2.1
Switzerland	1.2	1.9
Syrian Arab Republic	..	..
Tajikistan	-10.4	7.3
Tanzania	3	6.4
Thailand	4.1	3.8
Timor-Leste	..	4.3
Togo	3.5	4
Tonga	2.6	1.3
Trinidad and Tobago	5.6	2.6
Tunisia	4.7	3.1
Turkey	3.9	5.3
Turkmenistan	-3.2	9.3
Turks and Caicos Islands	..	..
Tuvalu	3.2	2
Uganda	7	6.5
Ukraine	-9.3	1.3
United Arab Emirates	4.8	3.9
United Kingdom	2.7	1.5
United States	3.6	1.8
Uruguay	3.9	3.9
Uzbekistan	-0.2	7.2
Vanuatu	3.4	3.1
Venezuela, RB	1.6	3.9
Vietnam	7.9	6.4
Virgin Islands (U.S.)	..	-2.3
West Bank and Gaza	7.5	5.2
Yemen, Rep.	5.6	-0.4
Zambia	1.6	6.5
Zimbabwe	2.5	1.5
World	2.8	2.8
East Asia & Pacific	3.7	4.6
Europe & Central Asia	1.6	1.7
Latin America & Caribbean	3.1	2.8
Middle East & North Africa	3.6	3.9
North America	3.5	1.9
South Asia	5.6	6.5
Sub-Saharan Africa	2.2	4.6
Low income	2.4	5
Lower middle income	3.2	5.7
Upper middle income	3.2	5.6
High income	2.7	1.7
