Country	Individuals using the Internet
Turkey	71
Turkmenistan	21.3
Turks and Caicos Islands	..
Tuvalu	49.3
Uganda	23.7
Ukraine	62.6
United Arab Emirates	98.5
United Kingdom	90.7
United States	88.5
Uruguay	74.4
Uzbekistan	55.2
Vanuatu	25.7
Venezuela, RB	64.3
Vietnam	69.8
Virgin Islands (U.S.)	64.4
West Bank and Gaza	64.4
Yemen, Rep.	26.7
Zambia	14.3
Zimbabwe	27.1
Arab World	63.2
Caribbean small states	59.5
Central Europe and the Baltics	76
Early-demographic dividend	33.8
East Asia & Pacific	54.9
East Asia & Pacific (excluding high income)	51
East Asia & Pacific (IDA & IBRD countries)	51
Euro area	83
Europe & Central Asia	78.9
Europe & Central Asia (excluding high income)	73.2
Europe & Central Asia (IDA & IBRD countries)	73.5
European Union	81.6
Fragile and conflict affected situations	18.9
Heavily indebted poor countries (HIPC)	18.8
High income	86.8
IBRD only	49.3
IDA & IBRD total	42.2
IDA blend	16.1
IDA only	19.9
IDA total	18.5
Late-demographic dividend	59.2
Latin America & Caribbean	65.9
Latin America & Caribbean (excluding high income)	65.8
Latin America & the Caribbean (IDA & IBRD countries)	65.9
Least developed countries: UN classification	17.5
Low & middle income	41.8
Low income	16.3
Lower middle income	31.9
Middle East & North Africa	65.1
Middle East & North Africa (excluding high income)	59.6
Middle East & North Africa (IDA & IBRD countries)	59.6
Middle income	44.5
North America	88.5
Not classified	..
OECD members	82.8
Other small states	50
Pacific island small states	32.7
Post-demographic dividend	85.7
Pre-demographic dividend	16.2
Small states	50.6
South Asia	20.1
South Asia (IDA & IBRD)	20.1
Sub-Saharan Africa	18.7
Sub-Saharan Africa (excluding high income)	18.7
Sub-Saharan Africa (IDA & IBRD countries)	18.7
Upper middle income	56.4
World	49
