Country	Factor (2018)	Factor (2019)
Gambia, The	0.3	0.3
Georgia	0.3	0.3
Germany	0.9	0.8
Ghana	0.4	0.4
Greece	0.7	0.6
Greenland	..	..
Grenada	0.6	0.6
Guam	..	..
Guatemala	0.5	0.5
Guinea	0.4	0.4
Guinea-Bissau	0.4	0.3
Guyana	0.5	0.5
Haiti	0.5	0.4
Honduras	0.4	0.4
Hungary	0.5	0.5
Iceland	1.3	1.1
India	0.3	0.3
Indonesia	0.3	0.3
Iran, Islamic Rep.	0.4	0.4
Iraq	0.5	0.5
Ireland	0.9	0.9
Isle of Man	..	..
Israel	1	1
Italy	0.8	0.8
Jamaica	0.5	0.5
Japan	0.9	0.9
Jordan	0.4	0.4
Kazakhstan	0.4	0.4
Kenya	0.4	0.4
Kiribati	0.7	0.7
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	0.8	0.7
Kosovo	0.4	0.4
Kuwait	0.7	0.6
Kyrgyz Republic	0.2	0.2
Lao PDR	0.3	0.3
Latvia	0.6	0.6
Lebanon	0.5	0.5
Lesotho	0.4	0.4
Liberia	0.4	0.4
Libya	0.5	0.5
Liechtenstein	..	..
Lithuania	0.5	0.5
Luxembourg	1	0.9
North Macedonia	0.4	0.3
Madagascar	0.3	0.3
Malawi	0.4	0.4
Malaysia	0.4	0.4
Maldives	0.5	0.5
Mali	0.4	0.4
Malta	0.7	0.6
Marshall Islands	1	1
Mauritania	0.3	0.3
Mauritius	0.5	0.5
Mexico	0.5	0.5
Micronesia, Fed. Sts.	1	1
Moldova	0.3	0.3
Monaco	..	..
Mongolia	0.3	0.3
Montenegro	0.4	0.4
Morocco	0.4	0.4
Mozambique	0.4	0.4
Myanmar	..	..
Namibia	0.5	0.5
Nepal	0.3	0.3
Netherlands	0.9	0.9
New Caledonia	..	..
New Zealand	1	1
Nicaragua	0.3	0.3
Niger	0.5	0.4
Nigeria	0.4	0.4
Northern Mariana Islands	..	..
Norway	1.2	1.1
Oman	0.6	0.5
Pakistan	0.3	0.3
Palau	0.9	0.9
Panama	0.5	0.5
Papua New Guinea	0.6	0.6
Paraguay	0.4	0.4
Peru	0.5	0.5
Philippines	0.4	0.4
Poland	0.5	0.5
Portugal	0.7	0.6
Puerto Rico	0.9	0.9
Qatar	0.7	0.7
Romania	0.4	0.4
Russian Federation	0.4	0.4
Rwanda	0.4	0.3
Samoa	0.6	0.6
San Marino	0.8	0.8
Sao Tome and Principe	0.5	0.5
Saudi Arabia	0.5	0.5
Senegal	0.4	0.4
Serbia	0.4	0.4
Seychelles	0.6	0.6
Sierra Leone	0.3	0.3
Singapore	0.7	0.6
Sint Maarten (Dutch part)	..	..
Slovak Republic	0.6	0.6
Slovenia	0.7	0.6
Solomon Islands	0.9	0.9
Somalia	..	..
South Africa	0.5	0.5
South Sudan	..	..
Spain	0.7	0.7
Sri Lanka	0.3	0.3
St. Kitts and Nevis	0.7	0.7
St. Lucia	0.7	0.7
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0.6	0.6
Sudan	0.1	0.1
Suriname	0.4	0.4
Eswatini	0.5	0.4
Sweden	1	0.9
Switzerland	1.2	1.2
Syrian Arab Republic	..	..
Tajikistan	0.2	0.2
Tanzania	0.4	0.4
Thailand	0.4	0.4
Timor-Leste	0.4	0.4
Togo	0.4	0.4
Tonga	0.7	0.7
Trinidad and Tobago	0.6	0.6
Tunisia	0.3	0.3
Turkey	0.3	0.3
Turkmenistan	0.5	0.5
Turks and Caicos Islands	1	1
Tuvalu	0.9	0.9
Uganda	0.4	0.3
Ukraine	0.2	0.3
United Arab Emirates	0.6	0.6
United Kingdom	0.9	0.9
United States	1	1
Uruguay	0.8	0.7
Uzbekistan	0.2	0.2
Vanuatu	1	0.9
Venezuela, RB	..	..
Vietnam	0.3	0.3
Virgin Islands (U.S.)	..	..
West Bank and Gaza	0.6	0.6
Yemen, Rep.	..	..
Zambia	0.4	0.4
Zimbabwe	0.5	0.5
