Country	70+ years old	50-69 years old	15-49 years old
Malaysia	5,292	587	7
Maldives	64	4	<1
Mali	1,514	135	5
Malta	320	11	<1
Marshall Islands	5	1	<1
Mauritania	523	35	1
Mauritius	416	38	<1
Mexico	31,048	1,781	37
Micronesia (country)	16	2	<1
Middle SDI	500,652	41,779	794
Moldova	1,263	73	5
Mongolia	262	27	2
Montenegro	339	15	<1
Morocco	8,66	671	12
Mozambique	2,001	246	10
Myanmar	13,012	1,409	24
Namibia	386	19	1
Nepal	3,816	356	6
Netherlands	14,447	382	7
New Zealand	2,894	79	2
Nicaragua	1,112	59	2
Niger	1,083	125	4
Nigeria	19,33	1,08	41
North Africa and Middle East	95,927	8,462	178
North America	274,3	9,231	299
North Korea	6,67	702	21
Northern Ireland	1,494	42	1
Northern Mariana Islands	10	1	<1
Norway	4,332	131	2
Oceania	804	174	7
Oman	373	29	1
Pakistan	20,625	1,922	44
Palestine	639	50	1
Panama	1,239	50	1
Papua New Guinea	377	117	5
Paraguay	1,45	104	2
Peru	9,782	406	7
Philippines	13,981	1,724	30
Poland	27,715	1,027	12
Portugal	10,537	253	5
Puerto Rico	2,915	119	2
Qatar	77	17	<1
Romania	13,921	527	8
Russia	80,69	3,62	58
Rwanda	1,01	112	3
Saint Lucia	76	3	<1
Saint Vincent and the Grenadines	32	2	<1
Samoa	46	3	<1
Sao Tome and Principe	23	1	<1
Saudi Arabia	3,043	314	13
Scotland	5,314	157	5
Senegal	1,822	134	4
Serbia	6	229	3
Seychelles	31	2	<1
Sierra Leone	704	50	2
Singapore	2	76	1
Slovakia	3	129	3
Slovenia	1	44	<1
Solomon Islands	54	8	<1
Somalia	841	185	6
South Africa	11	595	33
South Asia	204	19,793	393
South Korea	30	1,225	24
South Sudan	615	80	3
Southeast Asia	141	13,306	221
Southern Latin America	28	941	30
Southern Sub-Saharan Africa	13	771	43
Spain	51	1,064	22
Sri Lanka	5	504	7
Sub-Saharan Africa	87	7,566	289
Sudan	4	361	9
Suriname	158	11	<1
Swaziland	99	11	1
Sweden	9	198	3
Switzerland	7	171	3
Syria	3	296	8
Taiwan	12	722	11
Tajikistan	1	56	2
Tanzania	5	428	14
Thailand	29,438	2,084	28
Timor	169	22	<1
Togo	520	56	3
Tonga	29	2	<1
Trinidad and Tobago	439	30	<1
Tropical Latin America	70	5,267	75
Tunisia	3,729	208	3
Turkey	23	1,915	22
Turkmenistan	1	53	2
Uganda	2	212	7
Ukraine	33	1,423	32
United Arab Emirates	174	98	7
United Kingdom	62	1,542	38
United States	250	8,551	279
United States Virgin Islands	48	4	<1
Uruguay	2	63	3
Uzbekistan	4	271	7
Vanuatu	41	6	<1
Venezuela	6,435	453	10
Vietnam	26	1,85	33
Wales	3	80	2
Western Europe	432	9,943	193
Western Sub-Saharan Africa	38	2,705	108
World	2.37 million	138,261	2,85
Yemen	2	307	7
Zambia	1	126	5
Zimbabwe	1	104	4
