Country	Total	Internal resources	Agriculture (2015)	Industry
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	0	7.9	0	0
Sudan	26.9	673.3	96	0
Suriname	0.6	0.6	70	22
Sweden	2.7	1.6	4	58
Switzerland	2	5	8	32
Syrian Arab Republic	14.1	198.3	..	4
Tajikistan	11.2	17.6	91	4
Tanzania	..	..	..	..
Thailand	57.3	25.5	90	5
Timor-Leste	..	14.3	..	..
Togo	..	..	..	..
Tonga	..	..	..	..
Trinidad and Tobago	0.3	8.8	4	34
Tunisia	3.2	76.7	80	5
Turkey	42	18.5	81	..
Turkmenistan	..	1.6	..	..
Turks and Caicos Islands	..	..	..	..
Tuvalu	..	..	..	..
Uganda	0.6	1.6	41	8
Ukraine	14.9	27	30	48
United Arab Emirates	2.8	1866.7	..	2
United Kingdom	8	5.5	13	14
United States	418.7	14.9	36	51
Uruguay	..	..	..	..
Uzbekistan	49.2	300.9	..	3
Vanuatu	..	..	..	..
Venezuela, RB	22.6	2.8	74	4
Vietnam	81.9	22.8	..	4
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	0.4	50.2	..	7
Yemen, Rep.	3.5	168.6	..	2
Zambia	..	..	..	..
Zimbabwe	3.6	29.1	82	6
World	..	..	65	95
East Asia & Pacific	..	..	64	22
Europe & Central Asia	..	4.9	41	96
Latin America & Caribbean	..	..	76	0
Middle East & North Africa	..	..	52	3
North America	..	..	..	..
South Asia	..	44.8	..	..
Sub-Saharan Africa	..	..	73	2
Low income	..	..	73	2
Lower middle income	..	..	..	..
Upper middle income	..	..	66	0
High income	..	..	60	96
