Country	average annual (1990-2000)	average annual (2000-2019)
Madagascar	3.8	11.8
Malawi	..	27.1
Malaysia	12	2.3
Maldives	..	..
Mali	8.9	4.3
Malta	..	5.4
Marshall Islands	..	-0.5
Mauritania	-2.3	2.2
Mauritius	5.6	0.6
Mexico	9.6	5.2
Micronesia	..	..
Moldova	-6.5	7.3
Monaco	..	..
Mongolia	..	17
Montenegro	..	3.4
Morocco	3.4	5.7
Mozambique	15.7	6.6
Myanmar	..	11.3
Namibia	3.9	1.3
Nepal	..	5
Netherlands	7.1	4.2
New Caledonia	..	..
New Zealand	5.5	3.2
Nicaragua	11.3	5
Niger	4.5	1.4
Nigeria	2.1	3.6
North Macedonia	4.2	9.8
Northern Mariana Islands	..	12.7
Norway	5.5	1.5
Oman	..	2.8
Pakistan	1.7	0.5
Palau	..	2.6
Panama	2.1	0.9
Papua New Guinea	..	..
Paraguay	5.1	3
Peru	8.6	3.7
Philippines	8.2	8.6
Poland	10.6	7.2
Portugal	5.4	5.5
Puerto Rico	..	..
Qatar	..	2.6
Romania	8.5	9.2
Russian Federation	0.7	2.8
Rwanda	-2.9	15.5
Samoa	..	..
San Marino	..	..
Sao Tome and Principe	..	..
Saudi Arabia	..	1.8
Senegal	4.1	5.4
Serbia	19	8.9
Seychelles	..	..
Sierra Leone	-6.6	13.8
Singapore	11.2	4.1
Sint Maarten (Dutch part)	..	..
Slovak Republic	5.5	5.6
Slovenia	1.8	5.5
Solomon Islands	..	..
Somalia	..	..
South Africa	5.8	1.8
South Sudan	..	-33.5
Spain	10.4	4.2
Sri Lanka	7.5	3.9
St. Kitts and Nevis	..	..
St. Lucia	..	..
St. Martin (French part)	..	..
St. Vincent and the Grenadines	..	..
Sudan	15.4	-0.9
Suriname	..	..
Sweden	8.6	3.3
Switzerland	4.1	2.8
Syrian Arab Republic	..	..
Tajikistan	0.1	..
Tanzania	11.4	3.7
Thailand	10	2.6
Timor-Leste	..	-14.6
Togo	1.2	2.9
Tonga	..	..
Trinidad and Tobago	..	..
Tunisia	5.3	..
Turkey	11.2	6.4
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	13.8	8.3
Ukraine	-3.6	-5.3
United Arab Emirates	..	5.3
United Kingdom	6.2	2.9
United States	7.4	2.8
Uruguay	6.5	1.5
Uzbekistan	-3.7	4.4
Vanuatu	..	..
Venezuela	1	..
Vietnam	19.2	13.8
Virgin Islands (U.S.)	..	-23.4
West Bank and Gaza	12.7	6.3
Yemen	..	..
Zambia	10.1	..
Zimbabwe	3.9	6.6
World	6.6	3.6
East Asia & Pacific	7.9	3.8
Europe & Central Asia	6	3.9
Latin America & Caribbean	5.7	2.8
Middle East & North Africa	..	3.2
North America	7.8	2.9
South Asia	10.3	4
Sub-Saharan Africa	4.2	2.6
Low income	..	..
Lower middle income	5.5	4.8
Upper middle income	..	..
High income	7.1	3.5
