Country	average annual % growth ('90-'00)	average annual % growth ('00-'19)
Ireland	12.5	4.4
Isle of Man	..	..
Israel	4.3	2.4
Italy	0.9	-1
Jamaica	-0.8	-0.8
Japan	0.4	0.5
Jordan	4.4	4.7
Kazakhstan	-8.6	5.4
Kenya	1.2	5.2
Kiribati	6.9	4.7
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	6.3	3.9
Kosovo	..	5.7
Kuwait	..	..
Kyrgyz Republic	-10.3	4.3
Lao PDR	..	12.1
Latvia	5.5	1.1
Lebanon	4.9	3.5
Lesotho	8	1.9
Liberia	..	19.7
Libya	..	..
Liechtenstein	..	..
Lithuania	4.8	3.9
Luxembourg	4	0.3
Madagascar	0.5	4.9
Malawi	2	5.9
Malaysia	7.8	2.9
Maldives	12.5	7.5
Mali	7	2.4
Malta	..	..
Marshall Islands	..	0.1
Mauritania	1.1	1.4
Mauritius	5.3	1.7
Mexico	3.1	0.9
Micronesia, Fed. Sts.	-0.8	-1.5
Moldova	-7.1	2.1
Monaco	..	..
Mongolia	1.5	6.8
Montenegro	..	2.2
Morocco	2.8	3.3
Mozambique	11	7.8
Myanmar	..	17.5
Namibia	1.9	3.7
Nepal	7.1	3.1
Netherlands	1.9	0.6
New Caledonia	..	..
New Zealand	2.7	1.4
Nicaragua	2.4	4
Niger	0.5	5.5
Nigeria	-0.6	1.8
North Macedonia	-1.6	4.3
Northern Mariana Islands	..	..
Norway	3.9	-0.2
Oman	..	..
Pakistan	4.1	4.4
Palau	..	-3.9
Panama	6.1	9.7
Papua New Guinea	..	9.1
Paraguay	2.6	3.2
Peru	4.7	4.7
Philippines	3.2	5.3
Poland	1.9	4.8
Portugal	4.6	-1
Puerto Rico	..	..
Qatar	..	..
Romania	-2.9	3.2
Russian Federation	-7.1	2.5
Rwanda	-2	9
Samoa	0.7	1.1
San Marino	..	..
Sao Tome and Principe	..	5
Saudi Arabia	1.4	2.7
Senegal	3.8	5.1
Serbia	3.1	2
Seychelles	11.6	1
Sierra Leone	-3.3	7.4
Singapore	7.6	5.2
Sint Maarten (Dutch part)	..	..
Slovak Republic	4.9	5.4
Slovenia	4.8	1.6
Solomon Islands	..	..
Somalia	..	..
South Africa	0.9	1.3
South Sudan	..	..
Spain	4.3	-1.1
Sri Lanka	6.7	5.8
St. Kitts and Nevis	7	-0.4
St. Lucia	3.2	2.8
St. Martin (French part)	..	..
St. Vincent and the Grenadines	2.5	0.6
Sudan	8.9	5.3
Suriname	0.2	2.7
Sweden	4	1
Switzerland	0.3	1.9
Syrian Arab Republic	..	..
Tajikistan	-11.4	7
Tanzania	3.1	8.8
Thailand	2	3.5
Timor-Leste	..	5.1
Togo	1.8	5.4
Tonga	2.6	1.9
Trinidad and Tobago	3	2.9
Tunisia	4.4	1.3
Turkey	4.8	6.4
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	3.1	1.6
Uganda	12.3	7.7
Ukraine	-12.6	-0.9
United Arab Emirates	..	3
United Kingdom	1.2	0
United States	..	0.7
Uruguay	1.5	2.9
Uzbekistan	-3.4	8.6
Vanuatu	1.3	2.6
Venezuela, RB	1.2	1.7
Vietnam	11.9	5.9
Virgin Islands (U.S.)	..	..
West Bank and Gaza	1.6	5.5
Yemen, Rep.	5.2	-2.1
Zambia	-2.2	7.3
Zimbabwe	1.4	2.4
World	2.9	2.8
East Asia & Pacific	6.1	5.4
Europe & Central Asia	0.5	1.1
Latin America & Caribbean	2.5	1.8
Middle East & North Africa	3.9	2.8
North America	..	0.8
South Asia	6	6.8
Sub-Saharan Africa	0.6	3.1
Low income	0.8	4.6
Lower middle income	2.5	5.3
Upper middle income	3.3	5.8
High income	..	1
