Country	Growth % (2017-18)	Growth % (2018-19)
Iran, Islamic Rep.	..	..
Iraq	15.4	0
Ireland	0.8	1.5
Isle of Man	..	..
Israel	1.2	2.2
Italy	0.9	0.9
Jamaica	4.8	7.6
Japan	-0.1	0.6
Jordan	1.8	1.6
Kazakhstan	9.2	6.7
Kenya	2.4	4
Kiribati	5.3	4
Korea, Dem. Peopleâ€™s Rep.	..	..
Korea, Rep.	0.5	-0.9
Kosovo	1	1
Kuwait	14.6	-4.1
Kyrgyz Republic	3.4	-0.8
Lao PDR	1.9	2.4
Latvia	4	2.6
Lebanon	5.5	2.9
Lesotho	6.9	2.7
Liberia	-1.9	-3.7
Libya	18.1	-1.1
Liechtenstein	..	..
Lithuania	3.3	3
Luxembourg	2.5	3.4
North Macedonia	3.6	2.4
Madagascar	7.6	5.3
Malawi	6.7	8.2
Malaysia	0.7	0.1
Maldives	5.3	2.2
Mali	2.1	2.4
Malta	2.1	2.3
Marshall Islands	0.3	..
Mauritania	1.8	4.6
Mauritius	1.4	0.9
Mexico	5	3.3
Micronesia, Fed. Sts.	9.4	..
Moldova	3.2	5.5
Monaco	0.8	..
Mongolia	8.4	8.3
Montenegro	3.2	1.6
Morocco	1.1	0.8
Mozambique	2.1	3
Myanmar	6.3	7.6
Namibia	4.3	1.5
Nepal	6.7	6.2
Netherlands	2.2	3
New Caledonia	..	..
New Zealand	0.2	2.3
Nicaragua	3.6	4.7
Niger	2.6	0.5
Nigeria	10.2	10.4
Northern Mariana Islands	2.8	..
Norway	5.8	-0.6
Oman	10.3	-3.4
Pakistan	2.5	8.6
Palau	-2.5	..
Panama	0.9	-0.4
Papua New Guinea	7.1	3.9
Paraguay	2.2	2.9
Peru	2	1.6
Philippines	3.7	0.8
Poland	1.2	2.9
Portugal	1.6	1.7
Puerto Rico	2.4	2.7
Qatar	13	-4
Romania	6.3	6.9
Russian Federation	11.1	3.8
Rwanda	-0.7	0.4
Samoa	2	2.2
San Marino	1.3	..
Sao Tome and Principe	4.7	4.6
Saudi Arabia	11.5	0.5
Senegal	-0.5	1.7
Serbia	2.1	2.5
Seychelles	2.2	3.2
Sierra Leone	13.4	3.9
Singapore	3.1	0.1
Sint Maarten (Dutch part)	..	..
Slovak Republic	2	2.6
Slovenia	2.2	2.4
Solomon Islands	3.5	2.2
Somalia	..	..
South Africa	3.9	4
South Sudan	..	..
Spain	1.1	1.6
Sri Lanka	4.3	2.2
St. Kitts and Nevis	-1.5	1.4
St. Lucia	0.7	1
St. Martin (French part)	..	..
St. Vincent and the Grenadines	0.2	1.4
Sudan	23.9	17.8
Suriname	4.6	16.1
Eswatini	2.8	1.8
Sweden	2.4	2.8
Switzerland	0.2	0.4
Syrian Arab Republic	..	..
Tajikistan	4.8	5
Tanzania	4.8	4.6
Thailand	1.5	0.7
Timor-Leste	-1.8	3.2
Togo	1.3	2.1
Tonga	3.6	..
Trinidad and Tobago	6.1	1
Tunisia	6.5	7
Turkey	16.4	13.9
Turkmenistan	1.2	..
Turks and Caicos Islands	0.9	..
Tuvalu	4.9	8.7
Uganda	4.1	0.6
Ukraine	15.4	8.1
United Arab Emirates	8.2	-1.9
United Kingdom	2.1	1.9
United States	2.4	1.7
Uruguay	5.6	7.7
Uzbekistan	27.5	19.2
Vanuatu	2.3	2
Venezuela, RB	..	..
Vietnam	3.4	1.8
Virgin Islands (U.S.)	..	..
West Bank and Gaza	-0.1	..
Yemen, Rep.	46.9	..
Zambia	10.2	3.5
Zimbabwe	5.2	-4
