Country	Goveernment % (2010)	Goveernment % (2018)
Europe & Central Asia	..	..
Latin America & Caribbean	2.6	0.1
Middle East & North Africa	..	..
North America	1.6	1.2
South Asia	1	0.8
Sub-Saharan Africa	..	1.8
Low income	..	..
Lower middle income	1.2	1.3
Upper middle income	..	..
High income	..	..
