Country	Forest Area (2000)	Forest Area (2016)	Permanent cropland (2000)	Permanent cropland (2016)	Arable land (2000)	Arable land (2016)
Chad	5	3.8	0	0	2.9	3.9
Channel Islands	4	4	..	..	19.7	19.7
Chile	21.3	24.3	0.5	0.6	2.4	1.7
China	2020.9	2020.4	2020.2	2020.7	2020.6	2020.7
Hong Kong SAR, China	..	..	1	1	4.8	2.9
Macao SAR, China	..	..	..	..	..	..
Colombia	55.7	52.7	2020.6	2020.7	2020.5	2020.5
Comoros	24.2	19.7	28.5	28.5	34.9	34.9
Congo, Dem. Rep.	69.4	67.2	0.4	0.4	3	3.1
Congo, Rep.	66	65.4	0.1	0.2	1.4	1.6
Costa Rica	46.5	54.6	5.5	6.1	4.1	4.8
Cote d'Ivoire	32.5	32.7	11.9	14.2	8.8	9.1
Croatia	33.7	34.4	1.2	1.3	15.1	15.6
Cuba	22.7	31.3	5.1	4.6	32.6	28.7
Curacao	..	..	..	..	..	..
Cyprus	18.6	18.7	4.5	2.8	10.6	9.2
Czech Republic	34.1	34.6	1	0.6	42	32.3
Denmark	13.8	14.7	0.2	0.1	53.8	56.6
Djibouti	0.2	0.2	..	..	0	0.1
Dominica	63.1	57.4	18.7	22.7	6.7	8
Dominican Republic	30.8	41.7	8.7	7.3	18.6	16.6
Ecuador	55.3	50.2	5.5	5.8	6.5	3.9
Egypt, Arab Rep.	0.1	0.1	0.5	1	2.8	2.8
El Salvador	16	12.6	12.1	10.1	31.4	35.6
Equatorial Guinea	62.1	55.5	3.6	2.1	4.6	4.3
Eritrea	15.6	14.9	0	0	5.5	6.8
Estonia	52.9	51.3	0.3	0.1	19.9	16
Eswatini	30.1	34.3	0.8	0.9	10.3	10.2
Ethiopia	13.7	12.5	0.7	1.1	10	15.1
Faroe Islands	0.1	0.1	..	..	2.1	2.1
Fiji	53.7	55.9	4.5	4.7	9.3	9
Finland	73.7	73.1	0	0	7.2	7.4
France	27.9	31.2	2.1	1.8	33.5	33.5
French Polynesia	28.7	42.3	5.5	6.3	0.8	0.7
Gabon	85.4	90	0.7	0.7	1.3	1.3
Gambia, The	45.6	48.4	0.5	0.5	27.7	43.5
Georgia	39.7	40.6	3.9	1.6	11.4	5
Germany	32.5	32.7	0.6	0.6	33.8	33.7
Ghana	39.2	41.2	9.4	11.9	17.4	20.7
Greece	27.9	31.7	8.6	8.6	21.3	16.6
Greenland	0	0	..	..	0	0
Grenada	50	50	29.4	11.8	2.9	8.8
Guam	46.3	46.3	18.5	16.7	3.7	1.9
Guatemala	39.3	32.7	5.3	11	13	8
Guinea	28.1	25.8	2.6	2.8	8.7	12.6
Guinea-Bissau	75.4	69.8	8.8	8.9	10.7	10.7
Guyana	84.4	83.9	0.1	0.3	2.3	2.1
Haiti	4	3.5	10.9	10.2	32.7	38.8
Honduras	57.1	40	3.2	4.1	9.5	9.1
Hungary	21.4	22.9	2.2	1.9	51.4	47.8
Iceland	0.3	0.5	..	..	1.3	1.2
India	22	2020.8	2020.1	2020.4	54.1	52.6
Indonesia	54.9	49.9	2020.6	2020.4	2020.3	13
Iran, Islamic Rep.	2020.7	2020.6	0.8	2020.1	2020.2	9
Iraq	1.9	1.9	0.5	0.7	9.4	11.5
Ireland	9.2	11	0	0	15.6	6.5
Isle of Man	6.1	6.1	..	..	31.8	41.2
Israel	7.1	7.7	4	4.5	15.6	13.6
Italy	28.5	31.8	9.5	8.3	28.8	22.4
Jamaica	31.5	30.9	10.2	8.8	12.9	11.1
Japan	68.2	68.5	1	0.8	12.3	11.5
Jordan	1.1	1.1	1	1	2.2	2.7
Kazakhstan	1.2	1.2	0.1	0	11.2	10.9
Kenya	6.2	7.8	0.8	0.9	8.6	10.2
Kiribati	15	15	39.5	39.5	2.5	2.5
Korea, Dem. Peopleâ€™s Rep.	57.6	40.7	1.7	1.9	19.1	19.5
Korea, Rep.	65.2	63.4	2.1	2.3	17.8	14.6
Kosovo	..	..	..	..	..	..
Kuwait	0.3	0.4	0.1	0.3	0.6	0.4
Kyrgyz Republic	4.5	3.3	0.3	0.4	7.1	6.7
Lao PDR	71.6	82.1	0.4	0.7	4	6.6
Latvia	52.1	54	0.2	0.1	15.6	20.7
Lebanon	12.8	13.4	13.8	12.3	12.6	12.9
Lesotho	1.4	1.6	0.1	0.2	10.9	11.6
Liberia	48.1	43.1	2.2	2.1	4.2	5.2
Libya	0.1	0.1	0.2	0.2	1	1
Liechtenstein	43.1	43.1	..	..	25	13.5
Lithuania	32.2	34.8	0.7	0.6	45.9	34.2
Luxembourg	35.7	35.7	0.4	0.6	25.5	25.5
North Macedonia	37.7	39.6	1.7	1.6	21.8	16.5
Madagascar	22.4	21.4	1	1.1	5	6
Malawi	37.8	33.2	1.4	1.5	29.2	40.3
Malaysia	65.7	67.6	17.6	22.7	2.6	2.7
Maldives	3.3	3.3	16.7	10	10	13
Mali	4.8	3.8	0.1	0.1	3.7	5.3
Malta	1.1	1.1	3.1	4.1	25	28.3
Marshall Islands	70.2	70.2	44.4	36.1	5.6	11.1
Mauritania	0.3	0.2	0	0	0.5	0.4
Mauritius	20.6	19	2	2	44.3	36.9
Mexico	34.9	33.9	1.3	1.4	11.8	11.6
Micronesia, Fed. Sts.	91.2	91.9	24.3	24.3	3.6	2.9
Moldova	9.9	12.6	10.2	8.2	55.6	55.6
Monaco	..	..	..	..	..	..
Mongolia	7.5	8	0	0	0.8	0.4
Montenegro	46.5	61.5	..	0.4	..	0.7
Morocco	11.2	12.6	2	3.3	19.6	18.2
Mozambique	52.4	48	0.3	0.4	5	7.2
Myanmar	53.4	43.6	0.9	2.4	15.2	16.7
Namibia	9.8	8.3	0	0	1	1
Nepal	27.2	25.4	0.8	1.5	16.4	14.7
Netherlands	10.7	11.2	1	1.1	27	30.5
New Caledonia	45.9	45.9	0.2	0.2	0.4	0.3
New Zealand	38.5	38.6	0.2	0.3	5.7	2.2
Nicaragua	31.7	25.9	1.9	2.4	15.9	12.5
Niger	1	0.9	0	0.1	11	13.3
Nigeria	14.4	7.2	6.6	7.1	38.4	37.3
Northern Mariana Islands	69.5	63.8	2.2	2.2	2.2	2.2
Norway	33.2	33.2	0	0	2.4	2.2
Oman	0	0	0.1	0.1	0.1	0.2
Pakistan	2.7	1.9	0.9	1	40.3	40.3
Palau	86.1	87.6	4.3	4.3	2.2	2.2
Panama	65.5	61.9	2	2.5	7.4	7.6
Papua New Guinea	74.2	74.1	1.4	1.5	0.5	0.7
Paraguay	48.7	37.7	0.2	0.2	7.6	12.1
Peru	59.5	57.7	0.7	1.1	3.4	2.7
Philippines	23.6	27.8	15.8	17.9	16.9	18.7
Poland	29.6	30.9	1.1	1.3	45.7	35.3
Portugal	36.5	34.6	8.6	8.3	19.1	10.7
Puerto Rico	50.7	56.3	4.7	5.6	6.7	6.9
Qatar	0	0	0.3	0.2	1.1	1.2
Romania	27.7	30.1	2.3	1.8	40.8	37.3
Russian Federation	49.4	49.8	0.1	0.1	7.6	7.5
Rwanda	13.9	19.7	10.1	10.1	36.5	46.7
Samoa	60.4	60.4	11	7.8	4.9	2.8
San Marino	0	0	..	..	16.7	16.7
Sao Tome and Principe	58.3	55.8	43.8	40.6	6.3	9.1
Saudi Arabia	0.5	0.5	0.1	0.1	2020.7	2020.6
Senegal	46.2	42.8	0.3	0.4	17.3	16.6
Serbia	28.3	31.1	..	2.1	..	29.7
Seychelles	88.4	88.4	6.5	3	2.2	0.3
Sierra Leone	40.5	43.1	1.7	2.3	6.8	21.9
Singapore	24.4	23.1	0.3	0.1	1.5	0.8
Sint Maarten (Dutch part)	..	..	..	..	..	..
Slovak Republic	39.9	40.4	1	0.4	31.8	28
Slovenia	61.2	62	1.5	2.7	8.6	9.1
Solomon Islands	81	77.9	2	2.9	0.5	0.7
Somalia	12	10	0	0	1.7	1.8
South Africa	2020.6	2020.6	0.3	0.3	2020.4	2020.3
South Sudan	..	..	..	..	..	..
Spain	34	36.9	9.8	9.4	26.9	24.7
Sri Lanka	35	32.9	15.9	15.9	14.6	20.7
St. Kitts and Nevis	42.3	42.3	1.9	0.4	26.9	19.2
St. Lucia	34.8	33.2	17.9	11.5	3.3	4.9
St. Martin (French part)	18.4	18.4	..	..	..	..
St. Vincent and the Grenadines	66.7	69.2	7.7	7.7	12.8	12.8
Sudan	..	..	..	..	..	..
Suriname	98.7	98.3	0.1	0	0.4	0.4
Sweden	68.6	68.9	0	0	6.6	6.3
Switzerland	30.2	31.8	0.6	0.6	10.3	10.1
Syrian Arab Republic	2.4	2.7	4.4	5.8	24.7	25.4
Tajikistan	2.9	3	0.7	1	5.6	5.3
Tanzania	58.6	51.6	1.6	2.4	9.7	15.2
Thailand	33.3	32.2	6.6	8.8	30.6	32.9
Timor-Leste	57.4	45.4	4.5	5	8.1	10.4
Togo	8.9	3.1	2.4	3.1	46	48.7
Tonga	12.5	12.5	15.3	15.3	20.8	25
Trinidad and Tobago	45.5	46	4.9	4.3	6.8	4.9
Tunisia	5.4	6.8	13.7	15	18.4	18.7
Turkey	13.2	15.4	3.3	4.3	31	26.5
Turkmenistan	8.8	8.8	0.1	0.1	4.1	4.1
Turks and Caicos Islands	36.2	36.2	..	..	1.1	1.1
Tuvalu	33.3	33.3	66.7	60	..	..
Uganda	19.4	9.7	10.5	11	26.5	34.4
Ukraine	16.4	16.7	1.6	1.5	56.2	56.6
United Arab Emirates	4.4	4.6	2.6	0.6	0.8	0.6
United Kingdom	12.2	13.1	0.2	0.2	24.3	24.9
United States	33.1	33.9	0.3	0.3	2020.1	2020.6
Uruguay	7.8	10.7	0.2	0.2	7.8	13.8
Uzbekistan	7.6	7.5	0.8	0.9	10.5	10.3
Vanuatu	36.1	36.1	9.3	10.3	1.6	1.6
Venezuela, RB	55.7	52.7	0.9	0.8	2.9	3.1
Vietnam	37.7	48.1	6.2	14.6	19.9	22.6
Virgin Islands (U.S.)	58.5	50	2.9	2.9	5.7	2.9
West Bank and Gaza	1.5	1.5	19.9	16	16.9	8.4
Yemen, Rep.	1	1	0.2	0.6	2.9	2.4
Zambia	68.8	65.2	0	0	3.8	5.1
Zimbabwe	48.8	35.5	0.3	0.3	9.3	10.3
World	31.2	30.7	1.1	1.3	10.8	11.1
East Asia & Pacific	25.7	26.4	1.9	2.7	9.9	10.1
Europe & Central Asia	37.5	38.1	0.8	0.7	12.8	12.4
Latin America & Caribbean	48.9	46.2	1	1	7	8.7
Middle East & North Africa	1.8	2.1	0.7	0.9	4.8	4.7
North America	35.7	36	0.5	0.4	12.1	10.7
South Asia	2020.6	2020.5	2020.4	2020.4	44.3	43.3
Sub-Saharan Africa	29.8	27.6	1.1	1.3	7.6	9
Low income	24.9	23.2	0.7	0.8	6.9	8.7
Lower middle income	26.4	25	1.9	2.6	17.2	17.6
Upper middle income	36.8	36.5	1.1	1.4	9	9.6
High income	28.6	29	0.7	0.6	11.3	10.3
