Country	Total (1990)	Total (2014)	Carbon intensity (1990)	Carbon intensity (2014)	per capita (1990)	per capita (2014)	Kg-GDP (1990)	Kg-GDP (2014)
Finland	51745	47231	1.8	1.4	10.4	8.6	0.3	0.2
France	375691	303276	1.7	1.2	6.5	4.6	0.2	0.1
French Polynesia	436	737	..	..	2.2	2.7	..	..
Gabon	4499	5324	3.8	1	4.7	2.8	0.3	0.2
Gambia, The	198	513	3.2	..	0.2	0.3	0.1	0.1
Georgia	15335	8980	1.8	2	3.1	2.4	0.7	0.2
Germany	929973	720364	2.7	2.4	11.6	8.9	0.3	0.2
Ghana	3854	15266	0.7	1.7	0.3	0.6	0.1	0.1
Greece	74279	67528	3.5	2.9	7.3	6.2	0.3	0.2
Greenland	348	506	..	..	6.3	9	..	..
Grenada	106	235	2.5	..	1.1	2.2	0.1	0.2
Guam	..	..	..	..	..	..	..	..
Guatemala	5086	13953	1.2	1.1	0.6	0.9	0.1	0.1
Guinea	1005	2384	..	..	0.2	0.2	0.1	0.1
Guinea-Bissau	172	271	2.3	..	0.2	0.2	0.1	0.1
Guyana	1140	2010	3	..	1.5	2.6	0.4	0.3
Haiti	1008	2809	0.6	0.7	0.1	0.3	0.1	0.2
Honduras	2593	9509	1.1	1.8	0.5	1.1	0.1	0.2
Hungary	69647	41342	2.4	1.8	6.7	4.2	0.4	0.2
Iceland	1999	1984	0.9	0.3	7.8	6.1	0.2	0.1
India	619155	2232730	2	2.7	0.7	1.7	0.4	0.3
Indonesia	149566	369945	1.5	1.6	0.8	1.5	0.2	0.1
Iran, Islamic Rep.	210464	652392	3	2.8	3.7	8.4	0.4	0.6
Iraq	49908	166628	2.5	3.4	2.9	4.8	0.4	0.5
Ireland	31217	34004	3.1	2.7	8.9	7.3	0.3	0.1
Isle of Man	..	..	..	..	..	..	..	..
Israel	36296	62882	3.2	2.8	7.8	7.7	0.3	0.2
Italy	417550	320411	2.8	2.2	7.4	5.3	0.2	0.1
Jamaica	7532	7294	2.7	2.6	3.1	2.5	0.4	0.3
Japan	1092396	1206674	2.5	2.7	8.8	9.5	0.3	0.2
Jordan	10634	26571	3.2	3.2	3	3	0.4	0.3
Kazakhstan	262044	248395	3.3	3.2	15.9	14.4	1.4	0.6
Kenya	5823	14437	0.5	0.6	0.2	0.3	0.1	0.1
Kiribati	22	59	3.1	..	0.3	0.5	0.1	0.3
Korea, Dem. Peopleâ€™s Rep.	123956	31349	3.7	2.6	6.1	1.3	..	..
Korea, Rep.	246943	587156	2.7	2.2	5.8	11.6	0.5	0.3
Kosovo	..	7261	..	3.3	..	4	..	0.4
Kuwait	37909	88371	4.2	2.6	18.1	23.9	0.4	0.4
Kyrgyz Republic	11133	10290	2.2	2.7	2.5	1.8	0.6	0.4
Lao PDR	513	4554	..	..	0.1	0.7	0.1	0.1
Latvia	14144	6927	2.3	1.6	5.4	3.5	..	0.1
Lebanon	8214	24070	4.2	3.2	2.9	3.8	0.4	0.2
Lesotho	1474	2431	..	..	0.9	1.2	0.7	0.4
Liberia	473	1225	..	..	0.2	0.3	..	0.2
Libya	36780	59490	3.3	3.3	8.3	9.4	..	0.8
Liechtenstein	..	48	..	..	..	1.3	..	..
Lithuania	22149	12838	2	1.8	6	4.4	..	0.1
Luxembourg	10004	9663	3	2.5	26.2	17.4	0.4	0.2
North Macedonia	11038	7539	4.1	2.9	5.6	3.6	0.6	0.3
Madagascar	935	3300	..	..	0.1	0.1	0	0.1
Malawi	748	1052	..	..	0.1	0.1	0.1	0.1
Malaysia	56593	242671	2.6	2.7	3.1	8.1	0.3	0.3
Maldives	172	1316	3.4	..	0.8	3	..	0.2
Mali	425	2981	..	..	0.1	0.2	0	0.1
Malta	2248	2347	3.2	3	6.3	5.4	0.4	0.2
Marshall Islands	48	143	..	..	1	2.5	0.3	0.7
Mauritania	906	2934	..	..	0.4	0.7	0.1	0.1
Mauritius	1463	4210	2.2	3	1.4	3.3	0.2	0.2
Mexico	318428	481499	2.6	2.6	3.8	4	0.3	0.2
Micronesia, Fed. Sts.	99	136	..	..	1	1.3	0.3	0.4
Moldova	20869	4928	3	1.5	7	1.7	..	0.2
Monaco	..	..	..	..	..	..	..	..
Mongolia	9989	29633	2.9	5.5	4.6	10.1	0.9	0.9
Montenegro	..	2109	..	2.2	..	3.4	..	0.2
Morocco	23080	59882	3	3.2	0.9	1.8	0.2	0.2
Mozambique	1023	8434	0.2	0.7	0.1	0.3	0.2	0.3
Myanmar	4276	16347	0.4	0.8	0.1	0.3	0.2	0.1
Namibia	40	3740	1.5	2.1	0	1.6	0	0.2
Nepal	777	8031	0.1	0.7	0	0.3	0	0.1
Netherlands	163336	168884	2.5	2.3	10.9	10	0.3	0.2
New Caledonia	1584	4888	..	..	9.3	18.2	..	..
New Zealand	23546	34657	1.8	1.7	7.1	7.7	0.3	0.2
Nicaragua	2549	4679	1.3	1.3	0.6	0.8	0.2	0.1
Niger	605	2054	..	0.7	0.1	0.1	0.1	0.1
Nigeria	39197	130131	0.6	1	0.4	0.7	0.1	0.1
Northern Mariana Islands	..	..	..	..	..	..	..	..
Norway	31511	47924	1.5	1.7	7.4	9.3	0.2	0.2
Oman	11313	61221	2.7	2.5	6.2	15.2	0.2	0.5
Pakistan	68566	182415	1.6	2	0.6	0.9	0.2	0.2
Palau	235	224	3.2	..	15.6	12.7	..	0.8
Panama	2769	11107	1.9	2.6	1.1	2.8	0.1	0.1
Papua New Guinea	2156	5875	..	..	0.5	0.7	0.2	0.2
Paraguay	2156	5702	0.7	1.1	0.5	0.9	0.1	0.1
Peru	21071	51331	2.2	2.2	1	1.7	0.2	0.1
Philippines	41763	104517	1.5	2.2	0.7	1	0.2	0.1
Poland	368423	285938	3.6	3	9.7	7.5	0.9	0.3
Portugal	42321	44657	2.5	2.1	4.2	4.3	0.2	0.1
Puerto Rico	..	..	..	..	..	..	..	..
Qatar	11775	107032	1.8	2.4	24.7	43.5	..	0.4
Romania	174087	69490	2.8	2.2	7.5	3.5	0.6	0.2
Russian Federation	3610209	1736985	4.1	2.4	24.4	12.1	1.1	0.5
Rwanda	528	847	..	..	0.1	0.1	0.1	0
Samoa	103	209	2.4	..	0.6	1.1	0.2	0.2
San Marino	..	..	..	..	..	..	..	..
Sao Tome and Principe	48	114	2	..	0.4	0.6	..	0.2
Saudi Arabia	185803	601047	3.2	2.8	11.4	19.4	0.3	0.4
Senegal	3183	9377	1.9	2.4	0.4	0.7	0.2	0.2
Serbia	..	37352	..	2.8	..	5.2	..	0.3
Seychelles	150	488	4	..	2.2	5.3	0.1	0.2
Sierra Leone	488	1309	..	..	0.1	0.2	0.1	0.1
Singapore	44495	56644	3.9	2	14.6	10.4	0.4	0.1
Sint Maarten (Dutch part)	..	733	..	..	..	19.5	..	0.5
Slovak Republic	44184	30678	2.4	1.9	8.3	5.7	0.7	0.2
Slovenia	12479	12482	2.4	1.9	6.3	6.1	0.3	0.2
Solomon Islands	147	194	2.8	..	0.5	0.3	0.2	0.1
Somalia	733	631	..	..	0.1	0	..	..
South Africa	313305	484495	3.4	3.3	8.5	8.9	0.8	0.7
South Sudan	..	1536	..	2.2	..	0.1	..	..
Spain	218597	233977	2.4	2	5.6	5	0.2	0.1
Sri Lanka	3869	17924	0.7	1.7	0.2	0.9	0.1	0.1
St. Kitts and Nevis	106	231	4.9	..	2.6	4.5	0.2	0.2
St. Lucia	161	407	2.9	..	1.2	2.3	0.1	0.2
St. Martin (French part)	..	..	..	..	..	..	..	..
St. Vincent and the Grenadines	81	220	2.7	..	0.8	2	0.1	0.2
Sudan	5222	15838	0.5	1.1	0.2	0.3	0.1	0.1
Suriname	1742	2244	..	3.3	4.3	4.1	0.3	0.2
Sweden	51947	43483	1.1	0.9	6.1	4.5	0.2	0.1
Switzerland	42611	35680	1.7	1.4	6.3	4.4	0.1	0.1
Syrian Arab Republic	37359	30704	3.6	2.8	3	1.6	..	..
Tajikistan	7316	4620	1.8	1.6	1.3	0.6	0.5	0.2
Tanzania	2160	11562	0.2	0.5	0.1	0.2	0.1	0.1
Thailand	90722	280977	2.2	2.1	1.6	4.1	0.2	0.3
Timor-Leste	..	513	..	..	..	0.4	..	0.1
Togo	774	2589	0.6	0.8	0.2	0.4	0.2	0.3
Tonga	77	114	3	..	0.8	1.1	0.2	0.2
Trinidad and Tobago	17026	46267	2.8	2.4	13.9	34	1.4	1.2
Tunisia	13227	28830	2.7	2.7	1.6	2.6	0.3	0.2
Turkey	145994	345908	2.8	2.8	2.7	4.5	0.2	0.2
Turkmenistan	32123	68426	3.1	2.6	8.2	12.5	1.5	1
Turks and Caicos Islands	29	198	..	..	2.4	5.6	..	0.2
Tuvalu	7	11	..	..	0.8	1	0.3	0.3
Uganda	766	4774	..	..	0	0.1	0	0.1
Ukraine	630929	228469	2.9	2.2	12.1	5	0.9	0.4
United Arab Emirates	52009	226144	2.5	3.2	28.4	24.5	0.3	0.4
United Kingdom	555925	419743	2.7	2.3	9.7	6.5	0.3	0.1
United States	4823403	5225413	2.5	2.4	19.3	16.4	0.5	0.3
Uruguay	3993	6747	1.8	1.4	1.3	2	0.1	0.1
Uzbekistan	111649	105214	2.5	2.4	5.2	3.4	1.8	0.6
Vanuatu	66	154	2.8	..	0.5	0.6	0.2	0.2
Venezuela, RB	122162	185114	3.1	2.7	6.2	6.2	..	..
Vietnam	21445	167336	1.2	2.5	0.3	1.8	0.2	0.3
Virgin Islands (U.S.)	..	..	..	..	..	..	..	..
West Bank and Gaza	862	2838	..	..	0.4	0.7	..	0.1
Yemen, Rep.	3766	24668	1.5	3.1	0.3	1	..	..
Zambia	2446	4503	0.4	0.4	0.3	0.3	0.1	0.1
Zimbabwe	15643	12116	1.7	1	1.5	0.9	0.5	0.3
World	22149402	36138285	2.6	2.6	4.2	5	0.4	0.3
East Asia & Pacific	4778303	14131066	2.6	3	2.6	6.2	0.5	0.4
Europe & Central Asia	9750683	6280568	3.1	2.2	11.6	7	0.5	0.2
Latin America & Caribbean	1010932	1890998	2.2	2.1	2.3	3.1	0.2	0.2
Middle East & North Africa	896908	2630361	3	2.9	3.5	6.3	0.3	0.4
North America	5259087	5766677	2.5	2.3	19	16.3	0.5	0.3
South Asia	709443	2525679	1.9	2.6	0.6	1.5	0.3	0.3
Sub-Saharan Africa	438428	867108	1.5	1.6	0.9	0.9	0.3	0.2
Low income	206410	178942	1.8	0.8	0.7	0.3	0.4	0.1
Lower middle income	1776735	3982718	1.7	2.3	1	1.5	0.4	0.3
Upper middle income	8750711	16932383	3.1	2.9	4	6.2	0.7	0.4
High income	11613738	12985385	2.5	2.3	11.3	10.8	0.4	0.2
