Country	Goveernment % (2010)	Goveernment % (2018)
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	11.9
Ukraine	41.1	33.4
United Arab Emirates	4.1	4
United Kingdom	43	37
United States	26.2	22.3
Uruguay	29.4	35
Uzbekistan	15.2	17.1
Vanuatu	22.2	25.9
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	9.4	8.3
Yemen, Rep.	..	..
Zambia	14.7	19.6
Zimbabwe	16.1	31.4
World	28.8	27.1
East Asia & Pacific	..	..
Europe & Central Asia	37.4	34.7
Latin America & Caribbean	26.2	28.4
Middle East & North Africa	..	..
North America	25.5	21.9
South Asia	16.3	15.1
Sub-Saharan Africa	..	25
Low income	..	..
Lower middle income	19	16.8
Upper middle income	..	..
High income	29.9	27.2
