Country	Revenue % (2010)	Revenue % (2010)
Micronesia, Fed. Sts.	4.7	25.2
Moldova	15.2	17.7
Monaco	..	..
Mongolia	19.6	16.8
Montenegro	..	..
Morocco	22.8	21.9
Mozambique	14.8	21.6
Myanmar	4.5	5.4
Namibia	25.9	29.3
Nepal	13.4	20.7
Netherlands	21	23
New Caledonia	..	..
New Zealand	26.1	28
Nicaragua	13.7	15.7
Niger	..	..
Nigeria	..	..
Northern Mariana Islands	..	..
Norway	26.9	23.9
Oman	..	..
Pakistan	..	..
Palau	17	21.3
Panama	..	..
Papua New Guinea	..	13.6
Paraguay	8.9	10
Peru	15.5	14.3
Philippines	11.6	14
Poland	16.5	17.4
Portugal	19.6	22.8
Puerto Rico	..	..
Qatar	..	..
Romania	16.6	14.6
Russian Federation	13	11.4
Rwanda	..	14.3
Samoa	20.9	25.5
San Marino	15.6	18.1
Sao Tome and Principe	..	..
Saudi Arabia	2.5	8.9
Senegal	..	16.3
Serbia	20.2	..
Seychelles	27.9	34.1
Sierra Leone	..	..
Singapore	12.8	13.1
Sint Maarten (Dutch part)	..	..
Slovak Republic	15.2	18.7
Slovenia	18.1	18.6
Solomon Islands	28.7	29.5
Somalia	..	..
South Africa	25	27.5
South Sudan	..	..
Spain	12.4	14.2
Sri Lanka	11.3	11.9
St. Kitts and Nevis	16.7	18.5
St. Lucia	18.2	18.2
St. Martin (French part)	..	..
St. Vincent and the Grenadines	22.9	25.4
Sudan	6.2	8
Suriname	..	..
Eswatini	..	..
Sweden	27.4	27.9
Switzerland	9.7	10.1
Syrian Arab Republic	..	..
Tajikistan	..	..
Tanzania	9.9	11.5
Thailand	14.9	14.9
Timor-Leste	110.2	25
Togo	14.5	16.9
Tonga	..	22.3
Trinidad and Tobago	26.2	19.5
Tunisia	20.1	..
Turkey	19.4	17.9
Turkmenistan	..	..
Turks and Caicos Islands	..	..
Tuvalu	..	..
Uganda	..	11.7
Ukraine	15.6	20.1
United Arab Emirates	0.3	0.1
United Kingdom	25.3	25.5
United States	8.6	9.6
Uruguay	18.9	20.1
Uzbekistan	13.2	14.8
Vanuatu	15.5	18
Venezuela, RB	..	..
Vietnam	..	..
Virgin Islands (U.S.)	..	..
West Bank and Gaza	5.5	6.4
Yemen, Rep.	..	..
Zambia	12.8	16.2
Zimbabwe	17.4	20.7
World	13.5	14.9
East Asia & Pacific	11.1	11.9
Europe & Central Asia	19	19.6
Latin America & Caribbean	13.2	13.7
Middle East & North Africa	..	..
North America	8.9	9.9
South Asia	10.3	11.3
Sub-Saharan Africa	..	18.9
Low income	..	..
Lower middle income	12	12.5
Upper middle income	12.5	11.8
High income	13.9	15.1
