Country	Net official development assistance	Net official development assistance	Net official development assistance	Net official development assistance
Moldova	1.9	7.9	3.4	7.4
Monaco	..	..	..	..
Mongolia	2.8	6.4	3.3	11.2
Montenegro	2.8	8.8	3.9	..
Morocco	0.7	2.1	1.4	2.8
Mozambique	12.6	25.2	16.4	61.7
Myanmar	2.3	7.2	7.7	..
Namibia	1.2	7.6	2.1	3.3
Nepal	4.9	9.2	9.6	..
Netherlands	..	..	..	..
New Caledonia	..	..	..	..
New Zealand	..	..	..	..
Nicaragua	2.8	11.3	4.9	16,00
Niger	9.5	31.8	32.4	..
Nigeria	0.9	4.2	3.7	..
Northern Mariana Islands	..	..	..	..
Norway	..	..	..	..
Oman	..	..	..	..
Pakistan	0.4	2.5	1.8	..
Palau	28.2	111.4	..	71.8
Panama	0.1	0.1	0.1	..
Papua New Guinea	3.4	..	14.3	17.6
Paraguay	0.4	1.8	1,00	2.7
Peru	0.2	0.9	0.7	1,00
Philippines	0.1	0.6	0.4	1.1
Poland	..	..	..	..
Portugal	..	..	..	..
Puerto Rico	..	..	..	..
Qatar	..	..	..	..
Romania	..	..	..	..
Russian Federation	..	..	..	..
Rwanda	12	54	32.3	62.2
Samoa	14.6	..	24.5	50.5
San Marino	..	..	..	..
Sao Tome and Principe	10.4	..	22.2	..
Saudi Arabia	..	..	..	..
Senegal	4.4	13.5	9.9	21.6
Serbia	2.2	9.3	3.2	..
Seychelles	..	..	..	..
Sierra Leone	13.3	71	29.1	..
Singapore	..	..	..	..
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	..	..	..	..
Slovenia	..	..	..	..
Solomon Islands	14.5	..	23.8	43.4
Somalia	..	..	..	..
South Africa	0.3	1.4	0.7	0.7
South Sudan	..	..	39.6	..
Spain	..	..	..	..
Sri Lanka	-0.3	-1,00	-0.9	-1.8
St. Kitts and Nevis	..	..	..	..
St. Lucia	0.4	..	0.7	..
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	2.2	..	3.8	..
Sudan	4	19.2	9.5	..
Suriname	0.4	..	0.5	..
Eswatini	2.8	19.4	4.7	..
Sweden	..	..	..	..
Switzerland	..	..	..	..
Syrian Arab Republic	..	..	..	..
Tajikistan	4.5	..	11.2	..
Tanzania	4.4	..	22.5	29.5
Thailand	-0.1	-0.3	-0.1	-0.5
Timor-Leste	9	37.9	18.4	22.9
Togo	5.5	21.8	11.6	30.9
Tonga	19.1	..	25.6	..
Trinidad and Tobago	..	..	..	..
Tunisia	2.1	..	3.1	..
Turkey	0.2	0.5	0.4	0.5
Turkmenistan	0,00	..	..	..
Turks and Caicos Islands	..	..	..	..
Tuvalu	29.3	..	..	..
Uganda	6.1	23.9	20.1	49.8
Ukraine	0.9	5,00	1.5	2.8
United Arab Emirates	..	..	..	..
United Kingdom	..	..	..	..
United States	..	..	..	..
Uruguay	..	..	..	..
Uzbekistan	1.1	2.9	2.2	6.4
Vanuatu	13.5	..	24.8	52.8
Venezuela, RB	..	..	..	..
Vietnam	0.7	2.5	0.6	..
Virgin Islands (U.S.)	..	..	..	..
West Bank and Gaza	13.2	63.4	25.1	..
Yemen, Rep.	29	..	..	..
Zambia	3.7	9.6	9.3	18.7
Zimbabwe	3.5	34.9	..	10.4
World	0.2	0.7	0.6	..
East Asia & Pacific	0,00	0.1	0.1	..
Europe & Central Asia	0,00	0.2	0.1	..
Latin America & Caribbean	0.2	0.9	0.6	..
Middle East & North Africa	0.9	3.3	..	..
North America	..	..	..	..
South Asia	0.4	1.2	1.4	..
Sub-Saharan Africa	3,00	13.5	9,00	..
Low income	11,00	..	29.5	..
Lower middle income	0.7	2.4	2	..
Upper middle income	0.1	0.2	0.2	..
High income	0,00	0,00	0,00	..
