Country	Female %	Male %
Micronesia, Fed. Sts.	49,16	50,84
Gabon	49,08	50,92
United Kingdom	50,61	49,39
Georgia	52,32	47,68
Ghana	49,32	50,68
Gibraltar		
Guinea	51,72	48,28
Gambia, The	50,40	49,60
Guinea-Bissau	51,12	48,88
Equatorial Guinea	44,41	55,59
Greece	50,92	49,08
Grenada	49,62	50,38
Greenland		
Guatemala	50,74	49,26
Guam	49,53	50,47
Guyana	49,76	50,24
High income	50,21	49,79
Hong Kong SAR, China	54,03	45,97
Honduras	50,04	49,96
Heavily indebted poor countries (HIPC)	50,12	49,88
Croatia	51,82	48,18
Haiti	50,66	49,34
Hungary	52,42	47,58
IBRD only	49,34	50,66
IDA & IBRD total	49,48	50,52
IDA total	49,89	50,11
IDA blend	49,27	50,73
Indonesia	49,65	50,35
IDA only	50,20	49,80
Isle of Man		
India	48,03	51,97
Not classified		
Ireland	50,39	49,61
Iran, Islamic Rep.	49,48	50,52
Iraq	49,40	50,60
Iceland	49,79	50,21
Israel	50,26	49,74
Italy	51,34	48,66
Jamaica	50,35	49,65
Jordan	49,38	50,62
Japan	51,17	48,83
Kazakhstan	51,49	48,51
Kenya	50,31	49,69
Kyrgyz Republic	50,53	49,47
Cambodia	51,19	48,81
Kiribati	50,83	49,17
St. Kitts and Nevis		
Korea, Rep.	49,93	50,07
Kuwait	39,08	60,92
Latin America & Caribbean (excluding high income)	50,80	49,20
Lao PDR	49,80	50,20
Lebanon	49,69	50,31
Liberia	49,75	50,25
Libya	49,50	50,50
St. Lucia	50,75	49,25
Latin America & Caribbean	50,81	49,19
Least developed countries: UN classification	50,27	49,73
Low income	50,16	49,84
Liechtenstein		
Sri Lanka	52,01	47,99
Lower middle income	49,05	50,95
Low & middle income	49,46	50,54
Lesotho	50,69	49,31
Late-demographic dividend	49,51	50,49
Lithuania	53,74	46,26
Luxembourg	49,47	50,53
Latvia	53,96	46,04
Macao SAR, China	51,95	48,05
St. Martin (French part)		
Morocco	50,39	49,61
Monaco		
Moldova	52,07	47,93
Madagascar	50,12	49,88
Maldives	36,70	63,30
Middle East & North Africa	48,19	51,81
Mexico	51,09	48,91
Marshall Islands		
Middle income	49,38	50,62
North Macedonia	49,97	50,03
Mali	49,92	50,08
Malta	49,87	50,13
Myanmar	51,81	48,19
Middle East & North Africa (excluding high income)	49,61	50,39
Montenegro	50,56	49,44
Mongolia	50,70	49,30
Northern Mariana Islands		
Mozambique	51,44	48,56
Mauritania	49,80	50,20
Mauritius	50,62	49,38
Malawi	50,69	49,31
Malaysia	48,60	51,40
North America	50,50	49,50
Namibia	51,54	48,46
New Caledonia	49,70	50,30
Niger	49,75	50,25
Nigeria	49,33	50,67
Nicaragua	50,71	49,29
Netherlands	50,20	49,80
Norway	49,49	50,51
Nepal	54,40	45,60
Nauru		
New Zealand	50,84	49,16
OECD members	50,80	49,20
Oman	33,98	66,02
Other small states	46,78	53,22
Pakistan	48,54	51,46
Panama	49,92	50,08
Peru	50,33	49,67
Philippines	49,76	50,24
Palau		
Papua New Guinea	48,95	51,05
Poland	51,54	48,46
Pre-demographic dividend	49,96	50,04
Puerto Rico	52,55	47,45
Korea, Dem. People’s Rep.	51,09	48,91
Portugal	52,70	47,30
Paraguay	49,17	50,83
West Bank and Gaza	49,28	50,72
Pacific island small states	49,28	50,72
Post-demographic dividend	50,90	49,10
French Polynesia	49,34	50,66
Qatar	24,67	75,33
Romania	51,36	48,64
Russian Federation	53,66	46,34
Rwanda	50,85	49,15
South Asia	48,37	51,63
Saudi Arabia	42,27	57,73
Sudan	50,04	49,96
Senegal	51,24	48,76
Singapore	47,66	52,34
Solomon Islands	49,15	50,85
Sierra Leone	50,11	49,89
El Salvador	53,15	46,85
San Marino		
Somalia	50,14	49,86
Serbia	51,01	48,99
Sub-Saharan Africa (excluding high income)	50,10	49,90
South Sudan	49,95	50,05
Sub-Saharan Africa	50,10	49,90
Small states	47,57	52,43
Sao Tome and Principe	49,96	50,04
Suriname	49,73	50,27
Slovak Republic	51,32	48,68
Slovenia	50,22	49,78
Sweden	49,93	50,07
Eswatini	50,98	49,02
Sint Maarten (Dutch part)		
Seychelles	48,67	51,33
Syrian Arab Republic	49,89	50,11
Turks and Caicos Islands		
Chad	50,08	49,92
East Asia & Pacific (IDA & IBRD countries)	49,14	50,86
Europe & Central Asia (IDA & IBRD countries)	52,06	47,94
Togo	50,25	49,75
Thailand	51,30	48,70
Tajikistan	49,60	50,40
Turkmenistan	50,76	49,24
Latin America & the Caribbean (IDA & IBRD countries)	50,81	49,19
Timor-Leste	49,46	50,54
Middle East & North Africa (IDA & IBRD countries)	49,61	50,39
Tonga	49,96	50,04
South Asia (IDA & IBRD)	48,37	51,63
Sub-Saharan Africa (IDA & IBRD countries)	50,10	49,90
Trinidad and Tobago	50,61	49,39
Tunisia	50,42	49,58
Turkey	50,65	49,35
Tuvalu		
Tanzania	50,04	49,96
Uganda	50,74	49,26
Ukraine	53,68	46,32
Upper middle income	49,73	50,27
Uruguay	51,70	48,30
United States	50,52	49,48
Uzbekistan	50,12	49,88
St. Vincent and the Grenadines	49,28	50,72
Venezuela, RB	50,75	49,25
British Virgin Islands		
Virgin Islands (U.S.)	52,47	47,53
Vietnam	50,08	49,92
Vanuatu	49,30	50,70
World	49,58	50,42
Samoa	48,25	51,75
Kosovo		
Yemen, Rep.	49,62	50,38
South Africa	50,72	49,28
Zambia	50,49	49,51
Zimbabwe	52,32	47,68
