Country	Children under age 5	Pregnant women	Non-pregnant women
Papua New Guinea	48	45	36
Paraguay	26	33	22
Peru	32	26	18
Philippines	18	30	15
Poland	26	26	26
Portugal	14	25	17
Puerto Rico	28	25	21
Qatar	26	33	28
Romania	27	27	27
Russian Federation	26	24	23
Rwanda	36	24	22
Samoa	43	43	31
San Marino	..	..	..
Sao Tome and Principe	65	55	45
Saudi Arabia	38	46	43
Senegal	68	58	49
Serbia	26	28	27
Seychelles	35	27	22
Sierra Leone	77	56	47
Singapore	17	32	22
Sint Maarten (Dutch part)	..	..	..
Slovak Republic	26	27	27
Slovenia	27	26	24
Solomon Islands	43	49	38
Somalia	56	47	44
South Africa	37	28	26
South Sudan	58	39	34
Spain	13	25	16
Sri Lanka	26	35	33
St. Kitts and Nevis	..	..	..
St. Lucia	35	27	22
St. Martin (French part)	..	..	..
St. Vincent and the Grenadines	33	28	24
Sudan	57	34	30
Suriname	34	30	24
Sweden	12	22	15
Switzerland	13	25	18
Syrian Arab Republic	35	36	34
Tajikistan	31	34	30
Tanzania	55	48	36
Thailand	28	40	32
Timor-Leste	61	43	41
Togo	71	61	48
Tonga	38	29	21
Trinidad and Tobago	32	27	24
Tunisia	29	37	31
Turkey	28	34	31
Turkmenistan	28	33	33
Turks and Caicos Islands	..	..	..
Tuvalu	..	..	..
Uganda	51	34	28
Ukraine	26	25	24
United Arab Emirates	27	33	28
United Kingdom	12	22	15
United States	9	16	13
Uruguay	23	31	20
Uzbekistan	37	25	37
Vanuatu	28	28	24
Venezuela, RB	30	29	24
Vietnam	34	37	24
Virgin Islands (U.S.)	..	..	..
West Bank and Gaza	26	33	29
Yemen, Rep.	84	63	70
Zambia	54	39	33
Zimbabwe	42	34	28
World	42	40	33
East Asia & Pacific	26	35	26
Europe & Central Asia	22	27	23
Latin America & Caribbean	28	29	22
Middle East & North Africa	34	35	34
North America	9	16	13
South Asia	55	49	50
Sub-Saharan Africa	60	46	38
Low income	59	42	38
Lower middle income	52	47	44
Upper middle income	26	33	26
High income	14	24	18
