Country	Tons	Change %	From energy processes	Agricultural
Cote d'Ivoire	10034	31.7	2.8	27.9
Croatia	2854	-39.7	7	52.4
Cuba	5912	-39.1	2.7	75.7
Curacao	..	..	..	..
Cyprus	315	31.1	14.2	63.5
Czech Republic	7315	-26.9	23.5	50.3
Denmark	5340	-35.6	9.6	79.8
Djibouti	257	37.4	3.6	83.7
Dominica	21	-13.9	5.7	56.6
Dominican Republic	2190	2.8	9	73.4
Ecuador	5435	70.1	3.9	85.6
Egypt, Arab Rep.	25110	31.7	6	67.3
El Salvador	1414	5.7	8.1	75.4
Equatorial Guinea	37	104.1	57	27.2
Eritrea	1259	22.2	5.7	88.3
Estonia	951	-52.3	14.2	65.3
Ethiopia	39854	57.7	4.7	88.3
Faroe Islands	7	7.3	0	86.6
Fiji	344	-3	2.4	91.4
Finland	5547	-29	28.7	41.2
France	36866	-50.1	7.7	70.9
French Polynesia	37	1.7	11.2	48.5
Gabon	838	172.8	2.9	18.1
Gambia, The	500	50.9	3.9	85.4
Georgia	2352	-19.7	3.2	53.7
Germany	43411	-39	11.4	57.5
Ghana	17593	244.9	2.3	78.3
Greece	4639	-42.1	14.4	60.9
Greenland	231	31.7	0	0.6
Grenada	26	168.8	10.7	21
Guam	2	30.3	0.4	84.7
Guatemala	4606	84.6	7.3	60.5
Guinea	21254	269.6	0.9	59
Guinea-Bissau	990	87.8	1.7	90.1
Guyana	2123	3.1	1.3	82.9
Haiti	1495	64.3	7.9	81.8
Honduras	3206	32.1	3.9	75.7
Hungary	4356	-59.7	6.7	80.2
Iceland	369	-9.7	3.9	85.8
India	239755	41.4	12.3	73.8
Indonesia	93139	-7.4	4	65.5
Iran, Islamic Rep.	25191	30.5	7.4	80.7
Iraq	5007	5.5	10.3	52.7
Ireland	7302	-15.1	4.4	90.1
Isle of Man	..	..	..	..
Israel	1751	8.4	15.4	54.3
Italy	20084	-36.5	14.9	54.7
Jamaica	656	36.9	14.4	53.3
Japan	24911	-32.6	27	30.1
Jordan	605	-4	8.5	61.5
Kazakhstan	17822	-43.5	7.8	73.4
Kenya	11590	24.8	5.5	88.3
Kiribati	4	43.4	8	47.2
Korea, Dem. Peopleâ€™s Rep.	3306	-66	13.3	66.8
Korea, Rep.	14979	42.2	25.7	42.2
Kosovo	0	..	..	..
Kuwait	704	18.9	27.7	18.2
Kyrgyz Republic	1567	-46.2	1.6	82.3
Lao PDR	8987	101.7	3.6	66.7
Latvia	1437	-53.4	12.2	75.4
Lebanon	462	24.5	10.6	65.2
Lesotho	428	-24.1	9.7	81.5
Liberia	337	60.6	22.5	63.5
Libya	1466	8.7	12	50.6
Liechtenstein	..	..	..	..
Lithuania	4739	-18	2.5	44.1
Luxembourg	473	19.1	17.4	62.7
North Macedonia	526	-36.1	8.8	69.8
Madagascar	8198	-9.8	4	87.3
Malawi	3127	12	4.9	85.4
Malaysia	15310	9.5	6.4	68.8
Maldives	27	366.1	12.5	8.3
Mali	10892	88.6	1.3	82.4
Malta	61	-17.6	8.4	47.8
Marshall Islands	0	22.8	0	0
Mauritania	2348	57.5	2.8	92.3
Mauritius	170	5.6	8.9	60.4
Mexico	43436	-2.9	8.5	74.1
Micronesia, Fed. Sts.	11	71.7	0.2	98.2
Moldova	686	-60.9	8.2	71.6
Monaco	..	..	..	..
Mongolia	3548	-31.1	3.1	93.5
Montenegro	0	..	..	..
Morocco	6007	5.4	8.6	78.5
Mozambique	2261	-78.7	15.2	52.1
Myanmar	26783	-39.6	3.4	53.4
Namibia	3042	19.4	4.2	93.7
Nepal	4598	28	13.3	76.4
Netherlands	8924	-50.2	8.1	60.5
New Caledonia	98	-5.9	5.7	75.9
New Zealand	11880	13	2.3	95.1
Nicaragua	3491	12.8	3.2	87.4
Niger	2195	20	10.4	78.6
Nigeria	36185	85.7	5.2	80.4
Northern Mariana Islands	0	-62.1	0	0
Norway	3305	-40.1	8	47
Oman	1146	195.3	13.3	58.5
Pakistan	30651	66.2	12.6	75.3
Palau	0	9.9	0	0
Panama	1408	37.6	5.4	78.9
Papua New Guinea	1234	-36	9.4	19.6
Paraguay	9363	4.4	2.5	87.5
Peru	8478	51.1	3	84.6
Philippines	12762	29.1	6.1	76.4
Poland	26722	-8.6	13.7	59.4
Portugal	4011	-18.9	11	55
Puerto Rico	220	-33.2	0.1	96
Qatar	339	-74.7	28.1	19.6
Romania	8218	-62.9	5.4	59.7
Russian Federation	65194	-59.4	11.5	49.6
Rwanda	1704	137.5	10.1	79.7
Samoa	40	17.1	6.4	82.7
San Marino	..	..	..	..
Sao Tome and Principe	10	56.3	14.3	50.8
Saudi Arabia	6517	1.8	14.9	45.4
Senegal	6562	121.1	2.5	87.9
Serbia	7445	-100	0	0
Seychelles	23	72.5	21.6	22.4
Sierra Leone	1605	34.7	3.3	79.9
Singapore	1909	111.2	4.7	1.8
Sint Maarten (Dutch part)	..	..	..	..
Slovak Republic	2778	-46.9	12.2	37.4
Slovenia	1166	-8.1	12.1	72.3
Solomon Islands	2656	-27.6	0.2	99.3
Somalia	4923	22.9	5.1	90.8
South Africa	21149	-7.6	11.9	63.8
South Sudan	..	..	..	..
Spain	20873	-20.3	11.1	65.5
Sri Lanka	2174	23.6	13.1	64.5
St. Kitts and Nevis	15	90.2	8.8	63.6
St. Lucia	35	13.5	10.5	48.7
St. Martin (French part)	..	..	..	..
St. Vincent and the Grenadines	18	3.1	12.6	47.9
Sudan	84959	136.1	0.7	90.7
Suriname	273	-39.5	3.5	52.2
Eswatini	569	4.7	4.3	91
Sweden	5222	-25.4	19	59.8
Switzerland	2385	-17.1	15.8	58
Syrian Arab Republic	6001	41.9	4	80.5
Tajikistan	1848	22.9	1.3	87.7
Tanzania	13206	-37.5	5.1	82.6
Thailand	30833	67.5	13.5	69.8
Timor-Leste	226	102.2	1.1	88
Togo	3049	39.9	3.8	66.7
Tonga	22	14.8	3.3	95.8
Trinidad and Tobago	281	-51.5	12.1	50.4
Tunisia	2963	27.4	8.6	68
Turkey	35612	24.6	10.5	69.9
Turkmenistan	4924	115.4	1.8	75.8
Turks and Caicos Islands	1	648.2	60.7	0
Tuvalu	1	44.9	0	98.5
Uganda	14932	86.7	4.6	86.1
Ukraine	22549	-57.8	5.7	41.7
United Arab Emirates	2413	129.2	14.9	35.9
United Kingdom	25335	-55.4	8.9	60.9
United States	288878	-12.9	21.7	57.6
Uruguay	8105	33.9	1.8	96
Uzbekistan	13192	17.9	3.7	85.5
Vanuatu	109	13.9	1	95.7
Venezuela, RB	16136	28.7	4.3	72.4
Vietnam	34494	197	6.7	83.8
Virgin Islands (U.S.)	13	37.2	0	93.1
West Bank and Gaza	..	..	..	..
Yemen, Rep.	3672	77.4	13.7	71
Zambia	8395	-76	2.7	65.6
Zimbabwe	4271	-38.1	5.3	89.7
World	3153742	6.8	9.1	70
East Asia & Pacific	951651	36.8	9.6	71.1
Europe & Central Asia	458268	-41.2	10	59.8
Latin America & Caribbean	432324	25	4.2	80.8
Middle East & North Africa	96186	26.9	8.4	68.2
North America	322312	-14.7	21.3	58.5
South Asia	307868	44.9	11.9	74.6
Sub-Saharan Africa	557857	25.6	2.7	74.4
Low income	413420	27.4	2.1	74.4
Lower middle income	645169	21.2	7.9	72.2
Upper middle income	1331627	33.2	7.8	73.8
High income	736251	-25.8	15.8	60.2
